Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"286,065",63.3%,,44
Sanders Bernie Sanders,"74,755",16.5%,,8
Bloomberg Michael R. Bloomberg,"52,750",11.7%,,0
Warren Elizabeth Warren,"25,847",5.7%,,0
Bennet Michael Bennet,"2,250",0.5%,,0
Buttigieg Pete Buttigieg,"1,416",0.3%,,0
Steyer Tom Steyer,"1,048",0.2%,,0
Gabbard Tulsi Gabbard,"1,038",0.2%,,0
Klobuchar Amy Klobuchar,907,0.2%,,0
Yang Andrew Yang,875,0.2%,,0
Booker Cory Booker,740,0.2%,,0
Delaney John Delaney,294,0.1%,,0
Williamson Marianne Williamson,224,0.0%,,0
Castro Julián Castro,184,0.0%,,0
Uncommitted Uncommitted,"3,700",0.8%,,0
