Word,Polarity
just,strongpos
big,neutral
could,neutral
shake,strongneg
entire,neutral
such,neutral
idiot,strongneg
most,neutral
Democratic,weakpos
mistake,strongneg
conceded,strongneg
loses,strongneg
Tried,weakneg
‘Troubling,strongneg
even,weakpos
possible,neutral
think,neutral
better,strongpos
know,neutral
thinks,neutral
black,weakneg
revolution,weakpos
looks,neutral
Please,strongpos
want,strongpos
should,neutral
knows,neutral
maybe,neutral
Stand,weakpos
tall,neutral
stand,weakpos
proud,strongpos
claims,neutral
lied,strongneg
coerced,strongneg
accused,strongneg
supporters,strongpos
wanting,strongpos
‘massacred,strongneg
please,strongpos
STUMPING,weakneg
good,strongpos
complaints,strongneg
criminals,strongneg
outraged,strongneg
really,neutral
care,strongpos
important,weakpos
primary,neutral
would,neutral
likely,neutral
‘manipulated,strongneg
Wow,weakpos
opinion,neutral
Just,strongpos
Opinion,neutral
Stupid,strongneg
Reason,strongpos
Endorsed,strongpos
appears,neutral
according,weakpos
well,strongpos
like,strongpos
need,neutral
smooth,weakpos
Against,weakneg
errors,strongneg
Loved,strongpos
love,strongpos
nice,weakpos
sorry,strongneg
perfect,strongpos
lifelong,weakpos
values,weakpos
least,weakneg
luck,strongpos
super,strongpos
sure,weakpos
POPULAR,weakpos
endorses,strongpos
Oh,neutral
shows,neutral
problem,strongneg
Revealed,neutral
Problems,strongneg
Revenge,strongneg
appreciate,weakpos
impossible,strongneg
oppose,strongneg
supports,strongpos
war,weakneg
lauds,strongpos
Support,strongpos
means,neutral
ugly,strongneg
Holy,weakpos
valiant,strongpos
defend,weakpos
hate,strongneg
survivor,weakpos
valuable,strongpos
Trying,weakneg
Help,weakpos
Backs,weakpos
recommend,weakpos
hassle,strongneg
pledge,weakpos
certainly,neutral
looking,neutral
wants,strongpos
champion,strongpos
needs,neutral
attack,strongneg
slightly,weakneg
humorous,strongpos
attacks,strongneg
Well,strongpos
trumps,strongpos
helps,weakpos
defeat,strongneg
influence,neutral
Most,neutral
exceedingly,weakpos
worried,strongneg
righteous,strongpos
indignation,strongneg
crumbles,strongneg
allowing,weakpos
undermine,strongneg
democratic,weakpos
worry,strongneg
dead,strongneg
reason,strongpos
yeah,neutral
lost,strongneg
regards,neutral
debate,weakneg
hostile,strongneg
insignificant,strongneg
angry,strongneg
considering,neutral
so,neutral
obviously,weakneg
unprepared,strongneg
support,strongpos
still,neutral
hard,strongneg
believe,neutral
persuasive,weakpos
supporting,strongpos
mean,neutral
white,weakpos
throwing,weakneg
deserve,weakpos
shame,strongneg
proved,neutral
intelligent,strongpos
wow,weakpos
exact,neutral
wasting,strongneg
original,strongpos
tried,weakneg
fine,strongpos
must,neutral
Exactly,neutral
criticizing,strongneg
yes,weakpos
Whatever,weakneg
views,neutral
delusional,strongneg
fact,neutral
lie,strongneg
major,neutral
Smarter,weakpos
puzzled,weakneg
huge,neutral
pretty,weakpos
awesome,strongpos
notable,weakpos
split,weakneg
Big,neutral
‘Loves,strongpos
ease,strongpos
allow,weakpos
illegal,strongneg
kissed,strongpos
finally,neutral
admit,weakpos
weak,strongneg
interference,strongneg
Attacking,strongneg
Primary,neutral
Opponents,strongneg
awareness,neutral
certain,neutral
attacking,strongneg
actual,neutral
believed,neutral
properly,strongpos
curious,weakpos
Considered,neutral
right,weakpos
plundered,strongneg
lesser,weakneg
evils,strongneg
Yes,weakpos
prosecute,weakneg
sad,strongneg
epidemic,strongneg
overwhelm,strongneg
stupid,strongneg
cared,strongpos
killed,strongneg
thinking,neutral
points,neutral
Imagine,neutral
radical,weakneg
True,strongpos
failing,strongneg
confused,strongneg
Even,weakpos
retire,weakneg
security,weakpos
pardoned,weakpos
against,weakneg
rumors,weakneg
However,neutral
destroy,strongneg
block,weakneg
laugh,weakneg
Thank,strongpos
thankful,strongpos
stupidly,strongneg
demeaned,strongneg
argue,weakneg
distract,strongneg
divide,weakneg
little,weakneg
offended,strongneg
brutality,strongneg
demon,strongneg
negative,strongneg
matter,neutral
traitors,strongneg
great,weakpos
traitor,strongneg
point,neutral
incompetence,strongneg
real,weakpos
dedicated,strongpos
decided,neutral
demanding,both
hypocritical,strongneg
criticizes,strongneg
demand,both
ignore,weakneg
violating,strongneg
thought,neutral
misleading,strongneg
harassment,strongneg
discrimination,strongneg
feel,neutral
imprisoned,weakneg
agreements,weakpos
discriminatory,weakneg
flaw,strongneg
too,strongneg
much,neutral
High,neutral
loser,strongneg
effectively,neutral
imagine,neutral
moving,neutral
special,strongpos
Move,neutral
endorsed,strongpos
supposing,neutral
agree,weakpos
streamlined,weakpos
truly,strongpos
prove,neutral
seem,neutral
scary,strongneg
look,neutral
Subscribing,weakpos
Direct,neutral
easy,strongpos
principles,weakpos
dismay,strongneg
threw,weakneg
idea,neutral
persuaded,weakpos
ready,weakpos
panic,strongneg
seems,neutral
moderate,weakpos
interest,strongpos
indeed,neutral
succumb,strongneg
Limited,strongneg
help,weakpos
okay,strongpos
worst,strongneg
enemies,strongneg
bad,strongneg
true,strongpos
delicate,weakpos
favors,strongpos
might,neutral
assure,strongpos
perhaps,neutral
very,neutral
dragon,weakneg
Maybe,neutral
tRump,strongpos
Especially,weakpos
wonder,strongpos
low,strongneg
despite,weakneg
lack,strongneg
rallied,strongpos
suppress,strongneg
ridiculous,strongneg
unfounded,strongneg
absurd,strongneg
suggest,weakpos
lose,strongneg
best,weakpos
enthusiasm,strongpos
retired,weakneg
competent,strongpos
excited,strongpos
sharp,weakneg
talent,strongpos
deep,neutral
attitudes,neutral
tired,weakneg
