Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"260,608",44.4%,,39
Sanders Bernie Sanders,"193,448",32.9%,,28
Bloomberg Michael R. Bloomberg,"54,123",9.2%,,0
Warren Elizabeth Warren,"35,353",6.0%,,0
Buttigieg Pete Buttigieg,"24,782",4.2%,,0
Klobuchar Amy Klobuchar,"9,447",1.6%,,0
Gabbard Tulsi Gabbard,"2,934",0.5%,,0
Yang Andrew Yang,"1,883",0.3%,,0
Steyer Tom Steyer,"1,122",0.2%,,0
Castro Julián Castro,726,0.1%,,0
Williamson Marianne Williamson,650,0.1%,,0
De La Fuente III Roque De La Fuente III,622,0.1%,,0
Booker Cory Booker,410,0.1%,,0
Delaney John Delaney,338,0.1%,,0
Bennet Michael Bennet,248,0.0%,,0
Patrick Deval Patrick,240,0.0%,,0
Hewes Henry Hewes,205,0.0%,,0
Ellinger Michael Ellinger,180,0.0%,,0
