date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-03-03,0,45.0,0,0,0,0,0,17.0,0,0,0
2020-03-04,0,45.0,0,0,0,0,0,17.0,0,0,0
2020-03-06,0,51.35,0,0,1.0,0,0,33.85,0,0,0
2020-03-07,0,51.35,0,0,1.0,0,0,33.85,0,0,0
2020-03-08,0,51.35,0,0,1.0,0,0,33.85,0,0,0
2020-03-09,0,51.35,0,0,1.0,0,0,33.85,0,0,0
2020-03-10,0,51.9,0,0,1.0,0,0,34.56666666666667,0,0,0
2020-03-11,0,51.675,0,0,1.0,0,0,33.675,0,0,0
2020-03-12,0,51.9,0,0,1.0,0,0,33.56666666666667,0,0,0
2020-03-13,0,51.9,0,0,1.0,0,0,33.56666666666667,0,0,0
2020-03-14,0,51.9,0,0,1.0,0,0,33.56666666666667,0,0,0
2020-03-15,0,52.35,0,0,1.0,0,0,34.85,0,0,0
