Word,Polarity
know,neutral
please,strongpos
love,strongpos
react,neutral
help,weakpos
natural,strongpos
best,weakpos
Serious,weakneg
straight,weakpos
yawned,strongneg
lying,strongneg
just,strongpos
reasons,strongpos
certain,neutral
want,strongpos
think,neutral
startled,weakneg
would,neutral
pretty,weakpos
much,neutral
look,neutral
most,neutral
progressive,weakpos
so,neutral
Imagine,neutral
laugh,weakneg
false,weakneg
claim,neutral
against,weakneg
very,neutral
interesting,strongpos
dynamic,weakpos
shows,neutral
kills,strongneg
might,neutral
endorse,strongpos
dumb,strongneg
insulting,strongneg
sedentary,weakneg
fat,weakneg
challenging,weakneg
simple,weakpos
barring,weakneg
move,neutral
Lying,strongneg
should,neutral
dead,strongneg
missing,weakneg
least,weakneg
radical,weakneg
Reveals,neutral
Ready,weakpos
poor,strongneg
Positive,weakpos
challenged,weakneg
savage,strongneg
blunder,strongneg
Rebukes,strongneg
excuse,weakneg
lie,strongneg
So,neutral
correct,strongpos
completely,neutral
misread,strongneg
agree,weakpos
assessment,neutral
praying,neutral
terrible,strongneg
accepting,weakpos
dark,strongneg
(illegally,strongneg
Even,weakpos
Abuse,strongneg
above,weakpos
tried,weakneg
cut,weakneg
security,weakpos
benefits,strongpos
ugly,strongneg
disagreed,weakneg
better,strongpos
Blatant,strongneg
Top,weakpos
sure,weakpos
attacking,strongneg
needs,neutral
lectures,weakneg
decency,strongpos
honor,strongpos
even,weakpos
unqualified,strongneg
inexperienced,strongneg
tiny,weakneg
problems,strongneg
right,weakpos
interest,strongpos
abysmal,strongneg
exceeded,strongpos
popular,weakpos
blatant,strongneg
fraud,strongneg
Normal,strongpos
actually,neutral
hypocrite,strongneg
concern,strongneg
bastard,strongneg
moral,weakpos
outrage,strongneg
well,strongpos
honest,strongpos
disgusting,strongneg
cancer,strongneg
truly,strongpos
despicable,strongneg
rich,weakpos
sexy,strongpos
appeal,weakpos
worried,strongneg
corruption,strongneg
point,neutral
seems,neutral
viable,strongpos
supporter,strongpos
wanted,strongpos
maybe,neutral
conspired,strongneg
clog,strongneg
Worthless,strongneg
supporters,strongpos
need,neutral
too,strongneg
trying,weakneg
funny,strongpos
guilt,strongneg
friends,strongpos
schemes,weakneg
‘Blatant,strongneg
Drama,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
pleading,both
specific,neutral
Trusted,strongpos
Wants,strongpos
Acquit,weakpos
Blasts,weakneg
Wrong,strongneg
oh,neutral
tangled,weakneg
Maybe,neutral
responsible,weakpos
crimes,strongneg
Attacks,strongneg
‘Disgraceful,strongneg
lose,strongneg
support,strongpos
holy,weakpos
‘lying,strongneg
humiliated,strongneg
Just,strongpos
clear,strongpos
scared,strongneg
despite,weakneg
idea,neutral
disturbing,strongneg
comments,neutral
Humiliating,strongneg
black,weakneg
Black,weakneg
artificial,weakneg
great,weakpos
looked,neutral
wrong,strongneg
else,neutral
Demanding,both
obnoxious,strongneg
insults,strongneg
huge,neutral
misses,weakneg
attack,strongneg
like,strongpos
belief,neutral
massive,neutral
disastrous,strongneg
‘Rational,weakpos
Protect,strongpos
Idiot,strongneg
toxic,strongneg
Please,strongpos
Firm,neutral
Responsible,weakpos
Missing,weakneg
corrupt,strongneg
enabled,weakpos
blind,strongneg
allowed,weakpos
whatever,weakneg
mess,strongneg
Most,neutral
INDEPENDENT,strongpos
Recover,weakpos
Crushing,strongneg
Loss,strongneg
white,weakpos
worst,strongneg
perfectly,strongpos
mean,neutral
threaten,strongneg
thinking,neutral
weak,strongneg
sneakily,weakneg
loving,strongpos
Interesting,strongpos
definitely,weakpos
hell,strongneg
Challenges,weakneg
really,neutral
still,neutral
unfounded,strongneg
claims,neutral
Knew,neutral
Chronic,strongneg
Addict,strongneg
Anyway,neutral
Yeah,neutral
wish,weakpos
prime,neutral
according,weakpos
Against,weakneg
idiot,strongneg
criticism,strongneg
damage,strongneg
wants,strongpos
proves,neutral
Trial,strongneg
such,neutral
big,neutral
threat,strongneg
Punch,strongneg
Democratic,weakpos
‘Too,strongneg
Much,neutral
Panic,strongneg
refusing,strongneg
primary,neutral
DEEP,neutral
ability,weakpos
position,neutral
defending,weakpos
weird,strongneg
HELP,weakpos
serious,weakneg
losing,strongneg
credible,weakpos
could,neutral
possibly,neutral
creative,strongpos
TIRED,weakneg
suggested,weakpos
disagreement,weakneg
lack,strongneg
lies,strongneg
tyrant,strongneg
keen,weakpos
blocking,weakneg
dangerous,strongneg
streamlined,weakpos
reasonable,strongpos
yes,weakpos
Shocking,strongneg
Primary,neutral
Support,strongpos
traditional,weakpos
strong,weakpos
defeat,strongneg
decide,neutral
Major,neutral
concerned,strongneg
Hard,strongneg
worry,strongneg
‘So,neutral
supporting,strongpos
must,neutral
betrayed,strongneg
nice,weakpos
loved,strongpos
good,strongpos
blast,weakneg
disabled,weakneg
Endorses,strongpos
Assailed,weakneg
frankly,neutral
rather,neutral
free,strongpos
strangled,strongneg
thought,neutral
throttled,strongneg
enough,neutral
kill,strongneg
knew,neutral
killer,strongneg
opinion,neutral
helps,weakpos
little,weakneg
honoring,strongpos
racist,strongneg
fresh,strongpos
hells,strongneg
confidence,strongpos
Joke,weakpos
Thanking,strongpos
Helping,weakpos
pragmatic,weakpos
practical,weakpos
authoritarian,weakneg
ensure,weakpos
fascist,strongneg
demand,both
TOO,strongneg
Well,strongpos
certainly,neutral
INTERESTING,strongpos
Think,neutral
bad,strongneg
Lewd,strongneg
Yes,weakpos
meant,neutral
split,weakneg
elites,strongpos
Real,weakpos
Feelings,neutral
convince,weakpos
historic,strongpos
Seem,neutral
special,strongpos
liar,strongneg
allies,weakpos
hope,strongpos
Little,weakneg
trump,strongpos
crazy,strongneg
strength,neutral
heathen,strongneg
fall,weakneg
hates,strongneg
large,weakpos
Toll,strongneg
Virus,weakneg
nicely,strongpos
Could,neutral
though,neutral
ideas,neutral
genuine,strongpos
views,neutral
Fuzzy,weakneg
feelings,neutral
challenge,weakneg
fact,neutral
qualifies,weakpos
Supporters,strongpos
rat,strongneg
Claims,neutral
Hmm,neutral
looks,neutral
prominent,weakpos
overwhelming,strongneg
irregularities,weakneg
inconsistencies,strongneg
Backing,weakpos
Precisely,weakpos
pretending,weakneg
defense,weakpos
rivals,weakneg
DUMB,strongneg
VICE,strongneg
killing,strongneg
hailed,weakpos
champion,strongpos
impassioned,strongpos
(very,neutral
stand,weakpos
screwed,strongneg
carnage,strongneg
slightly,weakneg
flames,strongpos
force,strongneg
blame,strongneg
lauded,strongpos
blood,weakneg
appropriate,strongpos
obvious,neutral
criticize,strongneg
grossly,strongneg
exaggerating,strongneg
importance,weakpos
mediocrity,strongneg
Should,neutral
thinks,neutral
accurate,strongpos
claiming,neutral
independent,strongpos
falsely,weakneg
accuses,strongneg
feel,neutral
favorite,strongpos
reason,strongpos
assault,strongneg
moderate,weakpos
seem,neutral
try,weakneg
forget,weakneg
failed,strongneg
engages,neutral
crime,strongneg
nature,neutral
victory,strongpos
obviously,weakneg
positive,weakpos
refused,strongneg
denounce,strongneg
confronted,strongneg
Strong,weakpos
privilege,weakpos
fume,weakneg
live,weakpos
incompetence,strongneg
Failed,strongneg
deeply,neutral
‘bogus,strongneg
conspiracies,strongneg
top,weakpos
Tried,weakneg
Electrified,weakpos
finally,neutral
disappointment,strongneg
Moving,neutral
oddities,weakneg
dream,weakpos
rally,strongpos
dreams,weakpos
glistening,weakpos
Great,weakpos
Possible,neutral
well-educated,weakpos
comrades,weakpos
simply,neutral
:OH,neutral
illegal,strongneg
celebrates,strongpos
show,neutral
scream,strongneg
thank,strongpos
arcane,weakneg
deciding,neutral
narrow,weakneg
Oh,neutral
possibility,neutral
compulsory,weakneg
Really,neutral
horrifying,strongneg
immediately,neutral
Refuses,strongneg
courage,weakpos
fake,strongneg
dirt,strongneg
talented,strongpos
stance,neutral
liberty,strongpos
extremely,weakneg
troubling,strongneg
crooked,strongneg
perverted,strongneg
friendly,strongpos
confused,strongneg
wasting,strongneg
Argues,weakneg
Excellent,strongpos
Very,neutral
Looks,neutral
incoherent,strongneg
praised,strongpos
rage,strongneg
hopefuls,strongpos
Fake,strongneg
real,weakpos
idiots,strongneg
high,neutral
Elites,strongpos
loyalty,weakpos
misused,strongneg
aggressive,strongneg
Excluding,weakneg
wealthy,weakpos
disowned,strongneg
justice,strongpos
LOVES,strongpos
unlikely,weakneg
integrity,strongpos
broke,strongneg
sadly,strongneg
close,weakneg
yeah,neutral
hard,strongneg
faith,strongpos
aware,neutral
informative,strongpos
bully,strongneg
barely,weakneg
