Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"92,586",40.5%,,17
Sanders Bernie Sanders,"51,117",22.4%,,9
Bloomberg Michael R. Bloomberg,"38,213",16.7%,,5
Warren Elizabeth Warren,"22,860",10.0%,,0
Buttigieg Pete Buttigieg,"7,657",3.4%,,0
Klobuchar Amy Klobuchar,"7,014",3.1%,,0
Steyer Tom Steyer,"2,070",0.9%,,0
Gabbard Tulsi Gabbard,"1,616",0.7%,,0
Harris Kamala Harris,734,0.3%,,0
Yang Andrew Yang,730,0.3%,,0
Bennet Michael Bennet,597,0.3%,,0
Booker Cory Booker,592,0.3%,,0
Williamson Marianne Williamson,521,0.2%,,0
Delaney John Delaney,502,0.2%,,0
Bullock Steve Bullock,501,0.2%,,0
Sestak Joe Sestak,427,0.2%,,0
Boyd Mosie Boyd,415,0.2%,,0
Castro Julián Castro,324,0.1%,,0
