Word,Polarity
just,strongpos
reason,strongpos
despite,weakneg
overwhelming,strongneg
irregularities,weakneg
inconsistencies,strongneg
confidence,strongpos
grand,strongpos
sophisticated,weakpos
high,neutral
secretive,weakneg
conspiracy,strongneg
joke,weakpos
too,strongneg
difference,neutral
must,neutral
allows,weakpos
allowed,weakpos
cheated,strongneg
Full,neutral
capitalize,weakpos
deserve,weakpos
honor,strongpos
proper,strongpos
still,neutral
screaming,strongneg
,strongpos
else,neutral
really,neutral
proud,strongpos
victory,strongpos
sense,weakpos
Welcome,strongpos
matter,neutral
strong,weakpos
cheating,strongneg
supporters,strongpos
wrong,strongneg
appear,neutral
weak,strongneg
ignored,weakneg
ud,neutral
lose,strongneg
imagine,neutral
cheat,strongneg
better,strongpos
aware,neutral
would,neutral
knowing,neutral
primary,neutral
even,weakpos
much,neutral
less,weakneg
loses,strongneg
Great,weakpos
please,strongpos
muddling,strongneg
Yep,weakpos
so,neutral
close,weakneg
wide-open,weakpos
