Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Sanders Bernie Sanders,"1,946,483",35.2%,,216
Biden Joseph R. Biden Jr.,"1,548,134",28.0%,,165
Warren Elizabeth Warren,"737,345",13.3%,,7
Bloomberg Michael R. Bloomberg,"681,638",12.3%,,15
Buttigieg Pete Buttigieg,"246,427",4.5%,,0
Klobuchar Amy Klobuchar,"125,568",2.3%,,0
Steyer Tom Steyer,"110,890",2.0%,,0
Yang Andrew Yang,"42,317",0.8%,,0
Gabbard Tulsi Gabbard,"32,493",0.6%,,0
Castro Julián Castro,"13,163",0.2%,,0
Bennet Michael Bennet,"6,956",0.1%,,0
Williamson Marianne Williamson,"6,793",0.1%,,0
De La Fuente III Roque De La Fuente III,"5,893",0.1%,,0
Booker Cory Booker,"5,746",0.1%,,0
Delaney John Delaney,"4,397",0.1%,,0
Ellinger Michael Ellinger,"3,223",0.1%,,0
Sestak Joe Sestak,"3,107",0.1%,,0
Greenstein Mark Greenstein,"3,004",0.1%,,0
Patrick Deval Patrick,"1,944",0.0%,,0
Boyd Mosie Boyd,"1,569",0.0%,,0
