Poll,Date,Sample,Sanders,Biden,Warren,Bloomberg,Buttigieg,Klobuchar,Steyer,Gabbard,Spread
Final Results,--,--,33.8,25.1,12.2,14.1,6.2,3.1,2.6,0.7,Sanders +8.7
RCP Average,2/28 - 3/2,--,35.0,23.0,16.0,14.0,6.0,4.0,,1.5,Sanders +12.0
Data for Progress (D)DFP (D),2/28 - 3/2,516 LV,32,25,16,17,5,3,--,2,Sanders +7
EmersonEmerson,2/29 - 3/1,545 LV,38,21,16,11,7,5,2,1,Sanders +17
CBS News/YouGovCBS News,2/27 - 2/29,1411 LV,31,19,18,12,9,4,3,1,Sanders +12
USA Today/SuffolkUSA Today,2/26 - 2/29,500 LV,35,14,12,16,7,5,3,3,Sanders +19
Stanford/YouGovStanford/YouGov,2/26 - 2/28,1020 RV,28,19,18,13,9,6,4,3,Sanders +9
CNNCNN,2/22 - 2/26,488 LV,35,13,14,12,7,6,3,1,Sanders +21
Berkeley IGSBerkeley,2/20 - 2/25,3002 LV,34,8,17,12,11,6,2,--,Sanders +17
KQED/NPRKQED/NPR,2/20 - 2/23,1069 LV,37,12,20,6,11,5,3,2,Sanders +17
MonmouthMonmouth,2/16 - 2/19,408 LV,24,17,10,13,9,4,5,2,Sanders +7
UMass LowellUMLowell,2/12 - 2/20,450 LV,24,13,16,12,12,7,2,4,Sanders +8
KGTV-TV/SurveyUSASurveyUSA,2/13 - 2/16,520 LV,25,15,9,21,12,6,3,--,Sanders +4
PPICPPIC,2/7 - 2/17,573 LV,32,14,13,12,12,5,3,1,Sanders +18
USC/YouGovUSC,2/1 - 2/15,803 LV,29,21,20,8,6,3,2,2,Sanders +8
KQED/NPRKQED/NPR,1/25 - 1/27,1967 LV,30,15,16,4,8,3,2,4,Sanders +14
Berkeley IGSBerkeley,1/15 - 1/21,2895 LV,26,15,20,6,7,5,2,--,Sanders +6
KGTV-TV/SurveyUSASurveyUSA,1/14 - 1/16,565 LV,20,30,20,6,8,2,4,2,Biden +10
PPICPPIC,1/3 - 1/12,530 LV,27,24,23,1,6,4,--,--,Sanders +3
KQED/NPRKQED/NPR,12/6 - 12/10,862 LV,26,19,23,3,12,1,2,3,Sanders +3
CNNCNN,12/4 - 12/8,508 LV,20,21,17,5,9,2,1,2,Biden +1
Berkeley IGSBerkeley,11/21 - 11/27,1694 LV,24,14,22,2,12,3,1,1,Sanders +2
KGTV-TV/SurveyUSASurveyUSA,11/20 - 11/22,558 LV,18,28,13,3,8,1,3,2,Biden +10
PPICPPIC,11/3 - 11/12,682 LV,17,24,23,--,7,1,1,--,Biden +1
KQED/NPRKQED/NPR,10/15 - 10/18,1631 LV,24,19,28,--,9,2,1,2,Warren +4
KGTV-TV/SurveyUSASurveyUSA,10/15 - 10/16,553 LV,17,33,18,--,4,1,1,1,Biden +15
PPICPPIC,9/16 - 9/25,692 LV,21,22,23,--,6,1,1,--,Warren +1
LA Times/BerkeleyLA Times,9/13 - 9/18,2272 LV,19,20,29,--,6,2,0,1,Warren +9
KGTV-TV/SurveyUSASurveyUSA,9/13 - 9/15,547 LV,18,27,16,--,3,1,--,--,Biden +9
EmersonEmerson,9/13 - 9/16,424 LV,26,26,20,--,4,0,1,2,Tie
KQED/NPRKQED/NPR,9/12 - 9/15,3325 LV,23,18,25,--,10,1,0,2,Warren +2
KGTV-TV/SurveyUSASurveyUSA,8/1 - 8/5,528 LV,18,25,21,--,6,0,0,1,Biden +4
CBS News/YouGovCBS News,7/9 - 7/18,1514 LV,16,24,19,--,6,1,1,1,Biden +1
QuinnipiacQuinnipiac,7/10 - 7/15,1125 RV,18,21,16,--,3,0,0,0,Harris +2
LA Times/BerkeleyLA Times,6/4 - 6/10,2131 LV,17,22,18,--,10,1,--,--,Biden +4
QuinnipiacQuinnipiac,4/3 - 4/8,482 RV,18,26,7,--,7,2,--,1,Biden +8
