text,state
"I will #VoteBlueNoMatterWho. If a Dem doesn't win the election, our democracy is done. There is no doubt in my mind. Trump will take revenge on the Dems by destroying all of the social benefits we hold dear. He's a sick man.",illinois
50 bucks to  Warren!,illinois
"I am 100% confident that there is no way he's going to pick gabbard. You will see. If there are actually real living human beings that are hoping for this, I don't know what they are smoking. But I think it's got to be a disinformation campaign.",illinois
"Someone on this hellsite floated Gabbard as Bernie's running mate, and now I want to walk into the lake.",illinois
nobody likes it when I casually mention that every single presidential candidate is a republican (except sanders who is basically just a democrat 100 years ago),illinois
"The corpse of Biden that is, His wife should pull him from the race.",illinois
Which who divided and mostly depressed.      A few like warren.  Some Bernie.  Some Bloomberg/Biden.  But# all ( black and white and Latino young and old.  Wish someone more Inspiring,illinois
Oh please. Trump wants Sanders to win so they can run 10000 ads calling him a socialist.  End of story,illinois
"Thats why i am annoyed of bernie bros. Im for sanders but his base is like the blue maga crowd but minus the stupidity and believing in false info stuff, just equally passionate about their candidates.",illinois
"Unfortunately, the answer is yes. Especially when the sentencing is being determined by a liberal-left, socialist democrat judge; to a personal friend of our current President-a known D.C. beltway outsider Conservative, forced to run as a Repulican.",illinois
The only reason @realDonaldTrump pardoned @governorrod Blagojevich was for a quid pro quo for the next Democrat President to pardon @Trump .,illinois
Bernie has been unrealistic & inneffective/My way or no way BIDEN/WARREN HARRIS AG #VoteBlueNoMatterWho2020 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #Independents #Indigenous #P2 #Latino #BLM,illinois
Sanders should also be raising hell in the Senate to pass protective legislation.,illinois
Unity=BIDEN/WARREN HARRIS AG KLOBUCHAR SOS BUTTIGIEG HS CASTRO DHHS #VoteBlueNoMatterWho2020 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ,illinois
"The clearest lesson of this primary, is the people making the broadest declarations about cultural/racial voter preference continuously being the most wrong take.",illinois
Oh hey cool I can early vote starting tomorrow! Not an ex but still voting for Warren :),illinois
