text,state
"Sir do you not feel the fear in most of US? The country is burning....being destroyed by these traitors!  You and the other leaders in Dem Party need to get together, get the ex Presidents and lead US in mass demonstrations!  #Resist",mississippi
"Indeed, but we read from left to right, not vice versa, and Bernie had to rise one place if Biden has fallen two places.",mississippi
The media sees that biden is toast. So they escalate bloom to suppress Bernie.,mississippi
Thank you!  She's my first choice too.  Our primary isn't until May.,mississippi
stop tweeting about bloomberg and start texting for bernie,mississippi
"I need to clarify this based on the comments. Rep. Jayapal's M4A bill has no out-of-pocket costs. Sen. Sanders's bill has no OOP costs except for a maximum of $200/person for prescription drugs.   Both are great bills, but because Jayapal's bill eliminates OOP costs, I prefer it.",mississippi
Yes King - you dem ways too.,mississippi
Biden?! Seriously?  wow okay. Totally believable,mississippi
"Hard to tell with your countries crazy Electoral College if it was a true Democracy where the one with the most votes win I would say definitely a Moderate,I personally like Pete because he resembles the most popular Dem Presidents JFK,Clinton & Obama all young,smart & Moderates",mississippi
Breaking news: Tulsi Gabbard doesn't vote in 2020 election because it is 'too partisan',mississippi
He's a Democrat how much more evidence do you need? There's not a damn one of them that doesn't belong in jail let alone running for president.,mississippi
"It's a COMBINED school. Primary = Grade R to 7, and  Secondary/High = Grade 8 to 12. Do you understand now Sir? Mistakes are there to be rectified. Maybe the lady meant Grade 8...just admit.",mississippi
"We certainly use it (and other preservatives) like it is the best thing in the world. And, your logic is rather faulty, Sweetheart.",mississippi
he really wanna touch the bloomberg,mississippi
Way to hard to model with the addition of early voting.  Any guess Jon on what percentage of voters will choose the early vote option? Looks like a lot less hassle than actually attending a caucus.,mississippi
You know why.,mississippi
