text,state
Great breakthrough in Iowa's caucus! #IowaCaucusDisaster #IowaCaucas #IowaCaucuses2020pic.twitter.com/eIaYdGt4pV,texas
"#Bernie2020 @SenSanders if they successfully cheat you out of this nomination, you have no choice but to run Independent. Because NONE of us will be voting Democrat. You & @TulsiGabbard as the Independent or Green ticket would win in a landslide.",texas
Lmao I said the same thingpic.twitter.com/mz5BPw2OLJ,texas
big shocker the amazon owned paper is censoring yang,texas
Union is stronger with President. Democrat Socialist have no unity,texas
"bet lets get itttt, we'll start planning it at the end of this month",texas
That only helps if an Independent like Bernie runs that can defeat both Republican & Democrat.,texas
I ment no. Exclude my vote I see Yang and I type yes!! My ape roots are strong!!,texas
Grandpa Biden... Is Not Funny!,texas
"#Sanders #Buttigieg almost tied for state delegates, #warren in third. #Sanders in first for popular vote #IowaCaucuses2020",texas
glad we all got to spend it with you  bro,texas
Buttigieg brings nothing to the White House that we or the world can live with.,texas
"So many people think voting is mandatory, but if it ends up being Trump vs. Buttigieg? Fuck both of them.",texas
We doing our best!!  gotta keep Josh outta dem beignets though,texas
Biden getting smoked in these returns. Now we know why his campaign was casting doubt on the  results.,texas
lets make it happen an i'll cop the ticket,texas
