text,state
I will say again. If Elizabeth Warren were a man she would be the favorite democratic candidate by a large margin.,iowa
"Who needs two billionaires in the race, that lane ain't wide enough.  Steyer should drop out, throw his support behind Bloomberg,  and spend his money on helping win the Senate.",iowa
Ano 'yang censored? ,iowa
"Lmao DEMS Knew They Had NO ONE And NO WAY To Beat POTUS In 2020; DEMS Claimed Ukraine Call Was To Rig Election Against Biden, Killing Terrorists/Iran War To Rig Election & Now Their Using Their Own Fake Impeachment Scam As Their Excuse For LOSING 2020!",iowa
Neither of them would have to worry about counting votes in a Dem majority if they were to be the nominee.,iowa
Right. I said on the pod that Sanders was the best fit here. Anderson is a better version of Ginn. We really could've used a better Y down the stretch. You're right thoug a guy with deep speed wasnt what we needed. Heck we have a guy in Harris. Just nobody can get him the ball.,iowa
I am tired of people who are judgmental.  I am not leftist or socialist or marxist or democrat.   You do have freedom of speech :)  Keep it up but need to say it louder!,iowa
Coins I see make dem feel free....if dema own come dem go understand,iowa
I wouldn't vote for anyone other than the Dem nominee.  But I wonder how many Bernie supporters did vote for Trump because they'd rather had Trump as Pres.  I have no doubt we would have been much better off with HRC as Pres.,iowa
"I hate to break it to you, but the DCCC does not exist to primary Democratic elected officials. Which is what you want them to do. Not going to EVER happen.   AOC needs to be booted from the primary, or at least denied ALL party resources if she refuses to pay the required dues.",iowa
The girl in pic you posted looks like she just had wild sex. That's all. ,iowa
Draw Lucky Rider(the St Patrick version Overtaker),iowa
Trump is dying to run against Sanders or Warren.,iowa
"No lies. I had some hot dogs! Omg! The soup was over a year ago when I lived I the coast and the ""we"" get egg and and dairy are for my honey. I don't eat them. And the ""we"" for the deer was a friend who came to the house to hunt.Imuted her long ago..she's not looking for a convo",iowa
"30yrs ago I was in primary school, but that not still makes perfect sense to me.",iowa
"I thought it was classic. In all seriousness, they should be playing every few years. Tons of NDSU alum in the cities, and tons of MN kids on the roster",iowa
"I quit her when she gave her entire show the night before the New Hampshire primary to Clinton and giggled-- I kid you not, GIGGLED -- her way through a ""give it up. He's losing"" speech. Journalist my foot.",newhampshire
"The underrated scenario is that Biden wins in Iowa, and gets on a roll where he wins New Hampshire. He'd be all but unstoppable to get a majority of delegates. This is something both @HotlineJosh and @NateSilver538 have contemplated.",newhampshire
"The underrated scenario is that Biden wins in Iowa, and gets on a roll where he wins New Hampshire. He'd be all but unstoppable to get a majority of delegates. This is something both @HotlineJosh and @NateSilver538 have contemplated.",newhampshire
"Wow! New Hampshire Primary results:   Bernie Sanders, who has been at it for so long, has a great night. I look forward to working with him again in the future. We will be doing very well!",newhampshire
"Annnnd latest polling shows Bernie up, Warren down. Apparently I'm not the only one who felt this way. Bernie now leading in New Hampshire, Warren 3rd place tied with Biden.",newhampshire
"New: New Hampshire Rep. Annie Kuster plans to endorse Pete Buttigieg for president, a spox for the mayor tells CNN.   Kuster will officially endorse the mayor on Friday when he travels from Iowa to headline an event in Concord, NH.  This is a significant get for Buttigieg.",newhampshire
Perfect analysis. Biden has to be the target.  @davidsirota is pushing out great content about Joe. The past that must come back to haunt him.  How on earth could you win on THAT record??!! Fervently hoping the people of Iowa and New Hampshire will be made aware in time!,newhampshire
"Sanders is leading the field in New Hampshire at 23 percent, followed by former South Bend, Indiana, Mayor Pete Buttigieg at 18 percent, and former Vice President Joe Biden and Senator Elizabeth Warren both at 14 percent. ",newhampshire
"If the Presidential primary did not start an absurd two years too early, there would be more excitement now & minorities would have lasted until at least New Hampshire! In 1992 everyone lasted! Ironically political consultants will advise against this because they want their pay!",newhampshire
Perfect analysis. Biden has to be the target.  @davidsirota is pushing out great content about Joe. The past that must come back to haunt him.  How on earth could you win on THAT record??!! Fervently hoping the people of Iowa and New Hampshire will be made aware in time!,newhampshire
National Rankings 1. Mass - republican 2. NJ - democrat 3. Vermont - republican 4. New Hampshire - republican 5. Connecticut - democrat 6. Maryland - republican 7. Wyoming - republican 8. Pennsylvania - democrat 9. New York - democrat 10. Minnesota - democrat/farmer,newhampshire
2020 Watch-New Tonight: @JoeBiden to return to the #FITN presidential primary state of New Hampshire on Friday 1/24 and Saturday 1/25. The campaign says details are forthcoming. #nhpolitics #FITN #JoeBiden #mapolipic.twitter.com/YesOwRN4Jc,newhampshire
"Coming off her stellar performance at last night's debate, Elizabeth Warren just announced endorsements from 100 labor leaders and union members in New Hampshire.  pic.twitter.com/r8wsUu6oYw",newhampshire
"In 2016, @BernieSanders over-performed on caucus day with respect to Iowa primary polling. He's gonna win Iowa, then New Hampshire & California, and then the nomination. @TheYoungTurks @TYTLive",newhampshire
I'll be voting for @BernieSanders in the New Hampshire primary!,newhampshire
"@NateSilver538 if Sanders wins Iowa, New Hampshire, and Nevada (which is all very plausible), does that boost him on Super Tuesday or is early state momentum not that strong anymore",newhampshire
"I will happily trade John Bolton for Hunter Biden anytime. Bolton has no proof by heresay, many persons will contradict him. But nobody can contradict the Biden video. Game over",nevada
We want the #WhistleBlower Eric the DemocRat ,nevada
Let me guess theres gonna b millions of ppl there to see you and there all gonna be waitng in the cold just to see you those are more of your lies rt donald i will nvr call you my president you dont know act like a president everythng you do the new dem pres is going to clean up,nevada
The hammer and sickle are a symbol for the unity of the peasantry and working class. Im a social democrat but the revisionism drives me  nuts. Dont let other people define you or your movement.,nevada
Put them in a room with Biden.,nevada
'bout as relevant as Hunter Biden. Pathetic.,nevada
3 things happened in April 2019:  A new President was elected to Ukraine (Zelensky)  Joe Biden announced his candidacy for US President after months of uncertainty on his decision   Last but not least...Hunter Biden left the board of Burisma,nevada
"The diplomat that Trump himself appointed to lead his Ukraine policy has blasted it as 'self serving' and 'not credible.' Joe Biden was instrumental to a bipartisan and international anti-corruption victory. It's no surprise that such a thing is anathema to President Trump.""",nevada
I love Joe Biden and I loved Obama I was out of the country,nevada
Well if they feel we need more witnesses... We need: Hunter Biden Joe Biden The whistleblower 1 and 2 Adam Schiff etc. etc. etc. Let's go! Game on.,nevada
Pretty sure biden is the front runner son.,nevada
"2/2) There is an actual primary account of crusades where Muslims were surprised at how backward Europeans were, how unhygienic their life was, AND most of all---how they completely lacked ghairah (protective jealousy for their women)   So even then, you were cucks   (Google)",nevada
"I mean, it looks like Giuliani and his buddies played Trump to have Yovanovitch fired so they could run their Ukraine/Turkey energy deals unimpeded. I imagine the Biden investigation idea came from Giuliani and Trump, feeling bright, threw in the leverage aspect.",nevada
"I say bring on the witnesses. I don't think they are necessary, but if the Senate does, well..... let's have them. Start with Adam Schiff and the Whistleblower. Then go to Hunter Biden. Blow all the corruption up!",nevada
I was actually considering Ryuu too cus he has dem SSR cards for white day I think but I actually need to buy a new Ryu wig QQ  Maybe I do him for White Day shoot ~~~ hehehe,nevada
You're right. Bernie isn't a democrat. He has a spine. #VotingForBernie #fuckthednc,nevada
"The hope is Buttigieg is an Iowa and New Hampshire candidate and crashes, Biden wins South Carolina and people don't buy what Bloomberg is selling.   Does that happen? Maybe, but there is a risk for a Santorum and Gingrich situation.",southcarolina
#CaucusForYang ,southcarolina
Biden dropping daily and Steyer barely pegs polls. Biden also lost support of some Black leaders in South Carolina last week.,southcarolina
I think the argument is that Iowa(and NH) is a state where Bernie/Buttigieg/Warren/Klobuchar type can over perform and Biden has states like South Carolina to lean on (although I question this assumption).,southcarolina
Awesome! #CaucusForYang,southcarolina
"Biden's reliance on South Carolina reminds me of Jeb! If he hasn't won any state before South Carolina, he probably won't win there either.",southcarolina
"I read magats were calling & bogging up the lines, saying they wanted to vote for Trump. I'm sure that didn't help. Republicans are being instructed to vote for Bernie in South Carolina's democratic primary, so Joe doesn't get the votes...  They can't win unless they cheat.",southcarolina
I just realized what it is about Buttigieg that peeves me so much (that's unrelated to politics). He's such a fucking Karen. Also I'm still not over the fact that his campaign didn't get publicly executed for straight up faking 400 black South Carolina supporters.,southcarolina
I think I saw Sanders #1 with Latinos but a clear #2 with Black's. South Carolina being in play is pretty big news for Sanders and crushing for Biden,southcarolina
