tweet,sentiment
So Bloomberg is doubling his Ad budget...cool. Waste that money. Does anyone ever pay attn to those ads? Most people record shows and fast forward LOL,Negative
Well.. Sine everyone else is doing it... I'm really proud of my victory at the caucus tonight.,Positive
That is all biden ever  was  was a flat out liar.him and obama both.obama made him the vp for just that reason .,Neutral
"If he wants to become a Democrat, great. One less seat to flip",Positive
"Welcome to the caucus, where the rules are made up and the numbers don't matter!",Negative
What exactly does Biden have to do with this? A private citizen that I don't support. The Grab Em By The Pussy guy is my focus. He's a criminal.,Strong Negative
This caucus shit has me honkin' like a goose!,Negative
Some one come check Biden in worried,Negative
Biden was sullied to death. Will Romney endorse Bloomberg next?,Negative
"Biden might be going away, but after what Trump and his goons have done to him, let's beat their dumb asses for Joe!",Strong Negative
"Just. Another  Democrat that cares nothing about America's safety. Pete Juda bug will take our guns,ammunition and close practice ranges so much for gun safety. He has discussed putting a50 % tax on firearms and a 75% tax on ammunition.Who will control our animal population.",Negative
Saw someone say the caucus made sense back in the day because they did it in a tavern.  They didn't elaborate,Positive
His caucus crowds were strong: In size and in energy! #PeteForAmerica,Strong Positive
Biden handed their asses to them. #Facts,Positive
"Where's Warren and Amy? Warren finished a respectable 3rd in Iowa, not 7th",Neutral
"As I will never capitalize democrat, I will never capitalize romney.   Neither deserve the honor bestowed by the English language in the form of proper noun. They are just nouns.",Negative
PRICELESS! Commie Warren loses again. That woman could never tell the truth and never will.,Strong Negative
"It's ok, he is a Dem, no big deal if one of their own does this crap.",Negative
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",Neutral
"The Nashville Flea Market Vendors Association supports racing. However, the Flea, its vendors and customers are our primary focus.",Neutral
"Wow! Dozens of Democrat #Baltimorons won't vote for Trump. Breaking news. Great reporting @baltimoresun. How many stories has @baltimoresun broken regarding the corrupt officials of @BaltCityHall, @BaltCitySchools or @StateMaryland?? Zip, zero, nada.",Negative
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",Positive
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,Strong Negative
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",Negative
Biden is your only choice?,Neutral
can you hold off a bit? was a bit early last time,Neutral
