Word,Polarity
Hmm,neutral
hmm,neutral
know,neutral
please,strongpos
love,strongpos
react,neutral
help,weakpos
natural,strongpos
best,weakpos
Serious,weakneg
straight,weakpos
yawned,strongneg
toxic,strongneg
supporters,strongpos
Please,strongpos
so,neutral
Firm,neutral
Responsible,weakpos
Missing,weakneg
corrupt,strongneg
enabled,weakpos
blind,strongneg
allowed,weakpos
whatever,weakneg
mess,strongneg
Most,neutral
endorse,strongpos
INDEPENDENT,strongpos
black,weakneg
Recover,weakpos
Crushing,strongneg
Loss,strongneg
lose,strongneg
white,weakpos
like,strongpos
worst,strongneg
perfectly,strongpos
mean,neutral
else,neutral
should,neutral
threaten,strongneg
thinking,neutral
weak,strongneg
sneakily,weakneg
loving,strongpos
Interesting,strongpos
radical,weakneg
definitely,weakpos
hell,strongneg
Challenges,weakneg
really,neutral
want,strongpos
still,neutral
trying,weakneg
unfounded,strongneg
claims,neutral
support,strongpos
holy,weakpos
‘lying,strongneg
humiliated,strongneg
Just,strongpos
clear,strongpos
scared,strongneg
despite,weakneg
well,strongpos
idea,neutral
disturbing,strongneg
comments,neutral
Humiliating,strongneg
Lying,strongneg
Black,weakneg
artificial,weakneg
would,neutral
sure,weakpos
Wrong,strongneg
great,weakpos
looked,neutral
corruption,strongneg
wrong,strongneg
just,strongpos
Demanding,both
right,weakpos
obnoxious,strongneg
insults,strongneg
lying,strongneg
huge,neutral
misses,weakneg
Top,weakpos
attack,strongneg
belief,neutral
massive,neutral
disastrous,strongneg
‘Rational,weakpos
Protect,strongpos
Idiot,strongneg
doubt,strongneg
need,weakneg
sob,strongneg
deal,strongpos
knowing,neutral
sinister,strongneg
rat,strongneg
delusional,strongneg
Supporters,strongpos
Abandoned,strongneg
tried,weakneg
too,strongneg
Knew,neutral
Chronic,strongneg
Addict,strongneg
Anyway,neutral
Yeah,neutral
wish,weakpos
prime,neutral
according,weakpos
against,weakneg
truly,strongpos
Against,weakneg
Abuse,strongneg
idiot,strongneg
criticism,strongneg
So,neutral
wanted,strongpos
damage,strongneg
wants,strongpos
proves,neutral
viable,strongpos
Trial,strongneg
such,neutral
big,neutral
threat,strongneg
Punch,strongneg
much,neutral
harm,strongneg
think,neutral
cut,weakneg
