Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Sanders Bernie Sanders,"352,316",37.0%,,21
Biden Joseph R. Biden Jr.,"235,091",24.7%,,12
Bloomberg Michael R. Bloomberg,"176,814",18.5%,,9
Warren Elizabeth Warren,"167,356",17.6%,,7
Gabbard Tulsi Gabbard,"9,974",1.0%,,0
Yang Andrew Yang,"3,971",0.4%,,0
Steyer Tom Steyer,"3,313",0.3%,,0
Booker Cory Booker,"1,273",0.1%,,0
De La Fuente III Roque De La Fuente III,"1,132",0.1%,,0
Williamson Marianne Williamson,"1,081",0.1%,,0
Krichevsky Rita Krichevsky,442,0.0%,,0
Wells Robby Wells,328,0.0%,,0
Patrick Deval Patrick,225,0.0%,,0
Klobuchar Amy Klobuchar,0,0.0%,,0
Buttigieg Pete Buttigieg,0,0.0%,,0
