Word,Polarity
slow,weakneg
big,neutral
needs,neutral
immediately,neutral
(opinion,neutral
Less,weakneg
Enrages,strongneg
DRUNK,strongneg
Speculation,neutral
blames,strongneg
Support,strongpos
expose,weakneg
hypocrisy,strongneg
Proud,strongpos
know,neutral
would,neutral
like,strongpos
disaster,strongneg
Democratic,weakpos
‘Real,weakpos
Cheap,weakneg
primary,neutral
Best,weakpos
Known,neutral
alleges,weakneg
errors,strongneg
still,neutral
best,weakpos
besides,neutral
forgot,weakneg
really,neutral
bad,strongneg
Rivals,weakneg
worry,strongneg
insurmountable,strongneg
Super,strongpos
So,neutral
good,strongpos
pure,strongpos
propaganda,strongneg
supporter,strongpos
freaking,strongneg
kidding,weakpos
wicked,strongneg
dictator,strongneg
tortured,strongneg
killed,strongneg
imprisoned,weakneg
shame,strongneg
tyrant,strongneg
destroyed,strongneg
Specifically,neutral
possibility,neutral
against,weakneg
baby,neutral
could,neutral
happily,strongpos
backing,weakpos
most,neutral
possibly,neutral
scare,strongneg
important,weakpos
bolsters,strongpos
celebrates,strongpos
popular,weakpos
Favorite,strongpos
want,strongpos
commitment,weakpos
Lies,strongneg
Interference,strongneg
claims,neutral
Great,weakpos
sure,weakpos
Screwing,strongneg
sorry,strongneg
undermine,strongneg
reasons,strongpos
low,strongneg
diminishing,weakneg
think,neutral
real,weakpos
TRUTH,strongpos
wants,strongpos
comment,neutral
personalities,weakpos
mean,neutral
nice,weakpos
just,strongpos
hoping,strongpos
recognition,weakpos
deserves,weakpos
successful,strongpos
loser,strongneg
actually,neutral
means,neutral
stupid,strongneg
else,neutral
pretends,weakneg
democratic,weakpos
loves,strongpos
matter,neutral
white,weakpos
need,neutral
Needs,weakneg
likely,neutral
split,weakneg
should,neutral
allowed,weakpos
insane,strongneg
whatever,weakneg
care,strongpos
hate,strongneg
opinion,neutral
grouchy,strongneg
angry,strongneg
less,weakneg
aware,neutral
lies,strongneg
much,neutral
perverted,strongneg
argue,weakneg
happy,strongpos
highlights,strongpos
proud,strongpos
so,neutral
Yes,weakpos
better,strongpos
ignorance,strongneg
arrogance,strongneg
decent,strongpos
Better,strongpos
concerned,strongneg
though,neutral
favorite,strongpos
regret,strongneg
even,weakpos
close,weakneg
Actually,neutral
appreciate,weakpos
disavow,strongneg
Thank,strongpos
kind,strongpos
right,weakpos
friends,strongpos
seem,neutral
hell,strongneg
hopeless,strongneg
Sincerely,strongpos
protesting,strongneg
relations,neutral
terrible,strongneg
position,neutral
disastrous,strongneg
stand,weakpos
Even,weakpos
particular,neutral
decide,neutral
kill,strongneg
deserve,weakpos
too,strongneg
blow,strongneg
poor,strongneg
sad,strongneg
rhetoric,weakneg
fallen,weakneg
differences,neutral
hatred,strongneg
greatest,weakpos
attacked,strongneg
corrupt,strongneg
lier,strongneg
admitted,weakpos
irks,strongneg
rigor,weakneg
holes,strongneg
feel,neutral
friend,strongpos
help,weakpos
resignation,weakneg
lawless,strongneg
rogue,strongneg
Apparently,neutral
nightmare,strongneg
refused,strongneg
embrace,strongpos
mocked,strongneg
supporting,strongpos
waste,strongneg
support,strongpos
panic,strongneg
power,neutral
wisely,strongpos
Still,neutral
purity,strongpos
positive,weakpos
completely,neutral
indisputable,weakpos
scourge,strongneg
however,neutral
ample,strongpos
interfering,strongneg
well,strongpos
allow,weakpos
divisiveness,strongneg
lying,strongneg
crushed,strongneg
supporters,strongpos
sounding,weakneg
disagrees,weakneg
great,weakpos
rivals,weakneg
positions,neutral
Celebrating,strongpos
facts,neutral
proven,neutral
thinks,neutral
abusive,strongneg
racist,strongneg
denies,strongneg
Facts,neutral
abuse,strongneg
truthfulness,strongpos
refusing,strongneg
honor,strongpos
promises,weakpos
rejects,strongneg
overturn,weakneg
show,neutral
moral,weakpos
backbone,weakpos
