Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"1,077,116",62.0%,,162
Sanders Bernie Sanders,"397,091",22.8%,,57
Bloomberg Michael R. Bloomberg,"146,539",8.4%,,0
Buttigieg Pete Buttigieg,"39,879",2.3%,,0
Warren Elizabeth Warren,"32,843",1.9%,,0
Klobuchar Amy Klobuchar,"17,269",1.0%,,0
Gabbard Tulsi Gabbard,"8,711",0.5%,,0
Yang Andrew Yang,"5,286",0.3%,,0
Bennet Michael Bennet,"4,244",0.2%,,0
Steyer Tom Steyer,"2,510",0.1%,,0
Williamson Marianne Williamson,"1,744",0.1%,,0
Delaney John Delaney,"1,583",0.1%,,0
Booker Cory Booker,"1,506",0.1%,,0
Castro Julián Castro,"1,036",0.1%,,0
Sestak Joe Sestak,664,0.0%,,0
Patrick Deval Patrick,661,0.0%,,0
