date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-25,0,0.5,0,0,0,0,0,0.8181818181818182,0,0,0
2020-02-26,0,0.5714285714285714,0,0,0,0,0,1.6666666666666667,0,0,0
2020-02-27,0,1.6666666666666667,0,0,0,0,0,1.8181818181818181,0,0,0
2020-02-28,0,1.4,0,0,0,0,0,1.3333333333333333,0,0,0
2020-02-29,0,1.3333333333333333,0,0,0,0,0,3.0,0,0,0
2020-03-01,0,2.8,0,0,1.0,0,0,2.0,0,0,0
2020-03-02,0,2.4545454545454546,0,0,1.0,0,0,2.0,0,0,0
2020-03-03,0,2.6,0,0,1,0,0,8.0,0,0,0
2020-03-04,0,1.2857142857142858,0,0,0,0,0,2.2,0,0,0
2020-03-05,0,1.6666666666666667,0,0,0,0,0,1.75,0,0,0
2020-03-06,0,2.4545454545454546,0,0,2,0,0,0.625,0,0,0
2020-03-07,0,1.0909090909090908,0,0,0,0,0,1.0,0,0,0
2020-03-08,0,0.8181818181818182,0,0,0,0,0,1.8181818181818181,0,0,0
2020-03-09,0,1.4375,0,0,0,0,0,14.0,0,0,0
2020-03-10,0,1.1111111111111112,0,0,0,0,0,1.0,0,0,0
2020-03-11,0,1.875,0,0,0,0,0,3.5,0,0,0
2020-03-12,0,0.52,0,0,0,0,0,1.2,0,0,0
2020-03-13,0,0.9090909090909091,0,0,0,0,0,0.6,0,0,0
2020-03-14,0,1.2142857142857142,0,0,3,0,0,1.375,0,0,0
2020-03-15,0,1.0,0,0,0,0,0,0.2222222222222222,0,0,0
