date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-25,0,34.0,0,0,0,0,0,13.0,0,0,0
2020-02-26,0,34.0,0,0,0,0,0,13.0,0,0,0
2020-03-04,0,61.0,0,0,0,0,0,12.0,0,0,0
2020-03-05,0,63.5,0,0,2.0,0,0,23.5,0,0,0
2020-03-06,0,64.74,0,0,2.0,0,0,22.34,0,0,0
2020-03-07,0,64.74,0,0,2.0,0,0,22.34,0,0,0
2020-03-08,0,65.675,0,0,1.6666666666666667,0,0,21.675,0,0,0
2020-03-09,0,64.56666666666666,0,0,1.6666666666666667,0,0,24.233333333333334,0,0,0
2020-03-10,0,64.925,0,0,1.6666666666666667,0,0,24.425,0,0,0
2020-03-11,0,64.675,0,0,2.0,0,0,25.675,0,0,0
2020-03-12,0,64.675,0,0,2.0,0,0,25.675,0,0,0
