Word,Polarity
cut,weakneg
hates,strongneg
lying,strongneg
felt,neutral
humiliated,strongneg
just,strongpos
Support,strongpos
against,weakneg
hate,strongneg
war,weakneg
deals,strongpos
evil,strongneg
trying,weakneg
destroy,strongneg
Bitter,strongneg
jealous,strongneg
primary,neutral
show,neutral
shows,neutral
‘Lying,strongneg
Very,neutral
Sad,strongneg
Desperate,strongneg
Yeah,neutral
real,weakpos
bad,strongneg
annoyed,strongneg
so,neutral
hopefully,strongpos
‘lying,strongneg
Against,weakneg
abyss,strongneg
desperation,strongneg
clear,strongpos
split,weakneg
Retired,weakneg
moderate,weakpos
views,neutral
best,weakpos
perfect,strongpos
fascinating,strongpos
Still,neutral
though,neutral
confidence,strongpos
overwhelming,strongneg
emotion,neutral
Anxiety,strongneg
‘disown,strongneg
attacks,strongneg
supporters,strongpos
Glaring,strongneg
extorting,strongneg
corrupt,strongneg
would,neutral
sure,weakpos
protected,strongpos
interests,strongpos
Deserves,weakpos
-Crimes,strongneg
So,neutral
much,neutral
HARD,strongneg
‘need,neutral
defends,weakpos
weird,strongneg
mean,neutral
Oh,neutral
forgot,weakneg
worse,strongneg
pretty,weakpos
darn,strongneg
right,weakpos
definitely,weakpos
affinity,weakpos
racist,strongneg
points,neutral
too,strongneg
confronts,strongneg
thrown,weakneg
still,neutral
free,strongpos
Tries,weakneg
defending,weakpos
stance,neutral
Clearly,weakpos
think,neutral
should,neutral
defense,weakpos
attacked,strongneg
Accepting,weakpos
‘big,neutral
mistake,strongneg
Help,weakpos
strong,weakpos
Black,weakneg
Ultimatum,strongneg
well,strongpos
extremely,weakneg
Good,strongpos
threats,strongneg
vicious,strongneg
malicious,strongneg
enough,neutral
simply,neutral
needs,neutral
dangerous,strongneg
appalling,strongneg
Definitely,weakpos
humanity,weakpos
Shame,strongneg
wants,strongpos
disown,strongneg
good,strongpos
argues,weakneg
safe,strongpos
light,strongpos
else,neutral
alienation,strongneg
really,neutral
Claims,neutral
Lying,strongneg
proven,neutral
false,weakneg
large,weakpos
look,neutral
Exclusive,strongpos
Disastrous,strongneg
means,neutral
oh,neutral
trump,strongpos
exactly,neutral
wanted,strongpos
weakening,strongneg
agree,weakpos
throwing,weakneg
Vulnerable,weakpos
fears,strongneg
liberal,weakpos
Falsely,weakneg
mistaken,strongneg
hero,strongpos
truth,strongpos
‘Ridiculous,strongneg
Praise,strongpos
Would,neutral
Too,strongneg
alliances,neutral
crumbles,strongneg
Vindicated,strongpos
Revealed,neutral
appearances,neutral
losses,strongneg
Just,strongpos
idiot,strongneg
Honor,strongpos
praising,strongpos
Endorses,strongpos
Wrong,strongneg
Need,neutral
most,neutral
Confronted,strongneg
Reaction,neutral
reason,strongpos
supporting,strongpos
want,strongpos
black,weakneg
white,weakpos
better,strongpos
rich,weakpos
smearing,strongneg
claims,neutral
protesting,strongneg
death,strongneg
actually,neutral
endorsed,strongpos
Disown,strongneg
Supporters,strongpos
Should,neutral
imagine,neutral
reckless,strongneg
glad,strongpos
suppress,strongneg
warfare,strongneg
corruption,strongneg
ego,weakneg
erased,strongneg
help,weakpos
knew,neutral
criticism,strongneg
defend,weakpos
likely,neutral
close,weakneg
support,strongpos
endorsement,strongpos
key,neutral
need,neutral
obviously,weakneg
naturally,strongpos
(smooth,weakpos
confident,strongpos
heavily,strongneg
imply,neutral
endorsements,strongpos
direct,neutral
challenge,weakneg
shown,neutral
point,neutral
forcing,strongneg
RACIST,strongneg
helps,weakpos
leaked,weakneg
blaming,strongneg
murders,strongneg
Maybe,neutral
incorrect,strongneg
correct,strongpos
LOSER,strongneg
Seem,neutral
back,weakpos
VICE,strongneg
rather,neutral
Boosts,strongpos
Survivors,weakpos
yeah,neutral
worry,strongneg
regretting,strongneg
wasting,strongneg
sabotage,strongneg
Exposes,weakneg
fat,weakneg
stupid,strongneg
hope,strongpos
please,strongpos
love,strongpos
condone,strongpos
brutality,strongneg
know,neutral
hell,strongneg
threatens,strongneg
Democratic,weakpos
Defending,weakpos
nice,weakpos
Virus,weakneg
‘Wisdom,strongpos
guarantee,weakpos
wanting,strongpos
unprecedented,weakneg
torrent,strongneg
enabled,weakpos
Top,weakpos
Influence,neutral
‘Kill,strongneg
Glad,strongpos
rivals,weakneg
welcome,strongpos
feel,neutral
kill,strongneg
rapid,neutral
great,weakpos
power,neutral
mocking,strongneg
Uncomfortable,strongneg
Extremely,weakneg
Dismayed,strongneg
scared,strongneg
Exposed,weakneg
alleged,weakneg
even,weakpos
rescue,strongpos
Pity,strongneg
poor,strongneg
harmonize,strongpos
worried,strongneg
Sorry,strongneg
racism,strongneg
guilty,strongneg
Warm,weakpos
critical,strongneg
equality,strongpos
believe,neutral
thinks,neutral
discriminatory,weakneg
violated,strongneg
deserve,weakpos
fuzzy,weakneg
Considering,neutral
considering,neutral
interesting,strongpos
loses,strongneg
indeed,neutral
tastes,neutral
hopeful,strongpos
seems,neutral
throw,weakneg
full,neutral
superior,strongpos
remarks,neutral
could,neutral
revenge,strongneg
dictator,strongneg
defended,weakpos
moving,neutral
big,neutral
lost,strongneg
risk,weakneg
certain,neutral
ambitious,weakpos
maybe,neutral
helped,weakpos
progressive,weakpos
hypocritical,strongneg
hurting,strongneg
Comments,neutral
attack,strongneg
attacking,strongneg
overwhelmingly,strongneg
opposition,strongneg
criminals,strongneg
interested,strongpos
praised,strongpos
thinking,neutral
bully,strongneg
wild,strongneg
criticize,strongneg
helping,weakpos
championed,strongpos
forget,weakneg
genius,strongpos
care,strongpos
agreed,weakpos
harassment,strongneg
idiots,strongneg
puppets,weakneg
ensure,weakpos
erase,strongneg
Racism,strongneg
decries,strongneg
least,weakneg
charitable,strongpos
vast,weakpos
(traditional,weakpos
drunken,strongneg
Wisdom,strongpos
Showing,neutral
Debatable,weakneg
Distinctive,weakpos
Lack,strongneg
Most,neutral
understand,weakpos
position,neutral
wrong,strongneg
break,strongneg
appear,neutral
wonder,strongpos
Think,neutral
lies,strongneg
funny,strongpos
clears,strongpos
sabotaged,strongneg
plotted,weakneg
high,neutral
bonuses,strongpos
restricted,weakneg
Encouraging,strongpos
entire,neutral
pressure,neutral
lie,strongneg
cheat,strongneg
steal,strongneg
okay,strongpos
disrupted,strongneg
Urges,strongpos
dead,strongneg
Wow,weakpos
betrayal,strongneg
Incredible,strongpos
comments,neutral
haunt,strongneg
worth,strongpos
force,strongneg
expose,weakneg
screwed,strongneg
screaming,strongneg
bloody,strongneg
murder,strongneg
toxic,strongneg
facts,neutral
danger,strongneg
Less,weakneg
Justifies,strongpos
terrorized,strongneg
certainly,neutral
insidious,strongneg
illegally,strongneg
opponents,strongneg
fear,strongneg
might,neutral
fact,neutral
top,weakpos
likable,strongpos
very,neutral
blow,strongneg
ruining,strongneg
super,strongpos
knowledgeable,weakpos
bettering,strongpos
fake,strongneg
manipulative,strongneg
looking,neutral
differences,neutral
stake,weakneg
problems,strongneg
Toll,strongneg
derision,strongneg
terrific,strongpos
falsely,weakneg
apparently,neutral
deal,strongpos
‘Obtuse,strongneg
traitor,strongneg
crushed,strongneg
‘painfully,strongneg
blind,strongneg
drive,weakpos
move,neutral
woo,weakpos
forgive,weakpos
suicide,strongneg
Bad,strongneg
outsider,strongneg
natural,strongpos
besides,neutral
ardent,weakpos
favor,strongpos
relevant,strongpos
Defense,weakpos
Racist,strongneg
”well,strongpos
blasted,strongneg
furious,strongneg
fascism,strongneg
goodness,strongpos
intense,neutral
annoyance,strongneg
cares,strongpos
virus,weakneg
feels,neutral
isolated,strongneg
little,weakneg
compassion,strongpos
wow,weakpos
WORST,strongneg
difference,neutral
recommending,weakpos
Condescending,strongneg
Jerk,strongneg
horrible,strongneg
cared,strongpos
sucker,strongneg
faulty,strongneg
shame,strongneg
chaos,strongneg
anger,strongneg
dope,strongneg
hateful,strongneg
dirt,strongneg
low,strongneg
hard,strongneg
bull,weakpos
smart,weakpos
joke,weakpos
funded,neutral
obnoxious,strongneg
elite,strongpos
slightly,weakneg
competent,strongpos
merely,strongneg
pretending,weakneg
true,strongpos
less,weakneg
convince,weakpos
completely,neutral
fine,strongpos
likes,strongpos
Shows,neutral
Comment,neutral
debate,weakneg
qualifies,weakpos
modern,weakpos
liked,strongpos
Funny,strongpos
TRUE,strongpos
