Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"52,679",48.9%,,11
Sanders Bernie Sanders,"45,815",42.5%,,9
Warren Elizabeth Warren,"2,865",2.7%,,0
Bloomberg Michael R. Bloomberg,"2,589",2.4%,,0
Buttigieg Pete Buttigieg,"1,405",1.3%,,0
Gabbard Tulsi Gabbard,868,0.8%,,0
Klobuchar Amy Klobuchar,769,0.7%,,0
Yang Andrew Yang,308,0.3%,,0
Steyer Tom Steyer,112,0.1%,,0
Bennet Michael Bennet,88,0.1%,,0
Delaney John Delaney,64,0.1%,,0
Williamson Marianne Williamson,57,0.1%,,0
Booker Cory Booker,56,0.1%,,0
Castro Julián Castro,49,0.0%,,0
Burke Steve Burke,38,0.0%,,0
De La Fuente III Roque De La Fuente III,22,0.0%,,0
Patrick Deval Patrick,17,0.0%,,0
