date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-18,0,1.0,0,0,0,0,0,2.0,0,0,0
2020-02-20,0,0,0,0,0,0,0,1.8333333333333333,0,0,0
2020-02-21,0,1.0,0,0,0,0,0,0.7777777777777778,0,0,0
2020-02-22,0,0.5909090909090909,0,0,1.0,0,0,1.5694444444444444,0,0,0
2020-02-23,0,4.0,0,0,4,0,0,1.6451612903225807,0,0,0
2020-02-24,0,0.5,0,0,2,0,0,1.1111111111111112,0,0,0
2020-02-25,0,1.5,0,0,0,0,0,1.6,0,0,0
2020-02-27,0,2.5,0,0,0,0,0,1.6666666666666667,0,0,0
2020-02-28,0,1,0,0,0,0,0,0,0,0,0
2020-02-29,0,1.0,0,0,0,0,0,3.25,0,0,0
2020-03-01,0,8,0,0,0,0,0,0,0,0,0
2020-03-02,0,11,0,0,0,0,0,3,0,0,0
2020-03-03,0,2.52,0,0,2,0,0,1.8928571428571428,0,0,0
2020-03-04,0,1.5,0,0,0,0,0,0,0,0,0
2020-03-05,0,1.4266666666666667,0,0,4.0,0,0,1.8888888888888888,0,0,0
2020-03-06,0,2.3333333333333335,0,0,3,0,0,1.125,0,0,0
2020-03-07,0,1.8148148148148149,0,0,1.6666666666666667,0,0,1.2777777777777777,0,0,0
2020-03-08,0,1.1717171717171717,0,0,0,0,0,1.7837837837837838,0,0,0
