Word,Polarity
try,weakneg
Defends,weakpos
Argues,weakneg
Terribly,strongneg
Mocks,strongneg
would,neutral
need,weakneg
recognition,weakpos
insist,weakpos
primary,neutral
just,strongpos
beliefs,neutral
values,weakpos
most,neutral
very,neutral
aware,neutral
agree,weakpos
realistic,weakpos
success,strongpos
mean,neutral
so,neutral
stances,neutral
engage,neutral
endorsement,strongpos
wildly,strongneg
insanely,strongneg
point,neutral
interested,strongpos
yes,weakpos
annoyed,strongneg
looks,neutral
good,strongpos
great,weakpos
completely,neutral
high,neutral
risk,weakneg
still,neutral
strong,weakpos
think,neutral
ready,weakpos
even,weakpos
supposed,strongneg
damage,strongneg
help,weakpos
else,neutral
basically,neutral
maddening,strongneg
condescension,strongneg
trying,weakneg
Good,strongpos
pure,strongpos
ignorant,strongneg
garbage,weakneg
clash,strongneg
trump,strongpos
defeat,strongneg
Kill,strongneg
know,neutral
…Seems,neutral
attacking,strongneg
really,neutral
tried,weakneg
bad,strongneg
Democratic,weakpos
engaging,neutral
racist,strongneg
against,weakneg
should,neutral
Just,strongpos
real,weakpos
clean,weakpos
nice,weakpos
little,weakneg
fair,strongpos
feelings,neutral
trust,strongpos
needs,neutral
supporting,strongpos
support,strongpos
maybe,neutral
thinking,neutral
‘could,neutral
too,strongneg
recession,weakneg
look,neutral
Less,weakneg
joy,strongpos
defending,weakpos
racism,strongneg
endorsing,strongpos
ruin,strongneg
like,strongpos
rich,weakpos
devil,strongneg
solid,weakpos
mad,strongneg
dead,strongneg
clear,strongpos
harassed,strongneg
refuses,strongneg
excuse,weakpos
agreements,weakpos
hates,strongneg
much,neutral
love,strongpos
regretting,strongneg
fail,strongneg
oh,neutral
shreds,weakneg
appearance,neutral
monstrously,strongneg
arrogant,strongneg
brag,both
imperious,weakneg
please,strongpos
sorry,strongneg
power,neutral
backed,weakpos
furious,strongneg
rights,weakpos
wrongs,strongneg
claims,neutral
possible,neutral
supportive,strongpos
looked,neutral
supporter,strongpos
though,neutral
cute,weakpos
believe,neutral
right,weakpos
worry,strongneg
confident,strongpos
actually,neutral
hoping,strongpos
rumor,weakneg
simply,neutral
definitely,weakpos
feels,neutral
superior,strongpos
sure,weakpos
could,neutral
further,neutral
victory,strongpos
likely,neutral
worse,strongneg
undue,strongneg
thought,neutral
Maybe,neutral
big,neutral
Support,strongpos
DECENCY,strongpos
possibilities,neutral
terrible,strongneg
insane,strongneg
specifically,neutral
missed,weakneg
waste,strongneg
knows,neutral
stunning,weakpos
snarling,weakneg
fever,strongneg
dream,weakpos
dark,strongneg
best,weakpos
scary,strongneg
wants,strongpos
democratic,weakpos
better,strongpos
stance,neutral
Deeply,neutral
stand,weakpos
consistent,weakpos
courage,weakpos
gain,strongpos
stupidity,strongneg
believing,neutral
false,weakneg
passionate,strongpos
reason,strongpos
plenty,strongpos
lose,strongneg
Primary,neutral
black,weakneg
supporters,strongpos
easiest,strongpos
liked,strongpos
So,neutral
unreasonable,strongneg
losing,strongneg
indication,neutral
Lose,strongneg
pundits,weakpos
desperate,strongneg
loved,strongpos
war,weakneg
conspiracy,strongneg
decided,neutral
ignore,weakneg
endorsed,strongpos
thoughtful,strongpos
grateful,strongpos
likes,strongpos
leaked,weakneg
intelligence,weakpos
hurt,strongneg
fake,strongneg
free,strongpos
Great,weakpos
throw,weakneg
seem,neutral
worried,strongneg
difference,neutral
conscience,weakpos
whatever,weakneg
wasted,strongneg
dignity,strongpos
want,strongpos
entertain,weakpos
idea,neutral
full,neutral
expensive,strongneg
inaction,weakneg
merely,strongneg
doubt,strongneg
fact,neutral
attacked,strongneg
dumb,strongneg
cry,strongneg
ugh,weakneg
victories,strongpos
Endorse,strongpos
cowards,strongneg
lying,strongneg
arguing,weakneg
poverty,strongneg
opportunity,strongpos
understand,weakpos
irrelevant,strongneg
argued,weakneg
certainly,neutral
progressive,weakpos
interest,strongpos
Thankfully,strongpos
wrong,strongneg
Helped,weakpos
white,weakpos
attack,strongneg
faith,strongpos
huge,neutral
clearly,weakpos
truly,strongpos
awful,strongneg
supports,strongpos
poorly,strongneg
comments,neutral
hard,strongneg
truth,strongpos
Love,strongpos
passion,strongpos
realization,neutral
difficult,strongneg
problem,strongneg
Extremely,weakneg
harsh,strongneg
disgustingly,strongneg
hopefully,strongpos
toxic,strongneg
accountable,weakneg
effectively,neutral
bitter,strongneg
jealous,strongneg
Especially,weakpos
nightmare,strongneg
advice,weakpos
okay,strongpos
enthusiastically,strongpos
cares,strongpos
funny,strongpos
convinced,weakpos
destroy,strongneg
knock,strongneg
strangers,weakneg
Yes,weakpos
harassment,strongneg
indebted,weakpos
disagree,weakneg
Quite,neutral
frankly,neutral
Besides,neutral
showed,neutral
stood,weakpos
friend,strongpos
rightfully,strongpos
bully,strongneg
stupid,strongneg
smart,weakpos
forget,weakneg
pretended,weakneg
significant,weakpos
overlook,strongneg
/should,neutral
ignored,weakneg
well,strongpos
actual,neutral
angry,strongneg
honestly,strongpos
HELL,strongneg
criticizing,strongneg
destroying,strongneg
enough,neutral
fabulous,strongpos
hails,weakpos
hate,strongneg
friends,strongpos
wish,weakpos
allowed,weakpos
feel,neutral
rage,strongneg
must,neutral
hope,strongpos
sympathetic,weakneg
eviscerated,strongneg
divided,weakneg
mostly,neutral
depressed,weakneg
Inspiring,strongpos
shows,neutral
seriously,weakneg
favorite,strongpos
RIGHT,weakpos
REASONS,strongpos
true,strongpos
reasons,strongpos
yeah,neutral
untrue,strongneg
exclude,weakneg
welcome,weakpos
open,weakpos
devoted,strongpos
Unfortunately,strongneg
known,neutral
outsider,strongneg
forced,strongneg
decent,strongpos
cut,weakneg
cancer,strongneg
unity,strongpos
hell,strongneg
fortune,strongpos
necessary,weakpos
extreme,weakneg
consider,neutral
seems,neutral
helped,weakpos
refusing,strongneg
Please,strongpos
REALLY,neutral
However,neutral
moral,weakpos
arguments,weakneg
central,neutral
important,weakpos
speedy,strongpos
endorses,strongpos
praise,strongpos
Wow,weakpos
shocking,strongneg
benefit,strongpos
strictly,weakneg
insulted,strongneg
fine,strongpos
dying,strongneg
lack,strongneg
egos,weakneg
shame,strongneg
imagine,neutral
busy,weakneg
languish,strongneg
correctly,weakpos
uncomfortable,strongneg
show,neutral
Show,neutral
=true,strongpos
Very,neutral
powerful,weakpos
normal,strongpos
fraud,strongneg
prefer,strongpos
vulnerable,weakpos
implicated,strongneg
acceptable,strongpos
nasty,strongneg
sense,weakpos
such,neutral
vice,strongneg
pretty,weakpos
appear,neutral
survive,weakpos
correct,strongpos
happy,strongpos
incredibly,strongpos
sad,strongneg
problematic,strongneg
(especially,weakpos
(yes,weakpos
Oh,neutral
demanded,both
implies,neutral
rough,weakneg
swear,weakneg
wealthy,weakpos
decreasing,weakneg
demand,both
defense,weakpos
redemption,strongpos
assess,neutral
surely,weakpos
advocate,strongpos
friendly,strongpos
”thrown,weakneg
argument,weakneg
Better,strongpos
fascism,strongneg
regardless,neutral
pledge,weakpos
respect,strongpos
scared,strongneg
least,weakneg
accurate,strongpos
relevant,strongpos
inexperienced,strongneg
embarrassing,strongneg
seemingly,neutral
concerning,strongneg
*actually,neutral
vocal,neutral
unacceptable,strongneg
scream,strongneg
tries,weakneg
demean,strongneg
allow,weakpos
cheerful,strongpos
smug,strongneg
wisdom,strongpos
upset,strongneg
despite,weakneg
flaws,strongneg
supported,strongpos
memories,neutral
revenge,strongneg
benefits,strongpos
sick,strongneg
able,weakpos
views,neutral
liberal,weakpos
considered,neutral
pros,strongpos
breaks,strongneg
impressive,strongpos
plush,strongpos
Look,neutral
jerks,strongneg
knew,neutral
Fear,strongneg
means,neutral
threat,strongneg
(so,neutral
fully,neutral
motivated,weakpos
messy,strongneg
simple,weakpos
horrible,strongneg
hypocrite,strongneg
popular,weakpos
standing,weakpos
substantive,weakpos
Considering,neutral
(Especially,weakpos
disheartening,strongneg
jokes,weakpos
exactly,neutral
concede,strongneg
immediately,neutral
nefarious,strongneg
idiot,strongneg
barely,weakneg
Pure,strongpos
isolated,strongneg
foe,strongneg
reluctant,strongneg
welfare,weakpos
utterly,strongneg
undermines,strongneg
disarray,strongneg
promising,weakpos
helping,weakpos
,most,neutral
modern,weakpos
looking,neutral
concern,strongneg
greatest,weakpos
beneficiary,strongpos
failing,strongneg
timely,strongpos
Thank,strongpos
willing,weakpos
compromise,weakpos
awareness,neutral
accusations,strongneg
revealing,neutral
blind,strongneg
broad,weakpos
popularity,weakpos
engaged,neutral
Despite,weakneg
tired,weakneg
puppet,weakneg
ultimately,strongpos
meddling,strongneg
challenge,weakneg
constructive,strongpos
Black,weakneg
top,weakpos
delusional,strongneg
super,strongpos
Defying,strongneg
ability,weakpos
entire,neutral
worth,strongpos
preference,weakpos
wanting,strongpos
NEED,neutral
wanted,strongpos
independent,strongpos
affect,neutral
worthy,strongpos
matters,neutral
PLEASE,strongpos
favors,strongpos
incompetence,strongneg
ugly,strongneg
particular,neutral
showing,neutral
objective,strongpos
honest,strongpos
proud,strongpos
endorse,strongpos
Exactly,neutral
HATE,strongneg
care,strongpos
less,weakneg
viable,strongpos
attitude,neutral
might,neutral
knocking,strongneg
Thus,neutral
move,neutral
useless,strongneg
alienating,strongneg
welcoming,weakpos
unlimited,weakpos
force,strongneg
leverage,weakpos
tolerance,weakpos
divide,weakneg
authoritarian,weakneg
Break,strongneg
moving,neutral
responsibility,weakpos
challenges,weakneg
helpful,strongpos
deciding,neutral
Even,weakpos
cheats,strongneg
weak,strongneg
famous,strongpos
backing,weakpos
endorsements,strongpos
goddamn,strongneg
allies,weakpos
Speculation,neutral
Fine,strongpos
respected,strongpos
trusted,strongpos
competitive,strongpos
invaluable,strongpos
original,strongpos
regarding,neutral
proves,neutral
felons,strongneg
excluded,weakneg
aggressive,strongneg
anyway,neutral
ire,strongneg
Happy,strongpos
scares,strongneg
dreams,weakpos
wasting,strongneg
interesting,strongpos
quick,neutral
easy,strongpos
appreciates,weakpos
propaganda,strongneg
deep,neutral
Splitting,weakneg
absolute,neutral
mess,strongneg
Silly,weakneg
Glad,strongpos
cuts,weakneg
overcome,weakneg
continuous,neutral
key,neutral
fights,strongneg
freedom,strongpos
seemed,neutral
fairly,weakpos
harmful,strongneg
fantasy,strongpos
