Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"924,771",59.0%,,94
Sanders Bernie Sanders,"565,762",36.1%,,60
Bloomberg Michael R. Bloomberg,"23,809",1.5%,,0
Warren Elizabeth Warren,"22,067",1.4%,,0
Gabbard Tulsi Gabbard,"9,118",0.6%,,0
Buttigieg Pete Buttigieg,"9,080",0.6%,,0
Yang Andrew Yang,"3,784",0.2%,,0
Booker Cory Booker,"2,593",0.2%,,0
Steyer Tom Steyer,"1,619",0.1%,,0
Patrick Deval Patrick,"1,522",0.1%,,0
Bennet Michael Bennet,"1,286",0.1%,,0
Delaney John Delaney,"1,122",0.1%,,0
Klobuchar Amy Klobuchar,0,0.0%,,0
