Word,Polarity
trust,strongpos
losing,strongneg
*friends,strongpos
yes,weakpos
miss,weakneg
would,neutral
,neutral
just,strongpos
sense,weakpos
most,neutral
likely,neutral
helps,weakpos
need,neutral
rough,weakneg
looks,neutral
surprised,neutral
Meddling,strongneg
thinking,neutral
might,neutral
finally,neutral
able,weakpos
consistent,weakpos
think,neutral
possible,neutral
so,neutral
loses,strongneg
true,strongpos
point,neutral
good,strongpos
considering,neutral
important,weakpos
quite,neutral
simple,weakpos
patient,weakpos
devastating,strongneg
white,weakpos
support,strongpos
fight,strongneg
backs,weakpos
best,weakpos
forgotten,weakneg
smart,weakpos
enough,neutral
primary,neutral
crowded,strongneg
advantage,weakpos
enthusiastic,strongpos
supporters,strongpos
particular,neutral
benefit,strongpos
helped,weakpos
crisis,strongneg
worried,strongneg
innocent,strongpos
easy,strongpos
correct,strongpos
freaking,strongneg
Swing,neutral
guardian,strongpos
Kill,strongneg
Endorses,strongpos
Want,strongpos
illegally,strongneg
Opinion,neutral
Against,weakneg
Democratic,weakpos
supported,strongpos
look,neutral
killed,strongneg
thought,neutral
deal,strongpos
cut,weakneg
points,neutral
lose,strongneg
Yes,weakpos
should,neutral
against,weakneg
recovered,weakpos
massive,neutral
attack,strongneg
Reveal,neutral
Just,strongpos
Great,weakpos
know,neutral
crooked,strongneg
trial,strongneg
necessary,weakpos
shows,neutral
gain,strongpos
Major,neutral
blow,strongneg
accountable,weakneg
tries,weakneg
effectively,neutral
Well,strongpos
needs,neutral
lied,strongneg
fraud,strongneg
death,strongneg
threats,strongneg
full,neutral
war,weakneg
maybe,neutral
doubt,strongneg
supposed,strongneg
Best,weakpos
Helped,weakpos
Power,neutral
stole,strongneg
orphan,strongneg
despair,strongneg
regressing,weakneg
idiot,strongneg
barely,weakneg
BREAKING,strongneg
demonic,strongneg
even,weakpos
ideas,neutral
cooperative,strongpos
strength,neutral
perfect,strongpos
simply,neutral
terrible,strongneg
beliefs,neutral
worse,strongneg
deluded,strongneg
problem,strongneg
explicit,weakpos
argument,weakneg
favor,strongpos
funny,strongpos
looking,neutral
joked,weakpos
ignore,weakneg
else,neutral
Even,weakpos
bent,strongneg
mangling,strongneg
quiet,neutral
according,weakpos
Lying,strongneg
deserved,weakpos
wow,weakpos
really,neutral
grave,strongneg
truly,strongpos
appropriate,strongpos
senile,strongneg
cruelty,strongneg
sure,weakpos
weak,strongneg
still,neutral
Forget,weakneg
lost,strongneg
bad,strongneg
Complains,strongneg
Too,strongneg
Very,neutral
LIES,strongneg
DESPITE,weakneg
FACTS,neutral
PROVE,neutral
LYING,strongneg
mean,neutral
Terror,strongneg
PLEASE,strongpos
disastrous,strongneg
thinks,neutral
Genius,strongpos
realistically,weakpos
needed,neutral
help,weakpos
top,weakpos
well,strongpos
remarks,neutral
suggested,weakpos
influence,neutral
Exposing,weakneg
like,strongpos
Unfortunately,strongneg
confused,strongneg
easily,strongpos
argue,weakneg
doubts,strongneg
super,strongpos
decline,weakneg
exposed,weakneg
wide,weakpos
black,weakneg
excited,strongpos
shady,strongneg
firm,neutral
ed,neutral
historic,strongpos
throwing,weakneg
pressing,weakpos
spite,strongneg
show,neutral
real,weakpos
hope,strongpos
dumb,strongneg
obvious,neutral
too,strongneg
Appalling,strongneg
refuses,strongneg
admit,weakpos
dead,strongneg
wrong,strongneg
Nonexistent,weakneg
gaffe,strongneg
major,neutral
understand,weakpos
stupid,strongneg
surpassed,strongpos
acknowledging,weakpos
colluding,strongneg
want,strongpos
Betrayed,strongneg
Black,weakneg
rallies,strongpos
SHOULD,neutral
Seriously,weakneg
Dead,strongneg
prison,weakneg
feel,neutral
sorry,strongneg
baby,neutral
HATE,strongneg
much,neutral
love,strongpos
Exposes,weakneg
Lies,strongneg
falsely,weakneg
claims,neutral
Inclusive,weakpos
Exclusive,strongpos
right,weakpos
Bizarre,weakneg
Patriot,strongpos
BLAME,strongneg
TOO,strongneg
KILL,strongneg
SICK,strongneg
actually,neutral
hard,strongneg
better,strongpos
stance,neutral
favors,strongpos
rapid,neutral
backing,weakpos
liberal,weakpos
problems,strongneg
ego,weakneg
Despite,weakneg
Claims,neutral
could,neutral
Trying,weakneg
Erase,strongneg
Addiction,strongneg
corrupt,strongneg
big,neutral
very,neutral
liar,strongneg
basic,weakpos
dishonesty,strongneg
arrogance,strongneg
Vows,weakpos
poor,strongneg
extreme,weakneg
responsibility,weakpos
Wow,weakpos
power,neutral
rather,neutral
Insists,weakpos
Decide,neutral
agreements,weakpos
infringes,strongneg
stolen,strongneg
blood,weakneg
Top,weakpos
oh,neutral
admitted,weakpos
interested,strongpos
helping,weakpos
unconventional,weakpos
revealed,neutral
alleging,weakneg
toxic,strongneg
allegations,weakneg
Limited,strongneg
Really,neutral
great,weakpos
wisdom,strongpos
judgment,neutral
wants,strongpos
Large,weakpos
MOST,neutral
endorsement,strongpos
progressive,weakpos
supporting,strongpos
booming,strongpos
ridiculous,strongneg
Please,strongpos
cheer,strongpos
Quite,neutral
extraordinary,weakpos
defeat,strongneg
awful,strongneg
gained,strongpos
destroy,strongneg
Defeat,strongneg
Lost,strongneg
Ready,weakpos
Celebrate,strongpos
Low,strongneg
Waning,weakneg
Failing,strongneg
‘Outrageous,strongneg
