Word,Polarity
full,neutral
supports,strongpos
think,neutral
fresh,strongpos
opposed,strongneg
just,strongpos
nice,weakpos
refreshing,strongpos
Welcome,weakpos
Wants,strongpos
support,strongpos
needs,neutral
needs,neutral
think,neutral
best,weakpos
stand,weakpos
Applauded,strongpos
Applauded,strongpos
LOVE,strongpos
support,strongpos
struggles,strongneg
black,weakneg
threaten,strongneg
Look,neutral
pretty,weakpos
damning,strongneg
feel,neutral
appearances,neutral
Views,neutral
Welcomed,weakpos
trial,strongneg
dark,strongneg
backing,weakpos
Shock,weakneg
endorsed,strongpos
ideas,neutral
fresh,strongpos
ideas,neutral
Thank,strongpos
beliefs,neutral
really,neutral
nice,weakpos
morals,weakpos
values,weakpos
