Word,Polarity
else,neutral
Thank,strongpos
threatened,strongneg
supported,strongpos
cutting,weakneg
need,neutral
tale,neutral
so,neutral
should,neutral
know,neutral
means,neutral
else,neutral
Thank,strongpos
threatened,strongneg
supported,strongpos
cutting,weakneg
need,neutral
tale,neutral
so,neutral
should,neutral
know,neutral
means,neutral
little,weakneg
support,strongpos
little,weakneg
support,strongpos
golden,strongpos
would,neutral
able,weakpos
popular,weakpos
points,neutral
knows,neutral
knows,neutral
view,neutral
creative,strongpos
beauty,strongpos
handy,strongpos
Knock,strongneg
Democratic,weakpos
facts,neutral
could,neutral
victory,strongpos
clean,weakpos
mock,strongneg
Clean,weakpos
could,neutral
fairly,weakpos
quick,neutral
maybe,neutral
would,neutral
happy,strongpos
great,weakpos
need,neutral
know,neutral
cheerful,strongpos
vice,strongneg
strong,weakpos
support,strongpos
just,strongpos
supporters,strongpos
Sure,weakpos
meant,neutral
denying,strongneg
savage,strongneg
better,strongpos
points,neutral
very,neutral
low,strongneg
independent,strongpos
Would,neutral
actually,neutral
deserve,weakpos
legitimately,strongpos
still,neutral
need,neutral
fact,neutral
need,neutral
full,neutral
support,strongpos
low,strongneg
black,weakneg
personality,weakpos
wanted,strongpos
know,neutral
quite,neutral
angry,strongneg
wanted,strongpos
Could,neutral
viable,strongpos
shows,neutral
best,weakpos
Toxic,strongneg
little,weakneg
taste,weakpos
should,neutral
thinks,neutral
would,neutral
recommend,weakpos
just,strongpos
so,neutral
much,neutral
point,neutral
much,neutral
point,neutral
supporters,strongpos
well,strongpos
Still,neutral
undecided,weakneg
despite,weakneg
Well,strongpos
actually,neutral
so,neutral
actually,neutral
show,neutral
incorrect,strongneg
Dream,weakpos
big,neutral
Fight,strongneg
hard,strongneg
Knock,strongneg
Even,weakpos
huge,neutral
difference,neutral
know,neutral
think,neutral
Anyway,neutral
just,strongpos
signifies,weakpos
looking,neutral
strong,weakpos
Dream,weakpos
big,neutral
Fight,strongneg
hard,strongneg
Knock,strongneg
Even,weakpos
huge,neutral
difference,neutral
know,neutral
think,neutral
Anyway,neutral
just,strongpos
signifies,weakpos
looking,neutral
strong,weakpos
Smash,strongneg
powerful,weakpos
stand,weakpos
fight,strongneg
viability,weakpos
need,neutral
still,neutral
decided,neutral
still,neutral
consideration,neutral
idea,neutral
encourage,strongpos
imagine,neutral
know,neutral
freaked,strongneg
nervous,strongneg
hell,strongneg
look,neutral
Unprecedented,weakneg
safeguard,strongpos
security,weakpos
Thank,strongpos
fight,strongneg
support,strongpos
stand,weakpos
try,weakneg
like,strongpos
best,weakpos
Help,weakpos
Just,strongpos
just,strongpos
despite,weakneg
still,neutral
ready,weakpos
support,strongpos
great,weakpos
insight,weakpos
flaws,strongneg
most,neutral
should,neutral
just,strongpos
daring,weakpos
criticize,strongneg
holy,weakpos
want,strongpos
lack,strongneg
help,weakpos
feel,neutral
so,neutral
hard,strongneg
need,weakneg
thank,strongpos
Democratic,weakpos
wanted,strongpos
supporters,strongpos
nice,weakpos
comments,neutral
meant,neutral
challenge,weakneg
believe,neutral
hope,strongpos
disagree,weakneg
lack,strongneg
could,neutral
clearer,weakpos
really,neutral
really,neutral
best,weakpos
think,neutral
show,neutral
best,weakpos
against,weakneg
hard,strongneg
Hoping,strongpos
full,neutral
know,neutral
great,weakpos
values,weakpos
willing,weakpos
ignore,weakneg
white,weakpos
comfortable,strongpos
matter,neutral
big,neutral
look,neutral
bad,strongneg
slander,strongneg
liable,weakneg
believe,neutral
bad,strongneg
such,neutral
good,strongpos
know,neutral
complaints,strongneg
stand,weakpos
knowing,neutral
want,strongpos
support,strongpos
Id,neutral
mad,strongneg
want,strongpos
right,weakpos
stand,weakpos
understand,weakpos
Id,neutral
mad,strongneg
want,strongpos
right,weakpos
stand,weakpos
understand,weakpos
endorsed,strongpos
black,weakneg
endorse,strongpos
very,neutral
need,neutral
know,neutral
so,neutral
honored,strongpos
excited,strongpos
needs,neutral
needs,neutral
knock,strongneg
large,weakpos
confusing,strongneg
tried,weakneg
friends,strongpos
just,strongpos
need,weakneg
Look,neutral
absurd,strongneg
honest,strongpos
most,neutral
barely,weakneg
looked,neutral
effective,strongpos
quick,neutral
friends,strongpos
Id,neutral
love,strongpos
could,neutral
simple,weakpos
supporter,strongpos
praises,strongpos
think,neutral
IMPEACHED,strongneg
trying,weakneg
fake,strongneg
dirt,strongneg
considered,neutral
KISS,strongpos
Stupid,strongneg
even,weakpos
large,weakpos
most,neutral
important,weakpos
better,strongpos
just,strongpos
friends,strongpos
most,neutral
facts,neutral
would,neutral
completely,neutral
knocking,strongneg
trying,weakneg
hard,strongneg
tensions,strongneg
allow,weakpos
fear,strongneg
really,neutral
knows,neutral
SO,neutral
JUST,strongpos
showed,neutral
knowing,neutral
wanted,strongpos
needed,neutral
reason,strongpos
primary,neutral
wants,strongpos
would,neutral
so,neutral
much,neutral
Less,weakneg
Interesting,strongpos
tired,weakneg
misleading,strongneg
least,weakneg
supporting,strongpos
Just,strongpos
appears,neutral
support,strongpos
so,neutral
still,neutral
believe,neutral
democratic,weakpos
still,neutral
Impeach,strongneg
supported,strongpos
supported,strongpos
showing,neutral
interesting,strongpos
sure,weakpos
highlighting,strongpos
belief,neutral
too,strongneg
Actually,neutral
hope,strongpos
disabled,weakneg
inspire,strongpos
need,neutral
else,neutral
need,neutral
know,neutral
rivals,weakneg
independent,strongpos
Comments,neutral
bold,weakpos
Support,strongpos
real,weakpos
think,neutral
moves,neutral
tries,weakneg
sorry,strongneg
Dream,weakpos
smile,strongpos
support,strongpos
disparaging,strongneg
opponents,strongneg
just,strongpos
would,neutral
yes,weakpos
Would,neutral
would,neutral
support,strongpos
exhausted,strongneg
idea,neutral
need,neutral
ready,weakpos
show,neutral
please,strongpos
engage,neutral
threatening,strongneg
disruptive,strongneg
stand,weakpos
bad,strongneg
trying,weakneg
throwing,weakneg
promise,weakpos
easy,strongpos
most,neutral
important,weakpos
friends,strongpos
enough,neutral
convince,weakpos
busy,weakneg
busy,weakneg
too,strongneg
madness,strongneg
trying,weakneg
best,weakpos
friends,strongpos
show,neutral
believe,neutral
hope,strongpos
fear,strongneg
courage,weakpos
cynicism,strongneg
seems,neutral
Maybe,neutral
cranky,strongneg
torture,strongneg
could,neutral
stand,weakpos
support,strongpos
Too,strongneg
know,neutral
just,strongpos
signifies,weakpos
looking,neutral
strong,weakpos
wild,strongneg
So,neutral
much,neutral
Exactly,neutral
complicated,weakneg
confusing,strongneg
just,strongpos
try,weakneg
support,strongpos
primary,neutral
white,weakpos
enjoy,strongpos
privilege,weakpos
easy,strongpos
lack,strongneg
problematic,strongneg
white,weakpos
full,neutral
Stumping,weakneg
reason,strongpos
thinks,neutral
needs,neutral
universal,weakpos
basic,weakpos
supporters,strongpos
urgency,weakneg
just,strongpos
Exactly,neutral
complicated,weakneg
confusing,strongneg
just,strongpos
try,weakneg
support,strongpos
primary,neutral
white,weakpos
enjoy,strongpos
privilege,weakpos
easy,strongpos
lack,strongneg
problematic,strongneg
white,weakpos
full,neutral
Stumping,weakneg
reason,strongpos
thinks,neutral
needs,neutral
universal,weakpos
basic,weakpos
supporters,strongpos
urgency,weakneg
just,strongpos
Hoping,strongpos
show,neutral
Democratic,weakpos
Thank,strongpos
helping,weakpos
fair,strongpos
central,neutral
want,strongpos
wrong,strongneg
actually,neutral
hope,strongpos
confident,strongpos
easy,strongpos
points,neutral
very,neutral
secure,weakpos
viable,strongpos
correct,strongpos
agreed,weakpos
problem,strongneg
supporter,strongpos
reform,strongpos
Help,weakpos
great,weakpos
actually,neutral
Id,neutral
pretty,weakpos
much,neutral
point,neutral
finally,neutral
Need,neutral
central,neutral
free,strongpos
Yeah,neutral
would,neutral
LOVE,strongpos
advantage,weakpos
so,neutral
forced,strongneg
cold,strongneg
hot,strongpos
forgotten,weakneg
serious,weakneg
ignore,weakneg
disaster,strongneg
ignore,weakneg
truly,strongpos
awful,strongneg
giddy,weakpos
smile,strongpos
hoped,strongpos
would,neutral
well,strongpos
so,neutral
confusing,strongneg
really,neutral
wonder,strongpos
trouble,strongneg
hate,strongneg
idea,neutral
recovering,weakpos
hard,strongneg
admit,weakpos
opinion,neutral
primary,neutral
would,neutral
so,neutral
much,neutral
better,strongpos
endorsed,strongpos
endorsement,strongpos
show,neutral
universal,weakpos
basic,weakpos
would,neutral
inequality,strongneg
idea,neutral
viable,strongpos
anger,strongneg
supporter,strongpos
need,neutral
fair,strongpos
honest,strongpos
sure,weakpos
perfectly,strongpos
problem,strongneg
help,weakpos
supporter,strongpos
fair,strongpos
very,neutral
completely,neutral
false,weakneg
too,strongneg
live,weakpos
against,weakneg
too,strongneg
even,weakpos
well,strongpos
fairly,weakpos
smooth,weakpos
happy,strongpos
welcome,strongpos
overwhelmed,strongneg
still,neutral
welcome,strongpos
just,strongpos
viable,strongpos
Very,neutral
conspiracy,strongneg
false,weakneg
believe,neutral
could,neutral
block,weakneg
very,neutral
fake,strongneg
viability,weakpos
merely,strongneg
lying,strongneg
help,weakpos
viability,weakpos
lies,strongneg
just,strongpos
showed,neutral
terrible,strongneg
most,neutral
still,neutral
know,neutral
blinded,strongneg
truth,strongpos
Actually,neutral
faith,strongpos
stupid,strongneg
defense,weakpos
help,weakpos
obvious,neutral
comment,neutral
seemed,neutral
hoping,strongpos
would,neutral
hurt,strongneg
Shame,strongneg
serious,weakneg
cheap,weakneg
gain,strongpos
want,strongpos
Well,strongpos
encourage,strongpos
Democratic,weakpos
stand,weakpos
Thank,strongpos
judgments,neutral
just,strongpos
think,neutral
think,neutral
best,weakpos
stand,weakpos
(especially,weakpos
failed,strongneg
failed,strongneg
need,neutral
Knowing,neutral
real,weakpos
judgments,neutral
just,strongpos
think,neutral
lifelong,weakpos
nervous,strongneg
actually,neutral
stressful,strongneg
underestimate,strongneg
ability,weakpos
exciting,strongpos
lifelong,weakpos
nervous,strongneg
actually,neutral
stressful,strongneg
underestimate,strongneg
ability,weakpos
exciting,strongpos
idea,neutral
sure,weakpos
competitive,strongpos
death,strongneg
acknowledged,weakpos
cruelty,strongneg
toll,strongneg
Please,strongpos
healthy,strongpos
negative,strongneg
Please,strongpos
really,neutral
bad,strongneg
hope,strongpos
show,neutral
help,weakpos
modern,weakpos
shows,neutral
declined,weakneg
active,weakpos
declined,weakneg
trouble,strongneg
so,neutral
good,strongpos
so,neutral
imagine,neutral
just,strongpos
Reason,strongpos
bad,strongneg
busy,weakneg
little,weakneg
considered,neutral
baby,neutral
want,strongpos
screaming,strongneg
baby,neutral
ruin,strongneg
ruin,strongneg
well,strongpos
Democratic,weakpos
confessed,strongneg
grand,strongpos
scheme,weakneg
hurt,strongneg
hope,strongpos
defeat,strongneg
must,neutral
should,neutral
lies,strongneg
could,neutral
try,weakneg
ignorant,strongneg
think,neutral
know,neutral
agree,weakpos
genuine,strongpos
good,strongpos
viable,strongpos
certain,neutral
viable,strongpos
viable,strongpos
Good,strongpos
just,strongpos
just,strongpos
weak,strongneg
fool,strongneg
think,neutral
points,neutral
attacking,strongneg
trying,weakneg
Democratic,weakpos
like,strongpos
proved,neutral
stupid,strongneg
really,neutral
Thank,strongpos
ready,weakpos
just,strongpos
might,neutral
might,neutral
big,neutral
tempting,weakpos
scream,strongneg
Democratic,weakpos
hating,strongneg
Oh,neutral
Yes,weakpos
joke,weakpos
supporter,strongpos
trumps,strongpos
accusations,strongneg
against,weakneg
deter,weakneg
supporters,strongpos
support,strongpos
smile,strongpos
great,weakpos
mock,strongneg
best,weakpos
clean,weakpos
fairly,weakpos
hoping,strongpos
top,weakpos
Although,weakneg
hating,strongneg
best,weakpos
believe,neutral
just,strongpos
easier,strongpos
consensus,strongpos
supporters,strongpos
viability,weakpos
important,weakpos
good,strongpos
sense,weakpos
Definitely,weakpos
recommend,weakpos
viable,strongpos
so,neutral
stand,weakpos
viable,strongpos
joy,strongpos
awesome,strongpos
perspectives,neutral
Thank,strongpos
would,neutral
full,neutral
Democratic,weakpos
know,neutral
extremely,weakneg
important,weakpos
actually,neutral
cares,strongpos
so,neutral
much,neutral
decided,neutral
might,neutral
stupidly,strongneg
confessing,strongneg
favors,strongpos
interference,strongneg
most,neutral
loyal,strongpos
support,strongpos
just,strongpos
really,neutral
need,neutral
better,strongpos
upsetting,strongneg
actually,neutral
top,weakpos
points,neutral
should,neutral
should,neutral
think,neutral
damn,strongneg
Whatever,weakneg
failed,strongneg
tried,weakneg
best,weakpos
busy,weakneg
little,weakneg
Democratic,weakpos
know,neutral
just,strongpos
slow,weakneg
so,neutral
patient,weakpos
Less,weakneg
most,neutral
loyal,strongpos
support,strongpos
giddy,weakpos
bragging,both
attack,strongneg
right,weakpos
Very,neutral
excited,strongpos
well,strongpos
need,neutral
favor,strongpos
viability,weakpos
exciting,strongpos
laughing,weakneg
bragging,both
