Word,Polarity
enthusiastically,strongpos
support,strongpos
Democratic,weakpos
primary,neutral
respect,strongpos
should,neutral
lying,strongneg
primary,neutral
prosecuted,weakneg
crimes,strongneg
Oh,neutral
decided,neutral
popular,weakpos
primary,neutral
touch,neutral
so,neutral
interesting,strongpos
must,neutral
primary,neutral
interference,strongneg
believe,neutral
Would,neutral
actually,neutral
deserve,weakpos
love,strongpos
should,neutral
certainly,neutral
should,neutral
just,strongpos
primary,neutral
fact,neutral
lost,strongneg
primary,neutral
very,neutral
need,neutral
know,neutral
primary,neutral
perhaps,neutral
primary,neutral
should,neutral
Just,strongpos
lost,strongneg
primary,neutral
primary,neutral
supported,strongpos
Looks,neutral
worth,strongpos
even,weakpos
lost,strongneg
primary,neutral
disgrace,strongneg
coward,strongneg
forget,weakneg
lost,strongneg
primary,neutral
support,strongpos
needed,neutral
reason,strongpos
primary,neutral
wants,strongpos
would,neutral
lost,strongneg
primary,neutral
such,neutral
support,strongpos
primary,neutral
primary,neutral
problem,strongneg
breaks,strongneg
benefit,strongpos
bad,strongneg
primary,neutral
problem,strongneg
could,neutral
huge,neutral
huge,neutral
fake,strongneg
primary,neutral
problem,strongneg
could,neutral
huge,neutral
huge,neutral
fake,strongneg
exciting,strongpos
primary,neutral
convincing,strongpos
doubt,strongneg
would,neutral
primary,neutral
reason,strongpos
Revolution,weakpos
successful,strongpos
actual,neutral
true,strongpos
destroyed,strongneg
primary,neutral
worth,strongpos
best,weakpos
avoid,weakneg
primary,neutral
loyalty,weakpos
fair,strongpos
trial,strongneg
worth,strongpos
upsetting,strongneg
vicious,strongneg
supposed,strongneg
much,neutral
primary,neutral
LOST,strongneg
Exactly,neutral
complicated,weakneg
confusing,strongneg
just,strongpos
try,weakneg
support,strongpos
primary,neutral
Exactly,neutral
complicated,weakneg
confusing,strongneg
just,strongpos
try,weakneg
support,strongpos
primary,neutral
possible,neutral
primary,neutral
could,neutral
especially,weakpos
knows,neutral
primary,neutral
so,neutral
right,weakpos
try,weakneg
might,neutral
looking,neutral
fast,neutral
approving,strongpos
gigantic,neutral
defense,weakpos
maybe,neutral
trust,strongpos
point,neutral
primary,neutral
actual,neutral
hate,strongneg
idea,neutral
recovering,weakpos
hard,strongneg
admit,weakpos
opinion,neutral
primary,neutral
would,neutral
so,neutral
much,neutral
better,strongpos
tried,weakneg
constructive,strongpos
alienating,strongneg
just,strongpos
super,strongpos
blame,strongneg
primary,neutral
should,neutral
primary,neutral
could,neutral
against,weakneg
smart,weakpos
Oh,neutral
primary,neutral
actually,neutral
stands,weakpos
actually,neutral
lost,strongneg
primary,neutral
independent,strongpos
seems,neutral
interests,strongpos
Just,strongpos
betraying,strongneg
think,neutral
primary,neutral
threat,strongneg
actual,neutral
great,weakpos
hope,strongpos
cut,weakneg
wanted,strongpos
primary,neutral
betraying,strongneg
think,neutral
primary,neutral
threat,strongneg
actual,neutral
great,weakpos
hope,strongpos
cut,weakneg
