Word,Polarity
friends,strongpos
understand,weakpos
Good,strongpos
want,strongpos
know,neutral
especially,weakpos
Looks,neutral
should,neutral
lying,strongneg
primary,neutral
prosecuted,weakneg
crimes,strongneg
should,neutral
help,weakpos
hurt,strongneg
might,neutral
think,neutral
would,neutral
racking,strongneg
lies,strongneg
Lies,strongneg
Vows,weakpos
Just,strongpos
Threatening,strongneg
Dreams,weakpos
best,weakpos
know,neutral
think,neutral
Anyway,neutral
just,strongpos
know,neutral
think,neutral
Anyway,neutral
just,strongpos
full,neutral
wild,strongneg
superior,strongpos
close,weakneg
close,weakneg
admits,weakpos
would,neutral
admits,weakpos
would,neutral
even,weakpos
dislike,strongneg
disaster,strongneg
failed,strongneg
miss,weakneg
admits,weakpos
would,neutral
Oh,neutral
admits,weakpos
would,neutral
just,strongpos
best,weakpos
defeating,strongneg
close,weakneg
attacks,strongneg
negative,strongneg
attacks,strongneg
wanted,strongpos
supporters,strongpos
nice,weakpos
Amusing,strongpos
Fact,neutral
even,weakpos
need,neutral
protect,strongpos
Praised,strongpos
firm,neutral
favorable,strongpos
views,neutral
exciting,strongpos
primary,neutral
smile,strongpos
support,strongpos
disparaging,strongneg
opponents,strongneg
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
afraid,strongneg
knowingly,neutral
screw,strongneg
even,weakpos
means,neutral
destruction,strongneg
attack,strongneg
supporters,strongpos
attack,strongneg
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
afraid,strongneg
knowingly,neutral
screw,strongneg
even,weakpos
means,neutral
destruction,strongneg
attack,strongneg
supporters,strongpos
attack,strongneg
Would,neutral
Refuses,strongneg
Failed,strongneg
Believe,neutral
right,weakpos
best,weakpos
humankind,weakpos
reason,strongpos
knocking,strongneg
negative,strongneg
good,strongpos
rich,weakpos
CLEAR,strongpos
error,strongneg
slurs,strongneg
pledged,weakpos
stake,weakneg
think,neutral
easy,strongpos
would,neutral
gladly,strongpos
True,strongpos
Offsets,weakpos
okay,strongpos
able,weakpos
afford,weakpos
True,strongpos
Offsets,weakpos
okay,strongpos
able,weakpos
afford,weakpos
central,neutral
above,weakpos
asset,strongpos
crumble,strongneg
primary,neutral
shows,neutral
cutting,weakneg
Rivals,weakneg
fall,weakneg
like,strongpos
so,neutral
just,strongpos
dirty,strongneg
dark,strongneg
backing,weakpos
dramatic,neutral
rightfully,strongpos
mistakenly,strongneg
think,neutral
central,neutral
real,weakpos
hard,strongneg
Please,strongpos
liberal,weakpos
pragmatic,weakpos
Please,strongpos
please,strongpos
would,neutral
Consider,neutral
much,neutral
able,weakpos
Democratic,weakpos
comment,neutral
looks,neutral
thinks,neutral
might,neutral
incredible,strongpos
important,weakpos
hate,strongneg
mean,neutral
know,neutral
friends,strongpos
need,neutral
big,neutral
largely,neutral
considered,neutral
free,strongpos
big,neutral
shows,neutral
Democratic,weakpos
supporting,strongpos
Actually,neutral
know,neutral
So,neutral
supporting,strongpos
obviously,weakneg
dreams,weakpos
really,neutral
should,neutral
Seriously,weakneg
