Word,Polarity
principle,weakpos
imagine,neutral
progress,weakpos
principle,weakpos
imagine,neutral
progress,weakpos
would,neutral
able,weakpos
popular,weakpos
points,neutral
knows,neutral
knows,neutral
Digs,weakpos
Even,weakpos
Hole,strongneg
care,strongpos
most,neutral
need,neutral
bold,weakpos
firms,neutral
attack,strongneg
trusts,strongpos
supporting,strongpos
support,strongpos
commitment,weakpos
big,neutral
opportunity,strongpos
serious,weakneg
Would,neutral
Dream,weakpos
big,neutral
Fight,strongneg
hard,strongneg
Knock,strongneg
Even,weakpos
huge,neutral
difference,neutral
serious,weakneg
Would,neutral
Dream,weakpos
big,neutral
Fight,strongneg
hard,strongneg
Knock,strongneg
Even,weakpos
huge,neutral
difference,neutral
Evade,weakneg
Obligations,neutral
Vows,weakpos
powerful,weakpos
stand,weakpos
fight,strongneg
knows,neutral
just,strongpos
top,weakpos
fight,strongneg
Thank,strongpos
fight,strongneg
knows,neutral
Welcome,weakpos
Against,weakneg
penalties,strongneg
‘Full,neutral
Fascist,strongneg
against,weakneg
would,neutral
great,weakpos
would,neutral
want,strongpos
corruption,strongneg
willing,weakpos
just,strongpos
crisis,strongneg
clear,strongpos
need,neutral
afraid,strongneg
Big,neutral
Look,neutral
absurd,strongneg
honest,strongpos
most,neutral
barely,weakneg
looked,neutral
effective,strongpos
quick,neutral
knocking,strongneg
trying,weakneg
hard,strongneg
imperative,neutral
comprehensive,strongpos
sure,weakpos
would,neutral
abused,strongneg
prisoners,weakneg
thinking,neutral
ideas,neutral
just,strongpos
terrible,strongneg
Thus,neutral
Desperation,strongneg
best,weakpos
defeat,strongneg
bold,weakpos
sorry,strongneg
Dream,weakpos
promise,weakpos
easy,strongpos
most,neutral
important,weakpos
friends,strongpos
supporters,strongpos
urgency,weakneg
just,strongpos
supporters,strongpos
urgency,weakneg
just,strongpos
should,neutral
active,weakpos
comprehensive,strongpos
even,weakpos
worse,strongneg
thought,neutral
influence,neutral
bother,strongneg
influence,neutral
penalties,strongneg
prefer,strongpos
understands,weakpos
moral,weakpos
conviction,weakpos
needs,neutral
attacking,strongneg
democratic,weakpos
attacking,strongneg
good,strongpos
promise,weakpos
Dream,weakpos
exciting,strongpos
exciting,strongpos
knocked,strongneg
friends,strongpos
still,neutral
believe,neutral
loved,strongpos
big,neutral
grateful,strongpos
support,strongpos
proud,strongpos
stand,weakpos
radical,weakneg
Massive,neutral
would,neutral
destroy,strongneg
progress,weakpos
Democratic,weakpos
support,strongpos
means,neutral
Thank,strongpos
ready,weakpos
just,strongpos
best,weakpos
believe,neutral
just,strongpos
know,neutral
attack,strongneg
destroy,strongneg
too,strongneg
terrified,strongpos
knows,neutral
attacks,strongneg
would,neutral
utterly,strongneg
THROW,weakneg
fertile,strongpos
attack,strongneg
against,weakneg
trump,strongpos
against,weakneg
Help,weakpos
Wanted,strongpos
progressive,weakpos
just,strongpos
white,weakpos
much,neutral
much,neutral
better,strongpos
fear,strongneg
just,strongpos
love,strongpos
Just,strongpos
afraid,strongneg
afraid,strongneg
greet,weakpos
miss,weakneg
fight,strongneg
defense,weakpos
courage,weakpos
believes,neutral
right,weakpos
still,neutral
grind,weakneg
just,strongpos
bankrupt,strongneg
need,neutral
support,strongpos
Tired,weakneg
Good,strongpos
still,neutral
friends,strongpos
Sad,strongneg
Downfall,strongneg
wonderful,strongpos
emotional,weakneg
could,neutral
think,neutral
perfectly,strongpos
better,strongpos
agree,weakpos
heal,strongpos
believe,neutral
best,weakpos
fear,strongneg
Courage,weakpos
cynicism,strongneg
deserve,weakpos
hard,strongneg
deserve,weakpos
allowed,weakpos
giant,neutral
enough,neutral
real,weakpos
Thank,strongpos
tremendous,strongpos
support,strongpos
better,strongpos
good,strongpos
waste,strongneg
ready,weakpos
just,strongpos
help,weakpos
knock,strongneg
agree,weakpos
big,neutral
help,weakpos
wealthy,weakpos
well-connected,strongpos
fair,strongpos
specific,neutral
Need,neutral
inspiration,strongpos
just,strongpos
live,weakpos
excited,strongpos
stand,weakpos
ready,weakpos
too,strongneg
awestruck,strongpos
clever,strongpos
look,neutral
Dreaming,weakpos
big,neutral
hard,strongneg
STOLE,strongneg
TRUMPS,strongpos
lie,strongneg
steal,strongneg
cheat,strongneg
obstruct,strongneg
extort,strongneg
extortion,strongneg
exposed,weakneg
would,neutral
full,neutral
would,neutral
eliminated,strongneg
Endorsement,strongpos
unequal,strongneg
right,weakpos
So,neutral
supposed,strongneg
bad,strongneg
helps,weakpos
just,strongpos
surprises,neutral
sure,weakpos
Need,neutral
need,neutral
knocked,strongneg
help,weakpos
too,strongneg
need,neutral
help,weakpos
knocking,strongneg
critical,strongneg
supporting,strongpos
believe,neutral
best,weakpos
hope,strongpos
fundamental,neutral
positive,weakpos
Please,strongpos
consider,neutral
so,neutral
finally,neutral
even,weakpos
thank,strongpos
still,neutral
seems,neutral
odd,weakneg
could,neutral
duty,neutral
trial,strongneg
most,neutral
corrupt,strongneg
prefer,strongpos
urgency,weakneg
just,strongpos
believes,neutral
just,strongpos
