Word,Polarity
Sure,weakpos
meant,neutral
denying,strongneg
savage,strongneg
better,strongpos
acknowledges,weakpos
upfront,strongpos
realistic,weakpos
lie,strongneg
try,weakneg
So,neutral
think,neutral
feels,neutral
supported,strongpos
need,neutral
lying,strongneg
jam,strongneg
chaos,strongneg
love,strongpos
right,weakpos
bright,strongpos
understand,weakpos
So,neutral
endorse,strongpos
wanted,strongpos
supporters,strongpos
nice,weakpos
really,neutral
really,neutral
best,weakpos
think,neutral
show,neutral
best,weakpos
against,weakneg
Sorry,strongneg
so,neutral
decided,neutral
would,neutral
rather,neutral
could,neutral
believe,neutral
Needless,strongneg
should,neutral
completely,neutral
agree,weakpos
support,strongpos
believe,neutral
support,strongpos
need,neutral
pressure,neutral
would,neutral
suicide,strongneg
explicitly,weakpos
criticize,strongneg
so,neutral
hard,strongneg
know,neutral
really,neutral
stand,weakpos
bad,strongneg
acknowledging,weakpos
real,weakpos
perfect,strongpos
practical,weakpos
idea,neutral
problems,strongneg
So,neutral
just,strongpos
fresh,strongpos
ideas,neutral
need,weakneg
agree,weakpos
Destroying,strongneg
joke,weakpos
comment,neutral
Just,strongpos
want,strongpos
real,weakpos
engaged,neutral
care,strongpos
thoughts,neutral
Such,neutral
thoughtful,strongpos
insights,neutral
liked,strongpos
thoughts,neutral
supports,strongpos
would,neutral
enough,neutral
much,neutral
adore,strongpos
most,neutral
destroy,strongneg
such,neutral
refreshing,strongpos
crazy,strongneg
serious,weakneg
look,neutral
amazing,weakpos
Please,strongpos
Less,weakneg
care,strongpos
knock,strongneg
still,neutral
unsure,strongneg
still,neutral
very,neutral
very,neutral
destroy,strongneg
too,strongneg
terrified,strongpos
knows,neutral
attacks,strongneg
would,neutral
utterly,strongneg
THROW,weakneg
bad,strongneg
lack,strongneg
dead,strongneg
else,neutral
would,neutral
Please,strongpos
consider,neutral
fertile,strongpos
attack,strongneg
against,weakneg
trump,strongpos
against,weakneg
Help,weakpos
jokes,weakpos
need,neutral
lighten,strongpos
accept,weakpos
agrees,weakpos
agree,weakpos
basic,weakpos
Ugh,weakneg
tired,weakneg
liberal,weakpos
Deservedly,weakpos
so,neutral
Even,weakpos
wanted,strongpos
Fresh,strongpos
ideas,neutral
critical,strongneg
survival,weakpos
Think,neutral
need,neutral
trump,strongpos
attack,strongneg
right,weakpos
pretty,weakpos
funny,strongpos
losers,strongneg
pretty,weakpos
funny,strongpos
losers,strongneg
actually,neutral
believe,neutral
Need,neutral
Jam,strongneg
jam,strongneg
encouraging,strongpos
avoid,weakneg
could,neutral
so,neutral
proud,strongpos
show,neutral
support,strongpos
black,weakneg
think,neutral
surge,weakpos
trump,strongpos
Truly,strongpos
losing,strongneg
Freaking,strongneg
lifelong,weakpos
looking,neutral
obvious,neutral
freedom,strongpos
right,weakpos
supports,strongpos
support,strongpos
Truly,strongpos
respectfully,strongpos
would,neutral
like,strongpos
right,weakpos
supporting,strongpos
know,neutral
too,strongneg
Would,neutral
better,strongpos
Sincere,weakpos
conspiracy,strongneg
think,neutral
underestimating,strongneg
trump,strongpos
so,neutral
lifelong,weakpos
dumb,strongneg
shocking,strongneg
shock,weakneg
feeling,neutral
confident,strongpos
SO,neutral
surprise,neutral
hate,strongneg
want,strongpos
great,weakpos
trust,strongpos
Maybe,neutral
want,strongpos
aggressive,strongneg
know,neutral
LOSE,strongneg
trump,strongpos
True,strongpos
matter,neutral
care,strongpos
foremost,strongpos
please,strongpos
lose,strongneg
trump,strongpos
So,neutral
love,strongpos
truly,strongpos
hope,strongpos
Consider,neutral
support,strongpos
Please,strongpos
liberal,weakpos
pragmatic,weakpos
Please,strongpos
please,strongpos
would,neutral
Consider,neutral
much,neutral
able,weakpos
Really,neutral
show,neutral
could,neutral
much,neutral
error,strongneg
pretty,weakpos
easy,strongpos
needs,neutral
mean,neutral
agrees,weakpos
consider,neutral
trying,weakneg
understand,weakpos
worth,strongpos
loses,strongneg
So,neutral
Still,neutral
deciding,neutral
best,weakpos
points,neutral
viability,weakpos
Weird,strongneg
know,neutral
Respectfully,strongpos
good,strongpos
need,neutral
profits,weakpos
jam,strongneg
love,strongpos
claim,neutral
would,neutral
welcome,weakpos
open,weakpos
top,weakpos
Hmm,neutral
wants,strongpos
fool,strongneg
fiat,strongneg
needs,neutral
just,strongpos
overturned,weakneg
Rile,strongneg
opposition,strongneg
amazing,weakpos
Agreed,weakpos
So,neutral
glowing,weakpos
sadly,strongneg
true,strongpos
lifelong,weakpos
want,strongpos
too,strongneg
much,neutral
Obvious,neutral
hope,strongpos
against,weakneg
SO,neutral
lost,strongneg
good,strongpos
hope,strongpos
need,weakneg
against,weakneg
idea,neutral
wholeheartedly,strongpos
showing,neutral
power,neutral
care,strongpos
want,strongpos
Fear,strongneg
wrong,strongneg
deeply,neutral
suspicious,weakneg
would,neutral
huge,neutral
Simply,neutral
too,strongneg
low,strongneg
hate,strongneg
true,strongpos
consider,neutral
Great,weakpos
perfect,strongpos
logical,strongpos
realistic,weakpos
look,neutral
just,strongpos
lost,strongneg
just,strongpos
admitted,weakpos
Show,neutral
Love,strongpos
anyway,neutral
lost,strongneg
deserves,weakpos
respect,strongpos
disgusting,strongneg
agree,weakpos
Quite,neutral
sure,weakpos
open,weakpos
wrong,strongneg
know,neutral
Support,strongpos
best,weakpos
love,strongpos
foremost,strongpos
Best,weakpos
means,neutral
least,weakneg
fight,strongneg
hell,strongneg
