Candidate,Total S.D.E.s*,Pct.,Pledged delegates Del.
Buttigieg Pete Buttigieg,563,26.2%,14
Sanders Bernie Sanders,562,26.1%,12
Warren Elizabeth Warren,388,18.0%,8
Biden Joseph R. Biden Jr.,340,15.8%,6
Klobuchar Amy Klobuchar,264,12.3%,1
Yang Andrew Yang,22,1.0%,0
Steyer Tom Steyer,7,0.3%,0
Bloomberg Michael Bloomberg,0,0.0%,0
Gabbard Tulsi Gabbard,0,0.0%,0
Patrick Deval Patrick,0,0.0%,0
Bennet Michael Bennet,0,0.0%,0
Delaney John Delaney,0,0.0%,0
Uncommitted Uncommitted,4,0.2%,0
Other Other,1,0.0%,0
Others Others,34,1.6%,0
