Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
klobuchar.txt,1,403,84.99,60.77,3.91,53.78,25.19,29.28,44.67,1.74,0.25,0.00,0.25,0.00,0.00,0.74,1.99,1.74,1.99,1.24,0.00
gabbard.txt,1,88,98.04,71.51,2.40,11.17,29.33,40.91,62.50,2.27,3.41,0.00,3.41,0.00,2.27,0.00,1.14,1.14,1.14,10.23,0.00
patrick.txt,1,142,90.22,52.82,21.16,65.79,35.50,23.94,59.15,2.82,0.70,0.00,0.70,0.00,0.70,2.11,2.11,2.11,1.41,1.41,0.70
democrat.txt,1,3325,79.08,65.89,6.32,26.27,27.48,24.96,65.77,2.41,2.38,0.30,1.38,0.48,1.77,1.26,1.41,1.59,0.99,3.16,0.63
warren.txt,1,3612,85.94,81.89,13.25,50.58,21.76,25.55,67.91,3.07,1.74,0.25,1.05,0.17,1.36,1.27,2.05,1.58,1.80,2.69,0.86
buttigieg.txt,1,767,91.10,73.86,11.17,69.98,38.35,27.25,57.63,3.26,0.91,0.26,0.52,0.00,0.78,0.52,1.17,1.96,1.17,2.22,0.78
steyer.txt,1,518,92.32,87.66,24.16,51.03,17.27,25.10,57.14,1.35,0.00,0.00,0.00,0.00,0.58,0.58,4.25,0.97,1.35,4.44,0.39
bloomberg.txt,1,550,92.56,64.21,6.70,11.61,34.38,28.73,55.09,1.27,2.36,0.73,0.73,0.00,0.55,0.36,1.45,0.36,2.00,3.64,0.91
yang.txt,1,2978,58.71,56.00,6.95,52.88,16.73,15.82,64.84,4.20,2.75,0.24,1.28,0.47,2.12,1.44,1.68,1.91,2.32,1.18,0.50
dem.txt,1,6178,72.39,61.85,7.90,35.38,24.23,22.73,69.16,3.22,2.67,0.26,1.38,0.47,2.12,1.51,1.49,1.81,1.12,2.72,0.71
biden.txt,1,2495,94.08,72.74,9.43,33.37,35.64,27.58,50.70,2.40,1.96,0.44,0.64,0.20,1.16,0.88,1.44,1.32,0.48,4.25,0.72
caucus.txt,1,16602,82.17,67.46,36.12,50.02,27.40,20.70,69.15,2.49,1.19,0.20,0.50,0.15,1.91,1.29,1.44,2.42,1.72,2.08,0.22
primary.txt,1,2766,71.98,57.60,12.63,55.05,27.66,23.21,70.64,3.51,1.95,0.29,0.51,0.47,2.10,1.12,2.68,2.93,1.52,2.53,0.61
sanders.txt,1,3070,88.77,69.55,10.14,44.89,29.52,25.44,57.79,2.74,1.69,0.10,1.01,0.29,1.27,0.98,1.89,1.50,0.88,4.63,1.60
