Word,Polarity
know,neutral
please,strongpos
love,strongpos
react,neutral
help,weakpos
natural,strongpos
best,weakpos
Serious,weakneg
straight,weakpos
yawned,strongneg
Top,weakpos
tried,weakneg
too,strongneg
mean,neutral
need,neutral
Knew,neutral
Chronic,strongneg
Addict,strongneg
Anyway,neutral
Yeah,neutral
wish,weakpos
would,neutral
prime,neutral
according,weakpos
against,weakneg
really,neutral
truly,strongpos
Against,weakneg
Abuse,strongneg
idiot,strongneg
criticism,strongneg
So,neutral
wanted,strongpos
damage,strongneg
wants,strongpos
corruption,strongneg
proves,neutral
viable,strongpos
Trial,strongneg
such,neutral
big,neutral
threat,strongneg
Punch,strongneg
much,neutral
sure,weakpos
harm,strongneg
whatever,weakneg
think,neutral
cut,weakneg
move,neutral
toxic,strongneg
supporters,strongpos
Please,strongpos
so,neutral
Firm,neutral
Responsible,weakpos
Missing,weakneg
corrupt,strongneg
enabled,weakpos
blind,strongneg
allowed,weakpos
mess,strongneg
Most,neutral
endorse,strongpos
INDEPENDENT,strongpos
black,weakneg
Recover,weakpos
Crushing,strongneg
Loss,strongneg
lose,strongneg
white,weakpos
like,strongpos
worst,strongneg
perfectly,strongpos
else,neutral
should,neutral
threaten,strongneg
thinking,neutral
weak,strongneg
sneakily,weakneg
loving,strongpos
Interesting,strongpos
radical,weakneg
definitely,weakpos
hell,strongneg
Challenges,weakneg
want,strongpos
still,neutral
trying,weakneg
unfounded,strongneg
claims,neutral
accepting,weakpos
dark,strongneg
(illegally,strongneg
Even,weakpos
above,weakpos
security,weakpos
benefits,strongpos
fat,weakneg
ugly,strongneg
disagreed,weakneg
better,strongpos
Blatant,strongneg
attacking,strongneg
needs,neutral
lectures,weakneg
decency,strongpos
honor,strongpos
even,weakpos
unqualified,strongneg
inexperienced,strongneg
tiny,weakneg
problems,strongneg
right,weakpos
interest,strongpos
abysmal,strongneg
exceeded,strongpos
popular,weakpos
blatant,strongneg
fraud,strongneg
false,weakneg
Normal,strongpos
actually,neutral
hypocrite,strongneg
concern,strongneg
bastard,strongneg
moral,weakpos
outrage,strongneg
well,strongpos
honest,strongpos
least,weakneg
disgusting,strongneg
just,strongpos
cancer,strongneg
despicable,strongneg
rich,weakpos
sexy,strongpos
appeal,weakpos
worried,strongneg
point,neutral
seems,neutral
supporter,strongpos
maybe,neutral
conspired,strongneg
clog,strongneg
Worthless,strongneg
funny,strongpos
guilt,strongneg
look,neutral
friends,strongpos
schemes,weakneg
‘Blatant,strongneg
lying,strongneg
reasons,strongpos
certain,neutral
startled,weakneg
pretty,weakpos
most,neutral
progressive,weakpos
Imagine,neutral
laugh,weakneg
claim,neutral
very,neutral
interesting,strongpos
dynamic,weakpos
shows,neutral
kills,strongneg
might,neutral
hope,strongpos
okay,strongpos
Just,strongpos
Really,neutral
dumb,strongneg
insulting,strongneg
sedentary,weakneg
challenging,weakneg
simple,weakpos
barring,weakneg
Lying,strongneg
dead,strongneg
missing,weakneg
Reveals,neutral
Ready,weakpos
poor,strongneg
Positive,weakpos
challenged,weakneg
savage,strongneg
blunder,strongneg
Rebukes,strongneg
excuse,weakneg
lie,strongneg
correct,strongpos
Drama,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
pleading,both
specific,neutral
Trusted,strongpos
Wants,strongpos
Acquit,weakpos
Blasts,weakneg
Wrong,strongneg
oh,neutral
tangled,weakneg
Maybe,neutral
responsible,weakpos
crimes,strongneg
Attacks,strongneg
‘Disgraceful,strongneg
Still,neutral
Thinks,neutral
support,strongpos
holy,weakpos
‘lying,strongneg
humiliated,strongneg
clear,strongpos
scared,strongneg
despite,weakneg
idea,neutral
disturbing,strongneg
comments,neutral
Humiliating,strongneg
Black,weakneg
artificial,weakneg
great,weakpos
looked,neutral
wrong,strongneg
Demanding,both
obnoxious,strongneg
insults,strongneg
huge,neutral
misses,weakneg
attack,strongneg
belief,neutral
massive,neutral
disastrous,strongneg
Democratic,weakpos
‘Too,strongneg
Much,neutral
Panic,strongneg
refusing,strongneg
primary,neutral
DEEP,neutral
completely,neutral
ability,weakpos
position,neutral
defending,weakpos
weird,strongneg
Support,strongpos
real,weakpos
factual,neutral
Love,strongpos
gossip,strongneg
truth,strongpos
Lewd,strongneg
Joke,weakpos
Yes,weakpos
meant,neutral
split,weakneg
elites,strongpos
Real,weakpos
Feelings,neutral
Primary,neutral
convince,weakpos
rather,neutral
historic,strongpos
Seem,neutral
special,strongpos
liar,strongneg
thought,neutral
allies,weakpos
Little,weakneg
nice,weakpos
trump,strongpos
crazy,strongneg
strength,neutral
defeat,strongneg
heathen,strongneg
fall,weakneg
hates,strongneg
large,weakpos
agree,weakpos
yes,weakpos
Shocking,strongneg
traditional,weakpos
strong,weakpos
decide,neutral
HELP,weakpos
serious,weakneg
losing,strongneg
credible,weakpos
could,neutral
possibly,neutral
creative,strongpos
TIRED,weakneg
suggested,weakpos
disagreement,weakneg
lack,strongneg
lies,strongneg
tyrant,strongneg
Major,neutral
concerned,strongneg
Hard,strongneg
worry,strongneg
‘So,neutral
supporting,strongpos
must,neutral
betrayed,strongneg
loved,strongpos
good,strongpos
blast,weakneg
disabled,weakneg
Endorses,strongpos
Assailed,weakneg
frankly,neutral
free,strongpos
strangled,strongneg
throttled,strongneg
enough,neutral
kill,strongneg
knew,neutral
killer,strongneg
opinion,neutral
helps,weakpos
little,weakneg
honoring,strongpos
racist,strongneg
fresh,strongpos
hells,strongneg
confidence,strongpos
Thanking,strongpos
Helping,weakpos
pragmatic,weakpos
practical,weakpos
authoritarian,weakneg
ensure,weakpos
fascist,strongneg
demand,both
TOO,strongneg
Toll,strongneg
Virus,weakneg
nicely,strongpos
Could,neutral
though,neutral
ideas,neutral
genuine,strongpos
moderate,weakpos
LOVES,strongpos
unlikely,weakneg
integrity,strongpos
broke,strongneg
sadly,strongneg
close,weakneg
seem,neutral
accurate,strongpos
yeah,neutral
hard,strongneg
faith,strongpos
aware,neutral
top,weakpos
informative,strongpos
bully,strongneg
barely,weakneg
true,strongpos
elaborate,neutral
stunt,weakneg
hate,strongneg
monster,strongneg
crooked,strongneg
perverted,strongneg
friendly,strongpos
confused,strongneg
wasting,strongneg
conspiracies,strongneg
Argues,weakneg
Excellent,strongpos
Very,neutral
Looks,neutral
incoherent,strongneg
praised,strongpos
rage,strongneg
hopefuls,strongpos
Fake,strongneg
fake,strongneg
idiots,strongneg
privilege,weakpos
fume,weakneg
high,neutral
Elites,strongpos
loyalty,weakpos
misused,strongneg
aggressive,strongneg
Excluding,weakneg
wealthy,weakpos
disowned,strongneg
justice,strongpos
Suspicious,weakneg
claiming,neutral
independent,strongpos
falsely,weakneg
accuses,strongneg
feel,neutral
favorite,strongpos
reason,strongpos
assault,strongneg
try,weakneg
forget,weakneg
failed,strongneg
engages,neutral
crime,strongneg
nature,neutral
terrible,strongneg
victory,strongpos
obviously,weakneg
positive,weakpos
bad,strongneg
refused,strongneg
denounce,strongneg
confronted,strongneg
Strong,weakpos
views,neutral
Fuzzy,weakneg
feelings,neutral
challenge,weakneg
fact,neutral
qualifies,weakpos
Supporters,strongpos
rat,strongneg
Claims,neutral
Hmm,neutral
looks,neutral
prominent,weakpos
overwhelming,strongneg
irregularities,weakneg
inconsistencies,strongneg
Backing,weakpos
Precisely,weakpos
pretending,weakneg
defense,weakpos
rivals,weakneg
DUMB,strongneg
VICE,strongneg
killing,strongneg
hailed,weakpos
champion,strongpos
impassioned,strongpos
(very,neutral
stand,weakpos
screwed,strongneg
carnage,strongneg
slightly,weakneg
flames,strongpos
force,strongneg
blame,strongneg
live,weakpos
incompetence,strongneg
Failed,strongneg
deeply,neutral
‘bogus,strongneg
Tried,weakneg
Electrified,weakpos
finally,neutral
disappointment,strongneg
Moving,neutral
oddities,weakneg
dream,weakpos
rally,strongpos
dreams,weakpos
glistening,weakpos
Great,weakpos
Possible,neutral
well-educated,weakpos
comrades,weakpos
simply,neutral
:OH,neutral
illegal,strongneg
celebrates,strongpos
show,neutral
scream,strongneg
thank,strongpos
arcane,weakneg
deciding,neutral
narrow,weakneg
Oh,neutral
possibility,neutral
compulsory,weakneg
horrifying,strongneg
immediately,neutral
Refuses,strongneg
courage,weakpos
dirt,strongneg
talented,strongpos
stance,neutral
liberty,strongpos
extremely,weakneg
troubling,strongneg
(yes,weakpos
gossiped,strongneg
impotent,weakneg
unfavorable,strongneg
unfamiliar,weakneg
Pressed,weakpos
backed,weakpos
excellent,strongpos
problem,strongneg
trusted,strongpos
Vows,weakpos
means,neutral
bastards,strongneg
