Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"68,396",34.1%,,11
Sanders Bernie Sanders,"65,894",32.9%,,9
Warren Elizabeth Warren,"31,514",15.7%,,4
Bloomberg Michael R. Bloomberg,"24,131",12.0%,,0
Buttigieg Pete Buttigieg,"4,180",2.1%,,0
Klobuchar Amy Klobuchar,"2,744",1.4%,,0
Gabbard Tulsi Gabbard,"1,841",0.9%,,0
Yang Andrew Yang,670,0.3%,,0
Steyer Tom Steyer,322,0.2%,,0
Patrick Deval Patrick,267,0.1%,,0
Williamson Marianne Williamson,200,0.1%,,0
Booker Cory Booker,199,0.1%,,0
