Word,Polarity
want,strongpos
sadly,strongneg
think,neutral
good,strongpos
luck,strongpos
victory,strongpos
just,strongpos
Just,strongpos
trying,weakneg
fair,strongpos
regret,strongneg
inspiring,strongpos
must,neutral
agreed,weakpos
fumbling,strongneg
supposed,strongneg
primary,neutral
captivating,weakpos
Must,neutral
really,neutral
perspective,neutral
favorite,strongpos
afford,weakpos
look,neutral
fast,neutral
garbage,weakneg
plenty,strongpos
concerned,strongneg
ability,weakpos
transparency,neutral
serious,weakneg
hater,strongneg
condemning,weakneg
applauding,strongpos
intention,neutral
avoid,weakneg
reveals,neutral
courting,weakpos
should,neutral
problem,strongneg
strident,strongneg
so,neutral
enough,neutral
kill,strongneg
would,neutral
funny,strongpos
sense,weakpos
object,strongneg
lain,strongneg
imposed,strongneg
content,strongpos
care,strongpos
original,strongpos
comment,neutral
still,neutral
stands,weakpos
although,weakneg
idea,neutral
relevant,strongpos
democratic,weakpos
difference,neutral
respectful,strongpos
attacked,strongneg
harassed,strongneg
even,weakpos
Prove,neutral
attack,strongneg
obviously,weakneg
joking,weakpos
statements,neutral
redundant,weakneg
try,weakneg
unrealistic,strongneg
losers,strongneg
possibly,neutral
BEAST,weakneg
So,neutral
need,neutral
Well,strongpos
supporter,strongpos
unable,strongneg
understand,weakpos
actual,neutral
best,weakpos
lone,strongneg
LIKE,strongpos
expectations,neutral
independent,strongpos
dignity,strongpos
know,neutral
condemned,weakneg
felons,strongneg
gain,strongpos
Id,neutral
feel,neutral
kindly,weakpos
Unfortunately,strongneg
seems,neutral
believe,neutral
right,weakpos
well,strongpos
too,strongneg
moderate,weakpos
positions,neutral
activist,neutral
demand,both
engage,neutral
VALID,strongpos
concerns,strongneg
ignorant,strongneg
truth,strongpos
very,neutral
close,weakneg
tampered,strongneg
lying,strongneg
glitch,weakneg
acknowledged,weakpos
dirty,strongneg
airing,neutral
might,neutral
harm,strongneg
real,weakpos
quaint,strongpos
interest,strongpos
Lovely,strongpos
clear,strongpos
losing,strongneg
patience,strongpos
move,neutral
simple,weakpos
chaos,strongneg
debacle,strongneg
joke,weakpos
knew,neutral
respect,strongpos
seem,neutral
possible,neutral
could,neutral
hard,strongneg
Seems,neutral
protect,strongpos
boost,strongpos
disaster,strongneg
Definitely,weakpos
sad,strongneg
privilege,weakpos
huge,neutral
great,weakpos
surviving,weakpos
needs,neutral
better,strongpos
defending,weakpos
cheated,strongneg
nice,weakpos
live,weakpos
show,neutral
breaking,strongneg
crazy,strongneg
wholesome,weakpos
ensure,weakpos
flawlessly,strongpos
Hopefully,strongpos
sure,weakpos
hope,strongpos
fact,neutral
mess,strongneg
sneaking,weakneg
