Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"470,294",33.6%,,37
Sanders Bernie Sanders,"373,173",26.7%,,29
Warren Elizabeth Warren,"299,733",21.4%,,25
Bloomberg Michael R. Bloomberg,"164,689",11.8%,,0
Buttigieg Pete Buttigieg,"37,172",2.7%,,0
Klobuchar Amy Klobuchar,"16,862",1.2%,,0
Gabbard Tulsi Gabbard,"10,616",0.8%,,0
Patrick Deval Patrick,"6,851",0.5%,,0
Steyer Tom Steyer,"6,666",0.5%,,0
No Preference No Preference,"5,212",0.4%,,0
Yang Andrew Yang,"2,621",0.2%,,0
Bennet Michael Bennet,"1,409",0.1%,,0
Delaney John Delaney,"1,000",0.1%,,0
Williamson Marianne Williamson,653,0.0%,,0
Booker Cory Booker,431,0.0%,,0
Castro Julián Castro,297,0.0%,,0
