Poll,Date,Sample,Warren,Biden,Sanders,Bloomberg,Buttigieg,Klobuchar,Gabbard,Steyer,Spread
Final Results,--,--,21.4,33.6,26.7,11.8,2.7,1.2,0.8,0.5,Biden +6.9
Data for Progress (D)DFP (D),2/28 - 3/2,301 LV,28,26,26,15,2,1,1,0,Warren +2
Boston Globe/SuffolkSuffolk,2/26 - 2/29,500 LV,22,11,24,13,12,5,1,2,Sanders +2
WBUR/MassINCWBUR/MassINC,2/23 - 2/26,426 LV,17,9,25,13,14,6,1,2,Sanders +8
UMass AmherstUMass Amherst,2/18 - 2/24,400 LV,23,12,25,9,14,7,4,3,Sanders +2
UMass LowellUMLowell,2/12 - 2/19,450 LV,20,14,21,12,15,9,3,2,Sanders +1
WBUR/MassINCWBUR/MassINC,10/16 - 10/20,456 LV,33,18,13,--,7,1,2,1,Warren +15
Boston Globe/SuffolkSuffolk,9/3 - 9/5,500 RV,24,26,8,--,5,0,2,0,Biden +2
Boston Globe/SuffolkSuffolk,6/5 - 6/9,370 RV,10,22,6,--,8,0,1,--,Biden +12
EmersonEmerson,4/4 - 4/7,371 RV,14,23,26,--,11,2,1,--,Sanders +3
