date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-12,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-13,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-14,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-15,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-16,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-17,0,14.0,12.0,0,3.0,0,0,21.0,0,20.0,0
2020-02-18,0,13.0,10.5,0,3.5,0,0,23.0,0,21.5,0
2020-02-19,0,13.0,10.5,0,3.5,0,0,23.0,0,21.5,0
2020-02-20,0,12.0,9.0,0,4.0,0,0,25.0,0,23.0,0
2020-02-21,0,12.0,9.0,0,4.0,0,0,25.0,0,23.0,0
2020-02-22,0,12.0,9.0,0,4.0,0,0,25.0,0,23.0,0
2020-02-23,0,10.5,11.0,0,2.5,0,0,25.0,0,20.0,0
2020-02-24,0,10.5,11.0,0,2.5,0,0,25.0,0,20.0,0
2020-02-25,0,9.0,13.0,0,1.0,0,0,25.0,0,17.0,0
2020-02-26,0,10.0,13.0,0,1.0,0,0,24.5,0,19.5,0
2020-02-27,0,11.0,13.0,0,1.0,0,0,24.0,0,22.0,0
2020-02-28,0,18.5,14.0,0,1.0,0,0,25.0,0,25.0,0
2020-02-29,0,18.5,14.0,0,1.0,0,0,25.0,0,25.0,0
2020-03-01,0,26.0,15.0,0,1.0,0,0,26.0,0,28.0,0
2020-03-02,0,26.0,15.0,0,1.0,0,0,26.0,0,28.0,0
