Word,Polarity
So,neutral
suppress,strongneg
lying,strongneg
felt,neutral
humiliated,strongneg
Much,neutral
thinks,neutral
good,strongpos
bad,strongneg
Oh,neutral
goodness,strongpos
very,neutral
believe,neutral
Maybe,neutral
look,neutral
too,strongneg
Good,strongpos
really,neutral
illegal,strongneg
,strongpos
so,neutral
Despite,weakneg
show,neutral
lain,strongneg
wish,weakpos
love,strongpos
real,weakpos
support,strongpos
mending,strongpos
war,weakneg
feel,neutral
fear,strongneg
most,neutral
destroyed,strongneg
traitors,strongneg
need,neutral
damage,strongneg
sure,weakpos
argument,weakneg
against,weakneg
Innovative,strongpos
scare,strongneg
hard,strongneg
Looks,neutral
hassle,strongneg
actually,neutral
unfortunately,strongneg
primary,neutral
limiting,weakneg
like,strongpos
viable,strongpos
opponent,strongneg
deeply,neutral
concerning,strongneg
could,neutral
force,strongneg
Democratic,weakpos
want,strongpos
great,weakpos
Thank,strongpos
