date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-18,0,16.0,0,0,0,0,0,25.0,0,0,0
2020-02-19,0,16.0,0,0,0,0,0,25.0,0,0,0
2020-02-20,0,16.0,0,0,0,0,0,25.0,0,0,0
2020-02-28,0,29.0,0,0,1.0,0,0,23.0,0,0,0
2020-02-29,0,29.0,0,0,1.0,0,0,23.0,0,0,0
2020-03-01,0,29.0,0,0,1.0,0,0,23.0,0,0,0
2020-03-02,0,29.0,0,0,1.0,0,0,23.0,0,0,0
2020-03-03,0,29.0,0,0,1.0,0,0,23.0,0,0,0
2020-03-04,0,53.35,0,0,1.3,0,0,30.15,0,0,0
2020-03-05,0,52.56666666666666,0,0,1.15,0,0,32.1,0,0,0
2020-03-06,0,52.925,0,0,1.0999999999999999,0,0,34.575,0,0,0
2020-03-07,0,51.94,0,0,1.06,0,0,34.46,0,0,0
2020-03-08,0,54.1,0,0,1.06,0,0,32.75714285714286,0,0,0
2020-03-09,0,51.56666666666666,0,0,1.0999999999999999,0,0,31.433333333333334,0,0,0
