Word,Polarity
accepting,weakpos
help,weakpos
dark,strongneg
(illegally,strongneg
Lewd,strongneg
Joke,weakpos
views,neutral
look,neutral
know,neutral
support,strongpos
star,weakpos
attack,strongneg
dissent,weakneg
should,neutral
popular,weakpos
ridiculous,strongneg
just,strongpos
little,weakneg
wilted,strongneg
admitted,weakpos
black,weakneg
wanted,strongpos
correctly,weakpos
moved,neutral
though,neutral
jam,strongneg
hope,strongpos
exceeds,strongpos
expectations,neutral
so,neutral
negative,strongneg
comments,neutral
laugh,weakneg
mending,strongpos
condone,strongpos
Okay,strongpos
,strongpos
sad,strongneg
blind,strongneg
deceit,strongneg
really,neutral
good,strongpos
evil,strongneg
independent,strongpos
problems,strongneg
want,strongpos
Awesome,strongpos
war,weakneg
surprising,neutral
(considering,neutral
honestly,strongpos
knew,neutral
idiot,strongneg
backed,weakpos
idiots,strongneg
trying,weakneg
reason,strongpos
Wow,weakpos
spoil,strongneg
uniform,weakpos
stiff,strongneg
believe,neutral
Maybe,neutral
hell,strongneg
normal,strongpos
(oh,neutral
Great,weakpos
breaking,strongneg
LIES,strongneg
enough,neutral
criticizing,strongneg
agree,weakpos
worried,strongneg
overt,neutral
lack,strongneg
transparency,neutral
cheat,strongneg
Hopefully,strongpos
stupid,strongneg
think,neutral
would,neutral
primary,neutral
very,neutral
low,strongneg
sure,weakpos
fault,weakneg
needs,neutral
Democratic,weakpos
warfare,strongneg
problem,strongneg
WAR,weakneg
actually,neutral
discord,strongneg
However,neutral
reasons,strongpos
most,neutral
important,weakpos
moving,neutral
supports,strongpos
