date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-02-12,0,9.0,9.0,0,4.0,0,0,21.0,0,16.0,0
2020-02-13,0,9.0,9.0,0,4.0,0,0,21.0,0,16.0,0
2020-02-14,0,9.0,9.0,0,4.0,0,0,21.0,0,16.0,0
2020-02-15,0,9.0,9.0,0,4.0,0,0,21.0,0,16.0,0
2020-02-16,0,9.0,9.0,0,4.0,0,0,21.0,0,16.0,0
2020-02-17,0,8.5,6.0,0,2.5,0,0,22.0,0,13.5,0
2020-02-18,0,8.5,6.0,0,2.5,0,0,22.0,0,13.5,0
2020-02-19,0,8.5,6.0,0,2.5,0,0,22.0,0,13.5,0
2020-02-20,0,8.0,3.0,0,1.0,0,0,23.0,0,11.0,0
2020-02-28,0,27.0,16.0,0,1.0,0,0,32.0,0,21.0,0
2020-02-29,0,27.0,16.0,0,1.0,0,0,32.0,0,21.0,0
2020-03-01,0,27.0,16.0,0,1.0,0,0,32.0,0,21.0,0
2020-03-02,0,27.0,16.0,0,1.0,0,0,32.0,0,21.0,0
