Word,Polarity
lying,strongneg
felt,neutral
humiliated,strongneg
So,neutral
suppress,strongneg
Much,neutral
thinks,neutral
good,strongpos
bad,strongneg
Oh,neutral
goodness,strongpos
very,neutral
believe,neutral
Maybe,neutral
look,neutral
too,strongneg
Good,strongpos
really,neutral
illegal,strongneg
,strongpos
so,neutral
Despite,weakneg
show,neutral
attitude,neutral
real,weakpos
lain,strongneg
wish,weakpos
love,strongpos
support,strongpos
mending,strongpos
feel,neutral
fear,strongneg
most,neutral
destroyed,strongneg
traitors,strongneg
need,neutral
damage,strongneg
sure,weakpos
argument,weakneg
against,weakneg
war,weakneg
scare,strongneg
Innovative,strongpos
hard,strongneg
Looks,neutral
hassle,strongneg
actually,neutral
want,strongpos
great,weakpos
primary,neutral
Thank,strongpos
Yeah,neutral
unfortunately,strongneg
limiting,weakneg
like,strongpos
viable,strongpos
opponent,strongneg
deeply,neutral
concerning,strongneg
could,neutral
force,strongneg
Democratic,weakpos
