Candidate,Total S.D.E.s*,Pct.,,Pledged delegates Del.
Biden Joseph R. Biden Jr.,"399,439",60.1%,,44
Sanders Bernie Sanders,"229,638",34.6%,,24
Bloomberg Michael R. Bloomberg,"9,853",1.5%,,0
Warren Elizabeth Warren,"8,115",1.2%,,0
Gabbard Tulsi Gabbard,"4,879",0.7%,,0
Buttigieg Pete Buttigieg,"3,301",0.5%,,0
Klobuchar Amy Klobuchar,"2,677",0.4%,,0
Yang Andrew Yang,952,0.1%,,0
Booker Cory Booker,650,0.1%,,0
Steyer Tom Steyer,583,0.1%,,0
Haas Bill Haas,392,0.1%,,0
Bennet Michael Bennet,206,0.0%,,0
Steinman Velma Steinman,191,0.0%,,0
Steinman Leonard Steinman,176,0.0%,,0
Williamson Marianne Williamson,170,0.0%,,0
Delaney John Delaney,158,0.0%,,0
Burke Steve Burke,122,0.0%,,0
Castro Julián Castro,103,0.0%,,0
Hewes Henry Hewes,94,0.0%,,0
Wells Robby Wells,79,0.0%,,0
De La Fuente III Roque De La Fuente III,66,0.0%,,0
Patrick Deval Patrick,52,0.0%,,0
Uncommitted Uncommitted,"2,482",0.4%,,0
