Word,Polarity
sure,weakpos
monster,strongneg
threat,strongneg
know,neutral
care,strongpos
want,strongpos
smear,strongneg
Clean,weakpos
Toxic,strongneg
Respect,strongpos
peace,strongpos
normal,strongpos
miss,weakneg
power,neutral
unity,strongpos
drives,weakpos
so,neutral
damned,strongneg
progressive,weakpos
liberal,weakpos
fascist,strongneg
right,weakpos
faith,strongpos
,neutral
justice,strongpos
primary,neutral
hate,strongneg
break,strongneg
influence,neutral
tired,weakneg
actually,neutral
considering,neutral
too,strongneg
white,weakpos
think,neutral
need,neutral
Maybe,neutral
Doubt,strongneg
cold,strongneg
just,strongpos
lies,strongneg
look,neutral
heroes,strongpos
Surely,weakpos
fine,strongpos
protecting,strongpos
feeling,neutral
delighted,strongpos
actual,neutral
crusades,weakpos
surprised,neutral
most,neutral
completely,neutral
(protective,strongpos
jealousy,strongneg
So,neutral
even,weakpos
Really,neutral
damn,strongneg
