Candidate,Total S.D.E.s*,Pct.,Pledged delegates Del.
Sanders Bernie Sanders,"6,788",46.8%,24
Biden Joseph R. Biden Jr.,"2,927",20.2%,9
Buttigieg Pete Buttigieg,"2,073",14.3%,3
Warren Elizabeth Warren,"1,406",9.7%,0
Steyer Tom Steyer,682,4.7%,0
Klobuchar Amy Klobuchar,603,4.2%,0
Gabbard Tulsi Gabbard,4,0.0%,0
Yang Andrew Yang,1,0.0%,0
Bennet Michael Bennet,0,0.0%,0
Delaney John Delaney,0,0.0%,0
Patrick Deval Patrick,0,0.0%,0
Uncommitted Uncommitted,7,0.0%,0
Others Others,615,4.2%,0
