Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
klobuchar.txt,1,1134,88.49,64.46,5.94,48.69,30.65,27.87,57.85,2.65,1.41,0.00,0.53,0.35,1.32,0.53,1.15,1.50,0.88,2.82,0.09
gabbard.txt,1,239,93.64,53.35,10.25,49.10,26.56,28.45,51.88,3.77,2.51,0.00,0.00,0.00,1.67,0.42,1.26,0.42,1.26,4.18,0.42
patrick.txt,1,1521,89.46,57.82,1.72,72.54,19.50,26.56,43.98,3.16,0.66,0.13,0.13,0.26,0.79,0.53,1.71,1.45,0.79,1.78,0.39
warren.txt,1,4557,77.96,69.00,7.34,51.65,23.49,25.04,64.80,2.94,1.56,0.20,0.61,0.22,1.45,1.49,1.67,2.94,1.08,3.31,1.21
buttigieg.txt,1,3910,88.10,62.64,5.61,54.66,26.97,30.77,53.09,2.92,1.38,0.10,0.41,0.33,1.46,0.43,1.94,1.79,0.82,4.22,0.72
bennet.txt,1,73,66.29,60.81,7.43,9.10,14.60,8.22,72.60,2.74,4.11,0.00,1.37,1.37,1.37,1.37,0.00,0.00,2.74,0.00,0.00
steyer.txt,1,524,75.99,50.00,4.00,28.95,26.20,24.05,63.93,1.72,1.53,0.19,0.76,0.38,1.34,0.95,2.48,0.95,1.72,3.82,2.10
bloomberg.txt,1,8584,88.50,72.25,3.41,35.54,25.47,28.84,58.77,2.66,2.10,0.27,0.91,0.28,1.51,0.73,1.32,2.00,0.84,3.01,1.81
yang.txt,1,69500,91.51,56.92,1.00,34.32,16.98,23.66,10.92,0.88,0.38,0.02,0.11,0.05,0.23,0.14,0.20,0.16,0.12,0.49,0.17
biden.txt,1,6183,89.93,73.65,6.19,14.40,26.88,25.18,57.03,1.78,2.60,0.58,1.21,0.26,1.18,0.68,1.49,2.52,0.44,4.11,1.00
sanders.txt,1,9240,86.65,68.99,4.23,36.22,28.17,29.11,57.10,2.62,2.02,0.35,0.93,0.24,1.43,0.91,1.74,1.81,0.89,3.32,0.91
