Word,Polarity
awkward,strongneg
unusual,weakneg
clear,strongpos
best,weakpos
most,neutral
pressing,weakneg
challenges,weakneg
better,strongpos
defeats,strongneg
Stand,weakpos
support,strongpos
Democratic,weakpos
primary,neutral
arguing,weakneg
Support,strongpos
strong,weakpos
progressive,weakpos
problem,strongneg
could,neutral
critical,strongneg
great,weakpos
just,strongpos
might,neutral
still,neutral
undecided,weakneg
would,neutral
love,strongpos
defeat,strongneg
According,weakpos
Real,weakpos
Clear,strongpos
attacking,strongneg
Primary,neutral
so,neutral
rather,neutral
know,neutral
matter,neutral
major,neutral
Excited,strongpos
beautiful,strongpos
respect,strongpos
supposed,strongneg
highlights,strongpos
want,strongpos
shred,weakneg
special,strongpos
Please,strongpos
need,neutral
opportunity,strongpos
should,neutral
super,strongpos
white,weakpos
right,weakpos
important,weakpos
reason,strongpos
qualify,weakpos
very,neutral
odd,weakneg
feels,neutral
thinking,neutral
trying,weakneg
endorse,strongpos
trick,weakneg
actually,neutral
Good,strongpos
Top,weakpos
according,weakpos
absurd,strongneg
too,strongneg
excitement,strongpos
least,weakneg
against,weakneg
wish,weakpos
show,neutral
honestly,strongpos
inspiring,strongpos
friends,strongpos
actual,neutral
unique,weakpos
taste,weakpos
quit,strongneg
entire,neutral
losing,strongneg
protest,strongneg
contribution,weakpos
Dream,weakpos
sure,weakpos
shock,weakneg
Agree,weakpos
disagree,weakneg
bad,strongneg
joke,weakpos
decide,neutral
supporters,strongpos
needs,neutral
help,weakpos
definitely,weakpos
believe,neutral
much,neutral
tiny,weakneg
nonsense,strongneg
hope,strongpos
