Word,Polarity
Complete,neutral
Commitment,weakpos
Swing,neutral
would,neutral
primary,neutral
even,weakpos
great,weakpos
pledged,weakpos
primary,neutral
endorsements,strongpos
Failing,strongneg
gain,strongpos
primary,neutral
moves,neutral
Serious,weakneg
straight,weakpos
yawned,strongneg
Serious,weakneg
straight,weakpos
yawned,strongneg
so,neutral
hurting,strongneg
feels,neutral
extraordinary,weakpos
vital,weakpos
should,neutral
truth,strongpos
need,neutral
know,neutral
hope,strongpos
still,neutral
chaos,strongneg
primary,neutral
So,neutral
so,neutral
good,strongpos
