Word,Polarity
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
just,strongpos
favorite,strongpos
else,neutral
would,neutral
chaos,strongneg
basically,neutral
white,weakpos
could,neutral
clear,strongpos
hard,strongneg
really,neutral
backs,weakpos
thought,neutral
crumbling,strongneg
victories,strongpos
could,neutral
least,weakneg
love,strongpos
Look,neutral
like,strongpos
stood,weakpos
confusing,strongneg
gaffs,strongneg
Suggests,weakpos
Actually,neutral
definitely,weakpos
though,neutral
support,strongpos
would,neutral
certainly,neutral
success,strongpos
Primary,neutral
against,weakneg
losses,strongneg
daydreamed,weakpos
primary,neutral
opponents,strongneg
much,neutral
imagine,neutral
points,neutral
should,neutral
disgusted,strongneg
big,neutral
comeback,weakpos
entire,neutral
triumphant,strongpos
fall,weakneg
even,weakpos
better,strongpos
supporters,strongpos
move,neutral
argument,weakneg
most,neutral
crumbles,strongneg
bleeds,weakneg
support,strongpos
against,weakneg
losses,strongneg
high,neutral
against,weakneg
losses,strongneg
so,neutral
strong,weakpos
support,strongpos
so,neutral
could,neutral
allow,weakpos
primary,neutral
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
Even,weakpos
still,neutral
strong,weakpos
according,weakpos
largely,neutral
looking,neutral
still,neutral
think,neutral
odd,weakneg
upset,strongneg
though,neutral
slightly,weakneg
primary,neutral
look,neutral
Just,strongpos
big,neutral
pretty,weakpos
quick,neutral
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
against,weakneg
losses,strongneg
vice,strongneg
strong,weakpos
Democratic,weakpos
even,weakpos
gains,strongpos
against,weakneg
losses,strongneg
definitely,weakpos
idiotic,strongneg
even,weakpos
imagine,neutral
endorsing,strongpos
most,neutral
likely,neutral
even,weakpos
terribly,strongneg
massive,neutral
vice,strongneg
most,neutral
well,strongpos
kiss,strongpos
death,strongneg
nice,weakpos
support,strongpos
even,weakpos
else,neutral
just,strongpos
super,strongpos
super,strongpos
largely,neutral
large,weakpos
support,strongpos
outright,neutral
gains,strongpos
top,weakpos
helping,weakpos
support,strongpos
Blasts,weakneg
Democratic,weakpos
so,neutral
much,neutral
independent,strongpos
achieving,strongpos
accomplishing,strongpos
supporters,strongpos
knowledge,neutral
endorsing,strongpos
large,weakpos
though,neutral
feeling,neutral
Democratic,weakpos
key,neutral
showing,neutral
shows,neutral
even,weakpos
ADMITS,weakpos
rivals,weakneg
trial,strongneg
looks,neutral
looks,neutral
shows,neutral
support,strongpos
Shows,neutral
Support,strongpos
decide,neutral
Shows,neutral
Support,strongpos
sure,weakpos
still,neutral
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Breaking,strongneg
know,neutral
super,strongpos
show,neutral
trying,weakneg
undecided,weakneg
just,strongpos
looking,neutral
decent,strongpos
Wonder,strongpos
declined,weakneg
help,weakpos
likely,neutral
so,neutral
rivals,weakneg
barely,weakneg
Shows,neutral
trying,weakneg
undecided,weakneg
Shows,neutral
advantage,weakpos
just,strongpos
primary,neutral
reveals,neutral
trial,strongneg
strength,neutral
Democratic,weakpos
supporters,strongpos
so,neutral
sure,weakpos
Shows,neutral
Shows,neutral
wish,weakpos
think,neutral
solid,weakpos
great,weakpos
barely,weakneg
against,weakneg
Shows,neutral
Surprising,neutral
reveals,neutral
Despite,weakneg
notoriously,strongneg
invincibility,strongpos
shattered,strongneg
loses,strongneg
slightly,weakneg
Confronted,strongneg
tradition,weakpos
Endorses,strongpos
endorses,strongpos
rights,weakpos
reason,strongpos
should,neutral
just,strongpos
Yes,weakpos
should,neutral
interesting,strongpos
show,neutral
worse,strongneg
super,strongpos
trying,weakneg
so,neutral
shows,neutral
support,strongpos
primary,neutral
so,neutral
victory,strongpos
Shows,neutral
Support,strongpos
endorsements,strongpos
hope,strongpos
actually,neutral
Shows,neutral
Support,strongpos
looks,neutral
show,neutral
looks,neutral
choke,strongneg
feels,neutral
shows,neutral
support,strongpos
attack,strongneg
deal,strongpos
Shows,neutral
Support,strongpos
key,neutral
showed,neutral
support,strongpos
vice,strongneg
primary,neutral
looks,neutral
Most,neutral
Trusted,strongpos
championed,strongpos
looks,neutral
Shows,neutral
Support,strongpos
looks,neutral
shows,neutral
support,strongpos
looks,neutral
Shows,neutral
Support,strongpos
looks,neutral
looks,neutral
shows,neutral
support,strongpos
looks,neutral
looks,neutral
looks,neutral
looks,neutral
Shows,neutral
Support,strongpos
shows,neutral
support,strongpos
shows,neutral
support,strongpos
shows,neutral
support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
shows,neutral
support,strongpos
vice,strongneg
points,neutral
Democratic,weakpos
rivals,weakneg
matter,neutral
truth,strongpos
truth,strongpos
Just,strongpos
looks,neutral
Democratic,weakpos
Democratic,weakpos
primary,neutral
allies,weakpos
expectations,neutral
Most,neutral
feel,neutral
great,weakpos
looks,neutral
Democratic,weakpos
Democratic,weakpos
primary,neutral
allies,weakpos
expectations,neutral
Most,neutral
feel,neutral
great,weakpos
too,strongneg
much,neutral
stake,weakneg
primary,neutral
best,weakpos
defeating,strongneg
massive,neutral
show,neutral
black,weakneg
support,strongpos
could,neutral
help,weakpos
super,strongpos
too,strongneg
Help,weakpos
so,neutral
stands,weakpos
Ready,weakpos
Ready,weakpos
Honeymoon,strongpos
especially,weakpos
Ready,weakpos
Well,strongpos
though,neutral
primary,neutral
so,neutral
need,neutral
show,neutral
support,strongpos
sure,weakpos
miss,weakneg
=true,strongpos
likely,neutral
Democratic,weakpos
primary,neutral
Ready,weakpos
primary,neutral
Really,neutral
hoping,strongpos
even,weakpos
Praying,neutral
too,strongneg
Ready,weakpos
correct,strongpos
primary,neutral
challenge,weakneg
grave,strongneg
threat,strongneg
great,weakpos
really,neutral
meant,neutral
Primary,neutral
imploded,strongneg
big,neutral
smart,weakpos
Belittles,strongneg
DOWN,strongneg
Oh,neutral
Loss,strongneg
still,neutral
could,neutral
seeming,neutral
little,weakneg
shakes,strongneg
even,weakpos
loses,strongneg
Belittles,strongneg
DOWN,strongneg
knew,neutral
Truth,strongpos
surprising,neutral
Comment,neutral
Big,neutral
seemed,neutral
pretty,weakpos
backing,weakpos
seeming,neutral
know,neutral
so,neutral
enjoy,strongpos
Good,strongpos
great,weakpos
able,weakpos
primary,neutral
gains,strongpos
primary,neutral
calm,strongpos
well,strongpos
steady,weakpos
Belittles,strongneg
DOWN,strongneg
ARROGANT,strongneg
pro,strongpos
despite,weakneg
shoddy,strongneg
worst,strongneg
fact,neutral
best,weakpos
hilarious,strongpos
maybe,neutral
well,strongpos
despite,weakneg
well,strongpos
progressive,weakpos
Belittles,strongneg
DOWN,strongneg
vice,strongneg
struggles,strongneg
could,neutral
damage,strongneg
even,weakpos
cripple,strongneg
ability,weakpos
need,neutral
protracted,weakneg
opposition,strongneg
fully,neutral
well,strongpos
known,neutral
appeared,neutral
position,neutral
Belittles,strongneg
DOWN,strongneg
Just,strongpos
actually,neutral
look,neutral
Belittles,strongneg
DOWN,strongneg
still,neutral
Looks,neutral
Oh,neutral
Loss,strongneg
still,neutral
Belittles,strongneg
DOWN,strongneg
Loss,strongneg
Primary,neutral
Primary,neutral
Primary,neutral
still,neutral
Belittles,strongneg
DOWN,strongneg
Belittles,strongneg
DOWN,strongneg
problem,strongneg
attack,strongneg
opponents,strongneg
wants,strongpos
still,neutral
poor,strongneg
maybe,neutral
poor,strongneg
showing,neutral
dramatically,neutral
stakes,weakneg
Oh,neutral
Loss,strongneg
Oh,neutral
Loss,strongneg
intense,neutral
Oh,neutral
Loss,strongneg
fresh,strongpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
oh,neutral
tangled,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
oh,neutral
tangled,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
heckled,strongneg
liar,strongneg
liar,strongneg
liar,strongneg
believe,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
fall,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
just,strongpos
clearly,weakpos
heckled,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
Chaotic,strongneg
spook,weakneg
supporters,strongpos
even,weakpos
unclear,weakneg
best,weakpos
so,neutral
pathetic,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
would,neutral
point,neutral
big,neutral
argument,weakneg
could,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
Liar,strongneg
liar,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
right,weakpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
right,weakpos
oh,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
right,weakpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
right,weakpos
able,weakpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
super,strongpos
primary,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
positive,weakpos
honest,strongpos
lies,strongneg
crooked,strongneg
finally,neutral
much,neutral
should,neutral
barely,weakneg
entire,neutral
most,neutral
likely,neutral
would,neutral
knock,strongneg
distraction,strongneg
so,neutral
forget,weakneg
must,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
fraud,strongneg
Pathetic,strongneg
best,weakpos
still,neutral
completely,neutral
bombed,strongneg
primary,neutral
problem,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
POOR,strongneg
TRUTH,strongpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
just,strongpos
bad,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
liar,strongneg
super,strongpos
boost,strongpos
vice,strongneg
just,strongpos
primary,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
failing,strongneg
so,neutral
really,neutral
failing,strongneg
need,neutral
exaggerated,strongneg
angry,strongneg
rant,strongneg
(likely,neutral
popular,weakpos
hard,strongneg
really,neutral
well,strongpos
maybe,neutral
very,neutral
white,weakpos
collapsed,strongneg
lose,strongneg
well,strongpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
failure,strongneg
real,weakpos
seems,neutral
logical,strongpos
fall,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
love,strongpos
embellish,weakpos
accomplish,strongpos
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
heckled,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
Liar,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
worse,strongneg
seem,neutral
screamed,strongneg
Imploded,strongneg
correct,strongpos
severely,strongneg
wounded,strongneg
think,neutral
heckled,strongneg
So,neutral
bastard,strongneg
heckled,strongneg
heckled,strongneg
disrupted,strongneg
accusations,strongneg
touches,neutral
little,weakneg
heckled,strongneg
heckled,strongneg
heckled,strongneg
better,strongpos
better,strongpos
id,neutral
preferred,strongpos
too,strongneg
looking,neutral
tried,weakneg
strength,neutral
despite,weakneg
rogue,strongneg
most,neutral
supporters,strongpos
pans,strongneg
just,strongpos
else,neutral
good,strongpos
attack,strongneg
primary,neutral
attack,strongneg
primary,neutral
Supporters,strongpos
Looking,neutral
Reason,strongpos
still,neutral
undecided,weakneg
showed,neutral
big,neutral
hateful,strongneg
spiteful,strongneg
enough,neutral
certain,neutral
mistake,strongneg
Gains,strongpos
oh,neutral
viable,strongpos
conceded,strongneg
defeat,strongneg
must,neutral
harass,strongneg
belittle,strongneg
help,weakpos
criticism,strongneg
mocking,strongneg
cutting,weakneg
large,weakpos
undecided,weakneg
just,strongpos
primary,neutral
need,neutral
help,weakpos
opportunity,strongpos
would,neutral
like,strongpos
thank,strongpos
helping,weakpos
Gains,strongpos
Gains,strongpos
posture,neutral
passe,strongneg
attack,strongneg
primary,neutral
rivals,weakneg
success,strongpos
criticized,strongneg
Gains,strongpos
still,neutral
undecided,weakneg
STAND,weakpos
BLACK,weakneg
NEED,weakneg
really,neutral
just,strongpos
critical,strongneg
primary,neutral
criticized,strongneg
so,neutral
distraction,strongneg
Supporters,strongpos
Looking,neutral
Reason,strongpos
defended,weakpos
offensive,weakneg
against,weakneg
denying,strongneg
encouraging,strongpos
Democratic,weakpos
Primary,neutral
truth,strongpos
exposed,weakneg
should,neutral
prospects,weakpos
primary,neutral
Missing,weakneg
Recover,weakpos
Crushing,strongneg
Loss,strongneg
able,weakpos
utter,strongneg
disaster,strongneg
appears,neutral
gain,strongpos
really,neutral
just,strongpos
critical,strongneg
primary,neutral
Please,strongpos
Collapsing,strongneg
so,neutral
striking,weakpos
dominated,weakneg
primary,neutral
must,neutral
loves,strongpos
need,neutral
swing,neutral
primary,neutral
wants,strongpos
‘comeback,weakpos
needs,neutral
show,neutral
cold,strongneg
fight,strongneg
disappointed,strongneg
swing,neutral
primary,neutral
sad,strongneg
known,neutral
liked,strongpos
vice,strongneg
losing,strongneg
swing,neutral
primary,neutral
destroyed,strongneg
best,weakpos
primary,neutral
too,strongneg
comeback,weakpos
really,neutral
just,strongpos
critical,strongneg
primary,neutral
could,neutral
rhetoric,weakneg
primary,neutral
conceded,strongneg
shortsighted,weakneg
offensive,weakneg
attack,strongneg
disparaged,strongneg
truth,strongpos
exposed,weakneg
should,neutral
touching,neutral
trying,weakneg
assure,strongpos
friend,strongpos
attacking,strongneg
FACT,neutral
CLAIM,neutral
underdog,weakneg
underdog,weakneg
underdog,weakneg
want,strongpos
could,neutral
mistake,strongneg
lying,strongneg
best,weakpos
would,neutral
pretty,weakpos
much,neutral
lying,strongneg
lying,strongneg
attacks,strongneg
against,weakneg
primary,neutral
lying,strongneg
lying,strongneg
lying,strongneg
best,weakpos
would,neutral
pretty,weakpos
much,neutral
lying,strongneg
lying,strongneg
attacks,strongneg
against,weakneg
primary,neutral
lying,strongneg
lying,strongneg
Lying,strongneg
lying,strongneg
Lying,strongneg
poor,strongneg
