Word,Polarity
very,neutral
well,strongpos
Democratic,weakpos
collapses,strongneg
popular,weakpos
notion,neutral
appeals,weakpos
really,neutral
might,neutral
very,neutral
least,weakneg
really,neutral
look,neutral
primary,neutral
Democratic,weakpos
hopefuls,strongpos
knock,strongneg
largely,neutral
Democratic,weakpos
primary,neutral
eliminating,strongneg
could,neutral
primary,neutral
eliminating,strongneg
could,neutral
primary,neutral
eliminating,strongneg
could,neutral
least,weakneg
primary,neutral
support,strongpos
least,weakneg
gold,strongpos
Democratic,weakpos
primary,neutral
could,neutral
could,neutral
allow,weakpos
primary,neutral
Democratic,weakpos
hopefuls,strongpos
knock,strongneg
largely,neutral
dug,weakpos
primary,neutral
robust,strongpos
Democratic,weakpos
hopefuls,strongpos
knock,strongneg
largely,neutral
arrogance,strongneg
undermining,strongneg
substantial,weakpos
even,weakpos
though,neutral
Democratic,weakpos
primary,neutral
hurts,strongneg
helps,weakpos
(opinion,neutral
hurts,strongneg
helps,weakpos
(opinion,neutral
hurts,strongneg
helps,weakpos
(opinion,neutral
substantial,weakpos
even,weakpos
though,neutral
primary,neutral
Honestly,strongpos
true,strongpos
show,neutral
direct,neutral
confrontational,strongneg
super,strongpos
much,neutral
better,strongpos
idea,neutral
really,neutral
recognition,weakpos
nice,weakpos
likely,neutral
Democratic,weakpos
primary,neutral
allow,weakpos
least,weakneg
primary,neutral
very,neutral
receptive,weakpos
definitely,weakpos
lose,strongneg
best,weakpos
LIE,strongneg
thinks,neutral
thinks,neutral
yeah,neutral
good,strongpos
best,weakpos
right,weakpos
mean,neutral
supporters,strongpos
just,strongpos
hope,strongpos
true,strongpos
least,weakneg
trumps,strongpos
Primary,neutral
Primary,neutral
fight,strongneg
bad,strongneg
well,strongpos
super,strongpos
could,neutral
importance,weakpos
wars,weakneg
looks,neutral
strong,weakpos
hurts,strongneg
helps,weakpos
(opinion,neutral
clear,strongpos
suggest,weakpos
wasting,strongneg
primary,neutral
ready,weakpos
Primary,neutral
allies,weakpos
primary,neutral
Democratic,weakpos
tried,weakneg
Primary,neutral
looking,neutral
confusion,strongneg
chaos,strongneg
fully,neutral
primary,neutral
comfortable,strongpos
attacking,strongneg
so,neutral
quite,neutral
comfortable,strongpos
primary,neutral
according,weakpos
comfortable,strongpos
primary,neutral
according,weakpos
comfortable,strongpos
primary,neutral
according,weakpos
attacks,strongneg
loss,strongneg
scheme,weakneg
entirely,neutral
possible,neutral
outright,neutral
victory,strongpos
very,neutral
clear,strongpos
critical,strongneg
vice,strongneg
skittish,weakneg
low,strongneg
unlimited,weakpos
too,strongneg
so,neutral
big,neutral
good,strongpos
obvious,neutral
just,strongpos
loses,strongneg
allies,weakpos
primary,neutral
viability,weakpos
could,neutral
help,weakpos
better,strongpos
