Word,Polarity
pressure,neutral
strong,weakpos
need,neutral
very,neutral
well,strongpos
strong,weakpos
primary,neutral
hopes,strongpos
pressure,neutral
strong,weakpos
need,neutral
very,neutral
well,strongpos
strong,weakpos
primary,neutral
hopes,strongpos
look,neutral
best,weakpos
would,neutral
think,neutral
would,neutral
Even,weakpos
contention,weakneg
primary,neutral
failure,strongneg
gain,strongpos
looks,neutral
hopes,strongpos
mostly,neutral
white,weakpos
top,weakpos
Democratic,weakpos
top,weakpos
Democratic,weakpos
top,weakpos
Democratic,weakpos
screaming,strongneg
wow,weakpos
so,neutral
good,strongpos
just,strongpos
free,strongpos
BEST,weakpos
POSSIBLE,neutral
electrified,weakpos
else,neutral
screaming,strongneg
wow,weakpos
so,neutral
good,strongpos
just,strongpos
free,strongpos
BEST,weakpos
POSSIBLE,neutral
electrified,weakpos
else,neutral
Support,strongpos
gaining,strongpos
points,neutral
Feel,neutral
gain,strongpos
fail,strongneg
gaining,strongpos
Feel,neutral
gain,strongpos
fail,strongneg
gaining,strongpos
Feel,neutral
gain,strongpos
fail,strongneg
gains,strongpos
smart,weakpos
enough,neutral
know,neutral
still,neutral
fiasco,strongneg
still,neutral
unclear,weakneg
gained,strongpos
support,strongpos
quite,neutral
solid,weakpos
fresh,strongpos
FAKE,strongneg
gaining,strongpos
thinks,neutral
primary,neutral
key,neutral
know,neutral
effectively,neutral
expression,neutral
popular,weakpos
Even,weakpos
gaining,strongpos
thinks,neutral
thinks,neutral
primary,neutral
debacle,strongneg
break,strongneg
differences,neutral
prove,neutral
pretty,weakpos
much,neutral
thinks,neutral
Primary,neutral
primary,neutral
gains,strongpos
Still,neutral
primary,neutral
key,neutral
know,neutral
bad,strongneg
well,strongpos
super,strongpos
could,neutral
ploy,weakneg
shelter,strongpos
sick,strongneg
sure,weakpos
Just,strongpos
actually,neutral
look,neutral
gaining,strongpos
points,neutral
still,neutral
could,neutral
lose,strongneg
still,neutral
irrelevant,strongneg
wanted,strongpos
little,weakneg
right,weakpos
just,strongpos
Excited,strongpos
Democratic,weakpos
throwing,weakneg
support,strongpos
invalidate,strongneg
victory,strongpos
looking,neutral
great,weakpos
Nasty,strongneg
Nasty,strongneg
still,neutral
Primary,neutral
Primary,neutral
Primary,neutral
still,neutral
Points,neutral
Oh,neutral
like,strongpos
gains,strongpos
gaining,strongpos
points,neutral
positive,weakpos
move,neutral
Moving,neutral
Moving,neutral
know,neutral
massive,neutral
surge,weakpos
could,neutral
danger,strongneg
loses,strongneg
rough,weakneg
chasten,weakneg
hot,strongpos
normal,strongpos
normal,strongpos
expressions,neutral
rat,strongneg
poison,strongneg
claiming,neutral
victory,strongpos
popular,weakpos
even,weakpos
close,weakneg
entire,neutral
narrow,weakneg
show,neutral
corrupt,strongneg
claimed,neutral
victory,strongpos
victorious,strongpos
unfortunate,strongneg
thus,neutral
depriving,strongneg
could,neutral
Fresh,strongpos
Dig,strongneg
‘Transparency,neutral
aggressive,strongneg
activists,neutral
confront,strongneg
claiming,neutral
strong,weakpos
claiming,neutral
strong,weakpos
just,strongpos
else,neutral
good,strongpos
still,neutral
undecided,weakneg
rivals,weakneg
success,strongpos
fight,strongneg
primary,neutral
Gains,strongpos
oh,neutral
viable,strongpos
conceded,strongneg
defeat,strongneg
must,neutral
harass,strongneg
belittle,strongneg
help,weakpos
criticism,strongneg
mocking,strongneg
cutting,weakneg
large,weakpos
undecided,weakneg
best,weakpos
smart,weakpos
perspective,neutral
supporters,strongpos
most,neutral
Defense,weakpos
courting,weakpos
inclusive,weakpos
just,strongpos
grotesque,strongneg
rhetorical,weakneg
Gains,strongpos
Gains,strongpos
Big,neutral
rivals,weakneg
success,strongpos
criticized,strongneg
yep,weakpos
although,weakneg
increasingly,neutral
difficult,strongneg
Defense,weakpos
courting,weakpos
inclusive,weakpos
just,strongpos
grotesque,strongneg
rhetorical,weakneg
Gains,strongpos
still,neutral
undecided,weakneg
STAND,weakpos
BLACK,weakneg
NEED,weakneg
really,neutral
just,strongpos
critical,strongneg
primary,neutral
gains,strongpos
primary,neutral
big,neutral
Fight,strongneg
against,weakneg
payback,weakneg
Oh,neutral
Good,strongpos
against,weakneg
payback,weakneg
criticized,strongneg
big,neutral
primary,neutral
still,neutral
top,weakpos
rivals,weakneg
Democratic,weakpos
GAINS,strongpos
defended,weakpos
offensive,weakneg
against,weakneg
denying,strongneg
encouraging,strongpos
Democratic,weakpos
primary,neutral
big,neutral
Primary,neutral
appears,neutral
primary,neutral
shows,neutral
primary,neutral
boiling,strongneg
Big,neutral
gain,strongpos
gains,strongpos
courting,weakpos
inclusive,weakpos
just,strongpos
grotesque,strongneg
rhetorical,weakneg
claiming,neutral
victory,strongpos
Big,neutral
flaws,strongneg
show,neutral
really,neutral
just,strongpos
critical,strongneg
primary,neutral
black,weakneg
Big,neutral
must,neutral
loves,strongpos
need,neutral
swing,neutral
primary,neutral
Big,neutral
primary,neutral
