Word,Polarity
interest,strongpos
warning,strongneg
afford,weakpos
slowly,weakneg
needs,neutral
need,weakneg
interest,strongpos
warning,strongneg
afford,weakpos
slowly,weakneg
needs,neutral
need,weakneg
seems,neutral
well,strongpos
think,neutral
much,neutral
threat,strongneg
primary,neutral
primary,neutral
likely,neutral
primary,neutral
primary,neutral
matters,neutral
less,weakneg
less,weakneg
Democratic,weakpos
so,neutral
important,weakpos
might,neutral
prospects,weakpos
special,strongpos
think,neutral
even,weakpos
though,neutral
support,strongpos
think,neutral
would,neutral
surprised,neutral
complaining,strongneg
primary,neutral
Very,neutral
Yes,weakpos
primary,neutral
important,weakpos
bad,strongneg
primary,neutral
primary,neutral
primary,neutral
mess,strongneg
democratic,weakpos
could,neutral
famous,strongpos
less,weakneg
so,neutral
shocking,strongneg
enough,neutral
distraction,strongneg
little,weakneg
distracted,strongneg
fully,neutral
willing,weakpos
primary,neutral
sense,weakpos
deny,strongneg
looking,neutral
good,strongpos
would,neutral
great,weakpos
should,neutral
real,weakpos
primary,neutral
should,neutral
so,neutral
know,neutral
good,strongpos
well,strongpos
so,neutral
most,neutral
Admittedly,weakpos
expectations,neutral
would,neutral
endorsed,strongpos
humiliated,strongneg
Maybe,neutral
nice,weakpos
position,neutral
seems,neutral
wanted,strongpos
perspective,neutral
look,neutral
believe,neutral
refuse,strongneg
revolution,weakpos
need,neutral
real,weakpos
Although,weakneg
support,strongpos
could,neutral
better,strongpos
nature,neutral
Democratic,weakpos
Primary,neutral
primary,neutral
primary,neutral
would,neutral
please,strongpos
so,neutral
primary,neutral
whatever,weakneg
primary,neutral
primary,neutral
primary,neutral
supporters,strongpos
understand,weakpos
believe,neutral
sad,strongneg
primary,neutral
primary,neutral
primary,neutral
supporters,strongpos
understand,weakpos
believe,neutral
sad,strongneg
super,strongpos
favored,strongpos
favored,strongpos
supporters,strongpos
would,neutral
able,weakpos
good,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
qualified,weakpos
BATTLEGROUND,strongneg
Most,neutral
attractive,strongpos
battleground,strongneg
urges,strongpos
look,neutral
endorsement,strongpos
major,neutral
endorsement,strongpos
primary,neutral
much,neutral
power,neutral
player,neutral
