Word,Polarity
mars,strongneg
primary,neutral
surprise,neutral
known,neutral
love,strongpos
Look,neutral
like,strongpos
stood,weakpos
confusing,strongneg
gaffs,strongneg
Suggests,weakpos
Actually,neutral
think,neutral
loses,strongneg
dominates,weakneg
just,strongpos
awful,strongneg
most,neutral
likes,strongpos
Look,neutral
favorite,strongpos
Even,weakpos
better,strongpos
trump,strongpos
So,neutral
good,strongpos
wants,strongpos
wrestle,weakneg
democratic,weakpos
could,neutral
famous,strongpos
less,weakneg
so,neutral
could,neutral
fortunately,strongpos
above,weakpos
appears,neutral
trial,strongneg
so,neutral
could,neutral
so,neutral
could,neutral
so-called,strongneg
Democratic,weakpos
most,neutral
very,neutral
interesting,strongpos
want,strongpos
worst,strongneg
possible,neutral
Democratic,weakpos
Primary,neutral
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
Just,strongpos
look,neutral
mess,strongneg
primary,neutral
moderate,weakpos
key,neutral
Democratic,weakpos
Primary,neutral
clear,strongpos
points,neutral
Democratic,weakpos
right,weakpos
primary,neutral
facts,neutral
simply,neutral
incorrect,strongneg
want,strongpos
dig,weakpos
specific,neutral
pledged,weakpos
overwhelmingly,strongneg
white,weakpos
should,neutral
daydreamed,weakpos
primary,neutral
opponents,strongneg
much,neutral
importantly,weakpos
easily,strongpos
objective,strongpos
quite,neutral
primary,neutral
big,neutral
comeback,weakpos
entire,neutral
triumphant,strongpos
fall,weakneg
qualify,weakpos
least,weakneg
primary,neutral
should,neutral
Primary,neutral
democratic,weakpos
primary,neutral
duped,strongneg
independent,strongpos
need,neutral
Primary,neutral
look,neutral
hope,strongpos
would,neutral
love,strongpos
Stand,weakpos
just,strongpos
must,neutral
want,strongpos
vital,weakpos
primary,neutral
depriving,strongneg
tiresome,strongneg
inane,strongneg
primary,neutral
primary,neutral
benefit,strongpos
demand,both
primary,neutral
democratic,weakpos
right,weakpos
Big,neutral
especially,weakpos
welcome,strongpos
vicious,strongneg
Look,neutral
primary,neutral
want,strongpos
well,strongpos
support,strongpos
showing,neutral
could,neutral
serious,weakneg
primary,neutral
look,neutral
Just,strongpos
big,neutral
pretty,weakpos
quick,neutral
shaken,strongneg
facts,neutral
democratic,weakpos
primary,neutral
democratic,weakpos
losed,strongneg
must,neutral
reason,strongpos
Democratic,weakpos
so,neutral
could,neutral
even,weakpos
Oh,neutral
yeah,neutral
should,neutral
so,neutral
important,weakpos
least,weakneg
Democratic,weakpos
Primary,neutral
Trial,strongneg
effectively,neutral
hobbled,strongneg
obstacle,strongneg
point,neutral
concerned,strongneg
lose,strongneg
trying,weakneg
thwart,strongneg
Perhaps,neutral
even,weakpos
throwing,weakneg
support,strongpos
interests,strongpos
Against,weakneg
primary,neutral
accessible,weakpos
lose,strongneg
hard,strongneg
democratic,weakpos
help,weakpos
look,neutral
good,strongpos
war,weakneg
Democratic,weakpos
key,neutral
showing,neutral
favored,strongpos
erode,strongneg
belief,neutral
despite,weakneg
vital,weakpos
choke,strongneg
point,neutral
very,neutral
likely,neutral
very,neutral
hard,strongneg
point,neutral
look,neutral
look,neutral
support,strongpos
courting,weakpos
smart,weakpos
arrogance,strongneg
undermining,strongneg
still,neutral
believed,neutral
responsibility,weakpos
feels,neutral
particular,neutral
mantra,neutral
particular,neutral
would,neutral
must,neutral
cynical,strongneg
endorsement,strongpos
Oh,neutral
would,neutral
like,strongpos
primary,neutral
democratic,weakpos
although,weakneg
primary,neutral
primary,neutral
demon,strongneg
sin,strongneg
primary,neutral
Perhaps,neutral
would,neutral
better,strongpos
look,neutral
most,neutral
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
democratic,weakpos
really,neutral
bad,strongneg
even,weakpos
real,weakpos
despair,strongneg
support,strongpos
Black,weakneg
even,weakpos
able,weakpos
hope,strongpos
primary,neutral
though,neutral
pray,neutral
sure,weakpos
afford,weakpos
expensive,strongneg
Primary,neutral
Just,strongpos
really,neutral
Even,weakpos
democratic,weakpos
defense,weakpos
better,strongpos
could,neutral
importance,weakpos
white,weakpos
primary,neutral
actually,neutral
democratic,weakpos
black,weakneg
disgrace,strongneg
real,weakpos
THREATENING,strongneg
narrow,weakneg
clear,strongpos
increasingly,neutral
MENACING,strongneg
advantage,weakpos
Democratic,weakpos
right,weakpos
primary,neutral
Panic,strongneg
modern,weakpos
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
Panic,strongneg
Panic,strongneg
Panic,strongneg
Wow,weakpos
irrelevant,strongneg
so,neutral
democratic,weakpos
Panic,strongneg
Panic,strongneg
should,neutral
massive,neutral
loses,strongneg
very,neutral
trouble,strongneg
Panic,strongneg
Panic,strongneg
Panic,strongneg
fear,strongneg
could,neutral
much,neutral
Panic,strongneg
Panic,strongneg
could,neutral
possibly,neutral
wrong,strongneg
suffers,strongneg
attack,strongneg
big,neutral
problem,strongneg
very,neutral
best,weakpos
Democratic,weakpos
open,weakpos
Panic,strongneg
Panic,strongneg
likely,neutral
Primary,neutral
bad,strongneg
lack,strongneg
competence,weakpos
SNUBS,strongneg
Seem,neutral
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
Panic,strongneg
concern,strongneg
strength,neutral
showing,neutral
democratic,weakpos
strong,weakpos
primary,neutral
so,neutral
believe,neutral
show,neutral
top,weakpos
deep,neutral
prestigious,strongpos
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
very,neutral
likely,neutral
democratic,weakpos
democratic,weakpos
possibly,neutral
primary,neutral
best,weakpos
would,neutral
think,neutral
would,neutral
shown,neutral
lose,strongneg
Democratic,weakpos
right,weakpos
primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
live,weakpos
show,neutral
primary,neutral
Democratic,weakpos
Primary,neutral
Qualifies,weakpos
good,strongpos
patriot,strongpos
primary,neutral
primary,neutral
Democratic,weakpos
Primary,neutral
hell,strongneg
major,neutral
primary,neutral
definitely,weakpos
