Word,Polarity
primary,neutral
surprise,neutral
known,neutral
wrestle,weakneg
democratic,weakpos
could,neutral
famous,strongpos
less,weakneg
so,neutral
could,neutral
fortunately,strongpos
above,weakpos
appears,neutral
so-called,strongneg
Democratic,weakpos
most,neutral
very,neutral
interesting,strongpos
want,strongpos
worst,strongneg
possible,neutral
Democratic,weakpos
Primary,neutral
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
Just,strongpos
look,neutral
mess,strongneg
primary,neutral
moderate,weakpos
key,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
right,weakpos
primary,neutral
importantly,weakpos
easily,strongpos
objective,strongpos
qualify,weakpos
least,weakneg
primary,neutral
should,neutral
democratic,weakpos
primary,neutral
duped,strongneg
independent,strongpos
need,neutral
Primary,neutral
look,neutral
hope,strongpos
would,neutral
love,strongpos
just,strongpos
tiresome,strongneg
inane,strongneg
democratic,weakpos
right,weakpos
Big,neutral
especially,weakpos
welcome,strongpos
vicious,strongneg
Look,neutral
primary,neutral
want,strongpos
shaken,strongneg
facts,neutral
democratic,weakpos
primary,neutral
democratic,weakpos
losed,strongneg
must,neutral
even,weakpos
Oh,neutral
yeah,neutral
should,neutral
so,neutral
important,weakpos
least,weakneg
Democratic,weakpos
Primary,neutral
hard,strongneg
democratic,weakpos
help,weakpos
look,neutral
good,strongpos
war,weakneg
Democratic,weakpos
key,neutral
showing,neutral
favored,strongpos
vital,weakpos
choke,strongneg
point,neutral
very,neutral
likely,neutral
very,neutral
hard,strongneg
point,neutral
look,neutral
look,neutral
support,strongpos
primary,neutral
democratic,weakpos
although,weakneg
primary,neutral
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
democratic,weakpos
really,neutral
bad,strongneg
really,neutral
Even,weakpos
democratic,weakpos
defense,weakpos
better,strongpos
could,neutral
importance,weakpos
white,weakpos
primary,neutral
actually,neutral
democratic,weakpos
black,weakneg
disgrace,strongneg
real,weakpos
THREATENING,strongneg
narrow,weakneg
clear,strongpos
increasingly,neutral
MENACING,strongneg
advantage,weakpos
Democratic,weakpos
right,weakpos
primary,neutral
Panic,strongneg
modern,weakpos
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
Panic,strongneg
Panic,strongneg
Panic,strongneg
Wow,weakpos
irrelevant,strongneg
so,neutral
democratic,weakpos
Panic,strongneg
Panic,strongneg
should,neutral
massive,neutral
loses,strongneg
very,neutral
trouble,strongneg
Panic,strongneg
Panic,strongneg
Panic,strongneg
fear,strongneg
could,neutral
much,neutral
Panic,strongneg
Panic,strongneg
could,neutral
possibly,neutral
wrong,strongneg
suffers,strongneg
attack,strongneg
big,neutral
problem,strongneg
very,neutral
best,weakpos
Democratic,weakpos
open,weakpos
Panic,strongneg
Panic,strongneg
Panic,strongneg
Panic,strongneg
Democratic,weakpos
Primary,neutral
Panic,strongneg
concern,strongneg
strength,neutral
showing,neutral
democratic,weakpos
strong,weakpos
primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
very,neutral
likely,neutral
democratic,weakpos
democratic,weakpos
possibly,neutral
primary,neutral
best,weakpos
would,neutral
think,neutral
would,neutral
shown,neutral
lose,strongneg
Democratic,weakpos
right,weakpos
primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
Qualifies,weakpos
good,strongpos
patriot,strongpos
primary,neutral
primary,neutral
Democratic,weakpos
Primary,neutral
hell,strongneg
major,neutral
primary,neutral
definitely,weakpos
WRONG,strongneg
Democratic,weakpos
attack,strongneg
should,neutral
endorsed,strongpos
primary,neutral
qualified,weakpos
Primary,neutral
endorsement,strongpos
endorses,strongpos
strong,weakpos
position,neutral
punch,strongneg
could,neutral
hurts,strongneg
helps,weakpos
(opinion,neutral
Primary,neutral
Primary,neutral
Primary,neutral
would,neutral
lucky,strongpos
Qualifies,weakpos
Qualifies,weakpos
primary,neutral
loyalties,weakpos
Qualifies,weakpos
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
primary,neutral
open,weakpos
primary,neutral
Even,weakpos
still,neutral
lose,strongneg
Democratic,weakpos
Primary,neutral
hurts,strongneg
helps,weakpos
(opinion,neutral
Democratic,weakpos
right,weakpos
primary,neutral
Democratic,weakpos
outsider,strongneg
Democratic,weakpos
democratic,weakpos
hurts,strongneg
helps,weakpos
(opinion,neutral
big,neutral
endorsement,strongpos
please,strongpos
strong,weakpos
position,neutral
punch,strongneg
could,neutral
popularity,weakpos
would,neutral
severe,strongneg
primary,neutral
white,weakpos
privilege,weakpos
affected,neutral
Democratic,weakpos
Democratic,weakpos
clearly,weakpos
missed,weakneg
most,neutral
sure,weakpos
top,weakpos
Democratic,weakpos
top,weakpos
Democratic,weakpos
primary,neutral
primary,neutral
top,weakpos
Democratic,weakpos
comfortable,strongpos
points,neutral
Democratic,weakpos
right,weakpos
primary,neutral
democratic,weakpos
primary,neutral
Democratic,weakpos
right,weakpos
primary,neutral
Democratic,weakpos
Primary,neutral
Democratic,weakpos
Primary,neutral
knows,neutral
absurd,strongneg
trial,strongneg
hoping,strongpos
sabotage,strongneg
surprise,neutral
fading,weakneg
qualifying,weakpos
top,weakpos
Democratic,weakpos
qualified,weakpos
just,strongpos
Primary,neutral
likely,neutral
primary,neutral
Panic,strongneg
Agree,weakpos
negative,strongneg
attacks,strongneg
really,neutral
negative,strongneg
attacks,strongneg
against,weakneg
wanted,strongpos
attacking,strongneg
favorite,strongpos
Democratic,weakpos
Primary,neutral
Democratic,weakpos
just,strongpos
primary,neutral
primary,neutral
ready,weakpos
democratic,weakpos
primary,neutral
Oh,neutral
Good,strongpos
know,neutral
Democratic,weakpos
sure,weakpos
particular,neutral
know,neutral
enough,neutral
break,strongneg
top,weakpos
Democratic,weakpos
primary,neutral
Hilarious,strongpos
Primary,neutral
potential,weakpos
primary,neutral
potential,weakpos
think,neutral
could,neutral
incredibly,strongpos
well,strongpos
(Even,weakpos
better,strongpos
progressive,weakpos
so,neutral
hoping,strongpos
great,weakpos
trial,strongneg
sure,weakpos
miss,weakneg
ought,neutral
throw,weakneg
primary,neutral
hopes,strongpos
Primary,neutral
Primary,neutral
True,strongpos
true,strongpos
democratic,weakpos
lost,strongneg
primary,neutral
easily,strongpos
so,neutral
primary,neutral
although,weakneg
still,neutral
primary,neutral
free,strongpos
tried,weakneg
so,neutral
would,neutral
accessible,weakpos
lost,strongneg
too,strongneg
primary,neutral
most,neutral
steal,strongneg
sleepy,neutral
complaining,strongneg
fraud,strongneg
demand,both
perhaps,neutral
negative,strongneg
approval,weakpos
too,strongneg
Help,weakpos
solid,weakpos
wonder,strongpos
*insane,strongneg
best,weakpos
deeply,neutral
primary,neutral
freak,strongneg
primary,neutral
primary,neutral
too,strongneg
close,weakneg
suggests,weakpos
show,neutral
slight,weakneg
should,neutral
blamed,strongneg
poor,strongneg
attacks,strongneg
just,strongpos
complain,strongneg
MUST,neutral
complain,strongneg
fact,neutral
democratic,weakpos
primary,neutral
viciously,strongneg
allows,weakpos
move,neutral
wants,strongpos
trust,strongpos
think,neutral
incredibly,strongpos
hard,strongneg
allow,weakpos
least,weakneg
primary,neutral
primary,neutral
such,neutral
influence,neutral
white,weakpos
too,strongneg
close,weakneg
according,weakpos
too,strongneg
close,weakneg
according,weakpos
actually,neutral
indeed,neutral
full,neutral
unleash,weakneg
definitely,weakpos
lose,strongneg
best,weakpos
Democratic,weakpos
primary,neutral
primary,neutral
Primary,neutral
backed,weakpos
wish,weakpos
would,neutral
think,neutral
muddled,strongneg
primary,neutral
would,neutral
think,neutral
muddled,strongneg
just,strongpos
big,neutral
wow,weakpos
thought,neutral
look,neutral
possible,neutral
Mess,strongneg
erase,strongneg
Against,weakneg
just,strongpos
Mess,strongneg
erase,strongneg
Against,weakneg
Democratic,weakpos
primary,neutral
might,neutral
consider,neutral
democratic,weakpos
sense,weakpos
fair,strongpos
clearly,weakpos
could,neutral
seeming,neutral
little,weakneg
shakes,strongneg
Mess,strongneg
erase,strongneg
Mess,strongneg
erase,strongneg
even,weakpos
loses,strongneg
primary,neutral
critical,strongneg
survival,weakpos
Mess,strongneg
erase,strongneg
primary,neutral
critical,strongneg
survival,weakpos
Mess,strongneg
erase,strongneg
Mess,strongneg
erase,strongneg
Democratic,weakpos
nasty,strongneg
primary,neutral
Democratic,weakpos
nasty,strongneg
primary,neutral
democratic,weakpos
primary,neutral
IMMEDIATELY,neutral
Opinion,neutral
primary,neutral
still,neutral
conspiracy,strongneg
support,strongpos
should,neutral
allow,weakpos
primary,neutral
negligent,strongneg
slow,weakneg
inaccurate,strongneg
unfair,strongneg
primary,neutral
worse,strongneg
demanding,both
could,neutral
democratic,weakpos
primary,neutral
Primary,neutral
Qualified,weakpos
favorite,strongpos
serious,weakneg
problem,strongneg
need,neutral
want,strongpos
democratic,weakpos
primary,neutral
vowed,weakpos
moderate,weakpos
liberal,weakpos
better,strongpos
worry,strongneg
black,weakneg
dare,weakpos
know,neutral
supporter,strongpos
exactly,neutral
wants,strongpos
primary,neutral
critical,strongneg
survival,weakpos
yes,weakpos
good,strongpos
yes,weakpos
happy,strongpos
live,weakpos
yes,weakpos
fall,weakneg
crying,strongneg
well,strongpos
great,weakpos
idea,neutral
Big,neutral
effectively,neutral
expression,neutral
popular,weakpos
Even,weakpos
want,strongpos
must,neutral
truthful,strongpos
favor,strongpos
wrong,strongneg
show,neutral
progressive,weakpos
democratic,weakpos
progressive,weakpos
know,neutral
intense,neutral
Supporters,strongpos
need,neutral
avoid,weakneg
Democratic,weakpos
Primary,neutral
Unpredictable,weakneg
succeeded,strongpos
straight,weakpos
Despite,weakneg
mishaps,strongneg
full,neutral
support,strongpos
just,strongpos
democratic,weakpos
primary,neutral
think,neutral
indicative,neutral
democratic,weakpos
primary,neutral
Black,weakneg
fact,neutral
ridiculous,strongneg
favor,strongpos
hurts,strongneg
helps,weakpos
(opinion,neutral
clear,strongpos
inherent,neutral
further,neutral
completely,neutral
inaccessible,weakneg
abolishing,weakneg
primary,neutral
improving,strongpos
knowing,neutral
democratic,weakpos
moved,neutral
primary,neutral
knowing,neutral
democratic,weakpos
moved,neutral
primary,neutral
Okay,strongpos
so,neutral
democratic,weakpos
dying,strongneg
great,weakpos
democratic,weakpos
primary,neutral
well,strongpos
appreciate,weakpos
Democratic,weakpos
primary,neutral
unpredictable,weakneg
Democratic,weakpos
primary,neutral
unpredictable,weakneg
