Word,Polarity
snub,strongneg
just,strongpos
primary,neutral
odd,weakneg
snub,strongneg
just,strongpos
primary,neutral
odd,weakneg
So,neutral
Stand,weakpos
still,neutral
believe,neutral
best,weakpos
support,strongpos
likely,neutral
primary,neutral
big,neutral
strong,weakpos
primary,neutral
outsiders,strongneg
underdogs,weakneg
must,neutral
big,neutral
support,strongpos
failed,strongneg
endorsed,strongpos
smart,weakpos
better,strongpos
still,neutral
still,neutral
thought,neutral
should,neutral
better,strongpos
supporters,strongpos
support,strongpos
likely,neutral
primary,neutral
baby,neutral
baby,neutral
help,weakpos
yes,weakpos
hope,strongpos
very,neutral
best,weakpos
Democratic,weakpos
open,weakpos
primary,neutral
really,neutral
just,strongpos
snubbing,strongneg
just,strongpos
snubbing,strongneg
just,strongpos
snubbing,strongneg
needs,neutral
support,strongpos
real,weakpos
doubt,strongneg
point,neutral
anyway,neutral
endorse,strongpos
endorses,strongpos
just,strongpos
snubbing,strongneg
supporters,strongpos
could,neutral
even,weakpos
regarding,neutral
primary,neutral
better,strongpos
‘better,strongpos
better,strongpos
just,strongpos
primary,neutral
barely,weakneg
supporters,strongpos
supporters,strongpos
supporters,strongpos
needs,neutral
just,strongpos
snubbing,strongneg
just,strongpos
high,neutral
primary,neutral
against,weakneg
exclusion,weakneg
supported,strongpos
Regardless,neutral
feels,neutral
above,weakpos
least,weakneg
Snubbing,strongneg
inequities,strongneg
primary,neutral
good,strongpos
look,neutral
staunch,strongpos
thinks,neutral
would,neutral
most,neutral
dangerous,strongneg
against,weakneg
toxic,strongneg
Boycott,strongneg
excluding,weakneg
best,weakpos
disservice,strongneg
Great,weakpos
objection,weakneg
though,neutral
likely,neutral
disappoint,strongneg
likely,neutral
primary,neutral
importance,weakpos
primary,neutral
importance,weakpos
primary,neutral
importance,weakpos
primary,neutral
importance,weakpos
primary,neutral
importance,weakpos
primary,neutral
good,strongpos
view,neutral
Love,strongpos
hate,strongneg
wrong,strongneg
whatever,weakneg
help,weakpos
whatever,weakneg
help,weakpos
whatever,weakneg
help,weakpos
whatever,weakneg
help,weakpos
whatever,weakneg
help,weakpos
poor,strongneg
showing,neutral
perfectly,strongpos
big,neutral
primary,neutral
please,strongpos
need,neutral
supporters,strongpos
protesting,strongneg
Against,weakneg
