Word,Polarity
intends,neutral
regardless,neutral
Democratic,weakpos
primary,neutral
primary,neutral
primary,neutral
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
seems,neutral
gained,strongpos
close,weakneg
look,neutral
encouraging,strongpos
BATTLEGROUND,strongneg
Most,neutral
attractive,strongpos
battleground,strongneg
want,strongpos
whatever,weakneg
reason,strongpos
urge,strongpos
look,neutral
proud,strongpos
endorse,strongpos
Democratic,weakpos
Primary,neutral
endorsement,strongpos
key,neutral
endorsements,strongpos
endorsement,strongpos
endorsement,strongpos
endorses,strongpos
tired,weakneg
nonsense,strongneg
extremes,weakneg
primary,neutral
tired,weakneg
nonsense,strongneg
extremes,weakneg
primary,neutral
endorse,strongpos
endorses,strongpos
endorses,strongpos
able,weakpos
definitely,weakpos
idiotic,strongneg
even,weakpos
imagine,neutral
endorsing,strongpos
most,neutral
likely,neutral
even,weakpos
terribly,strongneg
primary,neutral
nice,weakpos
support,strongpos
even,weakpos
else,neutral
just,strongpos
super,strongpos
explicit,weakpos
primary,neutral
endorsing,strongpos
support,strongpos
endorsement,strongpos
needs,neutral
extremely,weakneg
divided,weakneg
feel,neutral
best,weakpos
right,weakpos
should,neutral
primary,neutral
proving,neutral
endorses,strongpos
endorsed,strongpos
primary,neutral
endorsement,strongpos
endorses,strongpos
endorses,strongpos
endorses,strongpos
endorses,strongpos
endorsed,strongpos
endorsement,strongpos
primary,neutral
endorses,strongpos
endorsed,strongpos
endorses,strongpos
endorsement,strongpos
primary,neutral
endorsement,strongpos
primary,neutral
endorses,strongpos
endorsement,strongpos
primary,neutral
Endorses,strongpos
WITTY,strongpos
idea,neutral
endorses,strongpos
primary,neutral
primary,neutral
primary,neutral
straight,weakpos
victories,strongpos
considerably,neutral
Primary,neutral
top,weakpos
slowly,weakneg
sure,weakpos
need,neutral
big,neutral
vowed,weakpos
would,neutral
move,neutral
showing,neutral
huge,neutral
sure,weakpos
busy,weakneg
hypocritical,strongneg
Hell,strongneg
yeah,neutral
dividing,weakneg
moderate,weakpos
primary,neutral
regardless,neutral
YEAH,neutral
right,weakpos
moving,neutral
primary,neutral
supporters,strongpos
backs,weakpos
Supporters,strongpos
greet,weakpos
Full,neutral
Full,neutral
proud,strongpos
important,weakpos
Primary,neutral
primary,neutral
shows,neutral
support,strongpos
Primary,neutral
best,weakpos
smart,weakpos
perspective,neutral
supporters,strongpos
most,neutral
looks,neutral
independent,strongpos
primary,neutral
rivals,weakneg
success,strongpos
criticized,strongneg
so,neutral
striking,weakpos
dominated,weakneg
primary,neutral
criticized,strongneg
Democratic,weakpos
primary,neutral
need,neutral
primary,neutral
looks,neutral
independent,strongpos
looks,neutral
independent,strongpos
Awesome,strongpos
looks,neutral
independent,strongpos
incomparable,weakneg
hope,strongpos
finally,neutral
needs,neutral
Great,weakpos
great,weakpos
loves,strongpos
much,neutral
primary,neutral
much,neutral
primary,neutral
primary,neutral
hard,strongneg
believe,neutral
even,weakpos
primary,neutral
thought,neutral
would,neutral
even,weakpos
think,neutral
Maybe,neutral
needs,neutral
too,strongneg
need,weakneg
primary,neutral
doubt,strongneg
surge,weakpos
big,neutral
big,neutral
hoping,strongpos
terrific,strongpos
Primary,neutral
Primary,neutral
hope,strongpos
burn,weakneg
would,neutral
Vows,weakpos
Restore,weakpos
Decency,strongpos
think,neutral
mean,neutral
primary,neutral
missing,weakneg
