Word,Polarity
need,neutral
primary,neutral
STILL,neutral
too,strongneg
least,weakneg
still,neutral
Hopefully,strongpos
primary,neutral
knocking,strongneg
primary,neutral
seems,neutral
well,strongpos
think,neutral
much,neutral
threat,strongneg
primary,neutral
primary,neutral
likely,neutral
primary,neutral
view,neutral
primary,neutral
primary,neutral
primary,neutral
know,neutral
primary,neutral
ideally,strongpos
should,neutral
denying,strongneg
primary,neutral
too,strongneg
favorite,strongpos
cared,strongpos
really,neutral
primary,neutral
standing,weakpos
busy,weakneg
believe,neutral
primary,neutral
primary,neutral
Very,neutral
Just,strongpos
awesome,strongpos
primary,neutral
Yes,weakpos
primary,neutral
important,weakpos
intends,neutral
regardless,neutral
Democratic,weakpos
primary,neutral
bad,strongneg
primary,neutral
primary,neutral
primary,neutral
Bold,weakpos
primary,neutral
White,weakpos
important,weakpos
further,neutral
primary,neutral
urge,strongpos
protest,strongneg
maybe,neutral
anger,strongneg
agrees,weakpos
sense,weakpos
primary,neutral
primary,neutral
primary,neutral
primary,neutral
try,weakneg
destroy,strongneg
perfect,strongpos
support,strongpos
primary,neutral
considers,neutral
pressure,neutral
strong,weakpos
need,neutral
very,neutral
well,strongpos
strong,weakpos
primary,neutral
hopes,strongpos
pressure,neutral
strong,weakpos
need,neutral
very,neutral
well,strongpos
strong,weakpos
primary,neutral
hopes,strongpos
should,neutral
just,strongpos
primary,neutral
divide,weakneg
idea,neutral
much,neutral
power,neutral
just,strongpos
upsetting,strongneg
primary,neutral
right,weakpos
liberal,weakpos
black,weakneg
good,strongpos
entire,neutral
exactly,neutral
infuriates,strongneg
primary,neutral
nightmare,strongneg
likes,strongpos
allow,weakpos
illusion,strongneg
primary,neutral
primary,neutral
Oh,neutral
thought,neutral
very,neutral
well,strongpos
might,neutral
even,weakpos
doubt,strongneg
think,neutral
primary,neutral
so,neutral
basically,neutral
pressure,neutral
strong,weakpos
need,neutral
very,neutral
well,strongpos
strong,weakpos
primary,neutral
hopes,strongpos
Yes,weakpos
However,neutral
objected,strongneg
primary,neutral
argued,weakneg
too,strongneg
close,weakneg
primary,neutral
so,neutral
really,neutral
want,strongpos
even,weakpos
imagine,neutral
look,neutral
well,strongpos
primary,neutral
victories,strongpos
lost,strongneg
primary,neutral
still,neutral
black,weakneg
wants,strongpos
white,weakpos
huge,neutral
should,neutral
real,weakpos
look,neutral
should,neutral
primary,neutral
want,strongpos
ignore,weakneg
looking,neutral
very,neutral
good,strongpos
considering,neutral
know,neutral
pretty,weakpos
critical,strongneg
differences,neutral
primary,neutral
primary,neutral
actually,neutral
modern,weakpos
primary,neutral
primary,neutral
primary,neutral
should,neutral
so,neutral
know,neutral
good,strongpos
well,strongpos
so,neutral
goddamn,strongneg
primary,neutral
despite,weakneg
war,weakneg
great,weakpos
Good,strongpos
luck,strongpos
most,neutral
so,neutral
primary,neutral
primary,neutral
primary,neutral
helping,weakpos
primary,neutral
need,neutral
want,strongpos
just,strongpos
believes,neutral
proud,strongpos
primary,neutral
Democratic,weakpos
Primary,neutral
primary,neutral
primary,neutral
primary,neutral
just,strongpos
would,neutral
please,strongpos
so,neutral
primary,neutral
whatever,weakneg
great,weakpos
primary,neutral
forget,weakneg
primary,neutral
primary,neutral
primary,neutral
primary,neutral
ready,weakpos
Primary,neutral
primary,neutral
Should,neutral
attacking,strongneg
primary,neutral
great,weakpos
primary,neutral
forget,weakneg
primary,neutral
primary,neutral
primary,neutral
primary,neutral
ready,weakpos
Primary,neutral
primary,neutral
Should,neutral
attacking,strongneg
primary,neutral
just,strongpos
looks,neutral
primary,neutral
Just,strongpos
look,neutral
mess,strongneg
primary,neutral
moderate,weakpos
key,neutral
well,strongpos
Primary,neutral
Could,neutral
still,neutral
really,neutral
impressed,weakpos
primary,neutral
absentee,weakneg
exactly,neutral
feel,neutral
special,strongpos
Democratic,weakpos
Primary,neutral
Missed,weakneg
primary,neutral
worry,strongneg
success,strongpos
Primary,neutral
just,strongpos
feels,neutral
right,weakpos
primary,neutral
knock,strongneg
love,strongpos
justice,strongpos
worth,strongpos
better,strongpos
knocking,strongneg
just,strongpos
primary,neutral
sure,weakpos
help,weakpos
Primary,neutral
bull,weakpos
eligible,weakpos
primary,neutral
think,neutral
would,neutral
lack,strongneg
worth,strongpos
primary,neutral
reacting,neutral
toxic,strongneg
supporters,strongpos
help,weakpos
primary,neutral
support,strongpos
just,strongpos
primary,neutral
surprisingly,neutral
well,strongpos
primary,neutral
eclectic,weakpos
progressive,weakpos
supporting,strongpos
primary,neutral
sense,weakpos
Knock,strongneg
knock,strongneg
primary,neutral
revolution,weakpos
Democratic,weakpos
right,weakpos
primary,neutral
close,weakneg
primary,neutral
really,neutral
look,neutral
primary,neutral
least,weakneg
primary,neutral
support,strongpos
primary,neutral
miss,weakneg
least,weakneg
primary,neutral
support,strongpos
daydreamed,weakpos
primary,neutral
opponents,strongneg
much,neutral
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
least,weakneg
primary,neutral
support,strongpos
qualified,weakpos
major,neutral
though,neutral
primary,neutral
supporters,strongpos
well,strongpos
show,neutral
trial,strongneg
offenses,strongneg
primary,neutral
strange,weakneg
comments,neutral
so,neutral
dislike,strongneg
trying,weakneg
primary,neutral
needs,neutral
so,neutral
finally,neutral
blame,strongneg
anger,strongneg
primary,neutral
primary,neutral
much,neutral
power,neutral
player,neutral
smokescreen,weakneg
nonsense,strongneg
allow,weakpos
most,neutral
stress,weakneg
actual,neutral
primary,neutral
primary,neutral
most,neutral
likely,neutral
peril,strongneg
primary,neutral
primary,neutral
friends,strongpos
forget,weakneg
help,weakpos
primary,neutral
just,strongpos
primary,neutral
quite,neutral
primary,neutral
perhaps,neutral
stumbling,strongneg
historic,strongpos
primary,neutral
qualify,weakpos
least,weakneg
primary,neutral
should,neutral
full,neutral
primary,neutral
Good,strongpos
primary,neutral
primary,neutral
primary,neutral
really,neutral
very,neutral
much,neutral
white,weakpos
Seriously,weakneg
fake,strongneg
hopeful,strongpos
just,strongpos
primary,neutral
democratic,weakpos
primary,neutral
duped,strongneg
independent,strongpos
need,neutral
Primary,neutral
fake,strongneg
hopeful,strongpos
just,strongpos
primary,neutral
know,neutral
excited,strongpos
Superb,strongpos
viewing,neutral
primary,neutral
sure,weakpos
open,weakpos
primary,neutral
oh,neutral
completely,neutral
meaningless,strongneg
extremely,weakneg
worried,strongneg
losing,strongneg
primary,neutral
even,weakpos
primary,neutral
primary,neutral
snub,strongneg
just,strongpos
primary,neutral
odd,weakneg
understand,weakpos
primary,neutral
eligible,weakpos
