Word,Polarity
think,neutral
might,neutral
Especially,weakpos
maybe,neutral
even,weakpos
just,strongpos
favorite,strongpos
surprise,neutral
known,neutral
showing,neutral
favorite,strongpos
would,neutral
lost,strongneg
lost,strongneg
anyway,neutral
would,neutral
lost,strongneg
even,weakpos
expansive,weakpos
serious,weakneg
scrutiny,neutral
most,neutral
reliable,strongpos
think,neutral
supports,strongpos
even,weakpos
better,strongpos
supporters,strongpos
move,neutral
argument,weakneg
most,neutral
crumbles,strongneg
bleeds,weakneg
support,strongpos
leverage,weakpos
stars,weakpos
elites,strongpos
reveal,neutral
defective,weakneg
values,weakpos
power,neutral
primary,neutral
Stand,weakpos
so,neutral
sure,weakpos
wanted,strongpos
appears,neutral
thought,neutral
could,neutral
allow,weakpos
primary,neutral
Showing,neutral
hesitant,weakneg
primary,neutral
look,neutral
Just,strongpos
big,neutral
pretty,weakpos
quick,neutral
think,neutral
maybe,neutral
think,neutral
trump,strongpos
enough,neutral
think,neutral
think,neutral
best,weakpos
vows,weakpos
vows,weakpos
Show,neutral
even,weakpos
problem,strongneg
could,neutral
critical,strongneg
support,strongpos
disagree,weakneg
show,neutral
shows,neutral
likely,neutral
easy,strongpos
smart,weakpos
could,neutral
could,neutral
Seriously,weakneg
kiss,strongpos
death,strongneg
primary,neutral
think,neutral
Primary,neutral
stands,neutral
think,neutral
vows,weakpos
friends,strongpos
rally,strongpos
Primary,neutral
support,strongpos
failed,strongneg
endorsed,strongpos
smart,weakpos
just,strongpos
know,neutral
Too,strongneg
anxious,strongneg
victory,strongpos
independent,strongpos
Vows,weakpos
So,neutral
Lucky,strongpos
primary,neutral
primary,neutral
favored,strongpos
vows,weakpos
primary,neutral
primary,neutral
supporters,strongpos
rhetoric,weakneg
primary,neutral
open,weakpos
think,neutral
reason,strongpos
so,neutral
much,neutral
prominent,weakpos
(even,weakpos
though,neutral
true,strongpos
vital,weakpos
choke,strongneg
point,neutral
very,neutral
likely,neutral
very,neutral
hard,strongneg
point,neutral
look,neutral
even,weakpos
look,neutral
support,strongpos
Primary,neutral
Feeling,neutral
point,neutral
Show,neutral
supporters,strongpos
rhetoric,weakneg
shows,neutral
support,strongpos
primary,neutral
fails,strongneg
Shows,neutral
Support,strongpos
primary,neutral
fails,strongneg
decide,neutral
Shows,neutral
Support,strongpos
shows,neutral
Well,strongpos
attack,strongneg
so,neutral
Primary,neutral
Primary,neutral
primary,neutral
fails,strongneg
pretty,weakpos
good,strongpos
show,neutral
rally,strongpos
supporters,strongpos
primary,neutral
moves,neutral
Shows,neutral
Support,strongpos
moves,neutral
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Shows,neutral
Support,strongpos
Breaking,strongneg
likes,strongpos
primary,neutral
most,neutral
Democratic,weakpos
point,neutral
according,weakpos
great,weakpos
right,weakpos
respect,strongpos
Panic,strongneg
Panic,strongneg
hopefuls,strongpos
still,neutral
fresh,strongpos
Democratic,weakpos
primary,neutral
fool,strongneg
vows,weakpos
really,neutral
excited,strongpos
very,neutral
real,weakpos
possibility,neutral
viable,strongpos
love,strongpos
meant,neutral
actually,neutral
just,strongpos
consume,strongneg
Democratic,weakpos
primary,neutral
points,neutral
vows,weakpos
according,weakpos
would,neutral
comeback,weakpos
primary,neutral
disgrace,strongneg
real,weakpos
THREATENING,strongneg
narrow,weakneg
clear,strongpos
increasingly,neutral
MENACING,strongneg
advantage,weakpos
vows,weakpos
should,neutral
relief,strongpos
least,weakneg
Panic,strongneg
Vows,weakpos
Panic,strongneg
Panic,strongneg
vows,weakpos
Show,neutral
showing,neutral
slight,weakneg
relief,strongpos
according,weakpos
most,neutral
big,neutral
might,neutral
Panic,strongneg
Panic,strongneg
Panic,strongneg
knock,strongneg
so,neutral
jokers,strongneg
