Word,Polarity
gain,strongpos
attacking,strongneg
benefits,strongpos
appealing,weakpos
progressive,weakpos
Primary,neutral
just,strongpos
would,neutral
chaos,strongneg
basically,neutral
white,weakpos
could,neutral
clear,strongpos
hard,strongneg
really,neutral
Very,neutral
excited,strongpos
position,neutral
poor,strongneg
still,neutral
destroy,strongneg
fact,neutral
clearer,weakpos
Please,strongpos
clearer,weakpos
Please,strongpos
love,strongpos
key,neutral
endorsements,strongpos
Primary,neutral
obsessed,strongneg
shows,neutral
want,strongpos
better,strongpos
would,neutral
insisted,weakpos
most,neutral
popular,weakpos
loves,strongpos
just,strongpos
fallen,weakneg
Primary,neutral
still,neutral
free,strongpos
good,strongpos
smart,weakpos
least,weakneg
Maybe,neutral
cares,strongpos
good,strongpos
luck,strongpos
sure,weakpos
Primary,neutral
Maybe,neutral
dance,weakpos
might,neutral
help,weakpos
according,weakpos
just,strongpos
primary,neutral
need,neutral
Restore,weakpos
attack,strongneg
want,strongpos
help,weakpos
primary,neutral
corruption,strongneg
crisis,strongneg
knock,strongneg
free,strongpos
Confronted,strongneg
Concerns,strongneg
Honesty,strongpos
(ENDORSEMENT,strongpos
enthusiastically,strongpos
endorse,strongpos
please,strongpos
imposing,strongneg
civil,weakpos
penalties,strongneg
false,weakneg
suppressing,strongneg
primary,neutral
demon,strongneg
explicit,weakpos
Full,neutral
activist,neutral
encouraged,strongpos
Democratic,weakpos
hopefuls,strongpos
still,neutral
fresh,strongpos
Democratic,weakpos
primary,neutral
likes,strongpos
-fantastic,strongpos
opportunity,strongpos
should,neutral
relief,strongpos
least,weakneg
sure,weakpos
hope,strongpos
so,neutral
definitely,weakpos
terrible,strongneg
black,weakneg
much,neutral
though,neutral
honestly,strongpos
slight,weakneg
relief,strongpos
according,weakpos
most,neutral
big,neutral
might,neutral
support,strongpos
truly,strongpos
believe,neutral
know,neutral
advantage,weakpos
just,strongpos
primary,neutral
reveals,neutral
Democratic,weakpos
Democratic,weakpos
terrifies,strongpos
moved,neutral
Destroys,strongneg
endorsed,strongpos
endorsement,strongpos
look,neutral
nervously,strongneg
Finally,neutral
hope,strongpos
whatever,weakneg
concern,strongneg
best,weakpos
primary,neutral
whatever,weakneg
concern,strongneg
best,weakpos
primary,neutral
agree,weakpos
thinking,neutral
definitely,weakpos
still,neutral
able,weakpos
survive,weakpos
blow,strongneg
try,weakneg
desperation,strongneg
falls,weakneg
endorsement,strongpos
needs,neutral
Interesting,strongpos
Retreat,weakneg
Retreat,weakneg
straight,weakpos
victories,strongpos
considerably,neutral
Please,strongpos
needs,neutral
proud,strongpos
fight,strongneg
thrilled,strongpos
trying,weakneg
knock,strongneg
encourage,strongpos
support,strongpos
want,strongpos
help,weakpos
please,strongpos
Support,strongpos
little,weakneg
big,neutral
little,weakneg
treat,strongpos
primary,neutral
trying,weakneg
gain,strongpos
support,strongpos
key,neutral
Democratic,weakpos
free,strongpos
tried,weakneg
so,neutral
would,neutral
accessible,weakpos
lost,strongneg
too,strongneg
primary,neutral
open,weakpos
so,neutral
hard,strongneg
could,neutral
full,neutral
big,neutral
too,strongneg
Help,weakpos
primary,neutral
proud,strongpos
fight,strongneg
thrilled,strongpos
love,strongpos
primary,neutral
likely,neutral
Democratic,weakpos
primary,neutral
proud,strongpos
fight,strongneg
thrilled,strongpos
power,neutral
importantly,weakpos
wants,strongpos
proud,strongpos
fight,strongneg
thrilled,strongpos
matter,neutral
complicated,weakneg
So,neutral
excited,strongpos
friends,strongpos
supporter,strongpos
primary,neutral
just,strongpos
great,weakpos
smiles,strongpos
ready,weakpos
primary,neutral
supporters,strongpos
right,weakpos
mean,neutral
supporters,strongpos
just,strongpos
hope,strongpos
true,strongpos
least,weakneg
trumps,strongpos
primary,neutral
mean,neutral
best,weakpos
narrow,weakneg
well,strongpos
straight,weakpos
primary,neutral
worst,strongneg
would,neutral
strong,weakpos
basically,neutral
still,neutral
supporter,strongpos
would,neutral
should,neutral
believe,neutral
think,neutral
Just,strongpos
too,strongneg
close,weakneg
too,strongneg
think,neutral
handily,strongpos
primary,neutral
primary,neutral
gains,strongpos
vowed,weakpos
moderate,weakpos
liberal,weakpos
better,strongpos
worry,strongneg
chaos,strongneg
live,weakpos
proud,strongpos
fight,strongneg
thrilled,strongpos
most,neutral
important,weakpos
primary,neutral
Democratic,weakpos
apparent,neutral
looking,neutral
Democratic,weakpos
Comeback,weakpos
shows,neutral
support,strongpos
debacle,strongneg
debacle,strongneg
strong,weakpos
should,neutral
know,neutral
big,neutral
Wow,weakpos
falter,strongneg
Oh,neutral
well,strongpos
well,strongpos
strong,weakpos
awesome,strongpos
helps,weakpos
fight,strongneg
big,neutral
supporters,strongpos
primary,neutral
need,neutral
Looks,neutral
attacks,strongneg
points,neutral
dead,strongneg
so,neutral
big,neutral
corruption,strongneg
popular,weakpos
pressed,weakpos
very,neutral
proud,strongpos
activist,neutral
fight,strongneg
thrilled,strongpos
Democratic,weakpos
Democratic,weakpos
‘feeling,neutral
good,strongpos
craziness,strongneg
exactly,neutral
supporting,strongpos
primary,neutral
primary,neutral
means,neutral
difference,neutral
better,strongpos
better,strongpos
id,neutral
preferred,strongpos
too,strongneg
looking,neutral
just,strongpos
else,neutral
good,strongpos
dead,strongneg
meaningless,strongneg
hard,strongneg
primary,neutral
primary,neutral
still,neutral
undecided,weakneg
Gains,strongpos
oh,neutral
viable,strongpos
conceded,strongneg
defeat,strongneg
must,neutral
harass,strongneg
belittle,strongneg
help,weakpos
large,weakpos
undecided,weakneg
cold,strongneg
Democratic,weakpos
hope,strongpos
urge,strongpos
Gains,strongpos
Gains,strongpos
yep,weakpos
although,weakneg
increasingly,neutral
difficult,strongneg
Gains,strongpos
suggest,weakpos
wasting,strongneg
still,neutral
undecided,weakneg
exactly,neutral
needs,neutral
just,strongpos
needs,neutral
hope,strongpos
right,weakpos
hope,strongpos
revelation,weakpos
dispute,weakneg
appears,neutral
opinion,neutral
supported,strongpos
activist,neutral
supported,strongpos
genuine,strongpos
supporters,strongpos
very,neutral
would,neutral
beneficial,strongpos
definitely,weakpos
primary,neutral
supporters,strongpos
proud,strongpos
fight,strongneg
thrilled,strongpos
miss,weakneg
super,strongpos
primary,neutral
needs,neutral
shortsighted,weakneg
sure,weakpos
hope,strongpos
breaks,strongneg
proud,strongpos
fight,strongneg
thrilled,strongpos
think,neutral
guarantee,weakpos
so,neutral
energize,strongpos
too,strongneg
still,neutral
undecided,weakneg
oh,neutral
promising,weakpos
primary,neutral
proud,strongpos
dream,weakpos
big,neutral
hard,strongneg
think,neutral
look,neutral
big,neutral
Democratic,weakpos
hopefuls,strongpos
primary,neutral
Democratic,weakpos
hopefuls,strongpos
primary,neutral
falters,strongneg
lack,strongneg
friends,strongpos
oh,neutral
promising,weakpos
thought,neutral
would,neutral
even,weakpos
think,neutral
Maybe,neutral
needs,neutral
too,strongneg
need,weakneg
primary,neutral
critical,strongneg
very,neutral
claims,neutral
know,neutral
best,weakpos
though,neutral
attack,strongneg
tepid,strongneg
Primary,neutral
need,weakneg
oh,neutral
promising,weakpos
show,neutral
oh,neutral
promising,weakpos
trouble,strongneg
stumbles,strongneg
pundits,weakpos
oh,neutral
promising,weakpos
primary,neutral
Just,strongpos
forgets,weakneg
claims,neutral
still,neutral
still,neutral
most,neutral
important,weakpos
cheat,strongneg
very,neutral
crazy,strongneg
still,neutral
plenty,strongpos
collapse,strongneg
most,neutral
comprehensive,strongpos
corrupt,strongneg
ugh,weakneg
really,neutral
just,strongpos
screaming,strongneg
point,neutral
sure,weakpos
corrupt,strongneg
Democratic,weakpos
supporters,strongpos
should,neutral
consider,neutral
gamble,weakneg
incredibly,strongpos
strong,weakpos
just,strongpos
important,weakpos
smiling,strongpos
proud,strongpos
fight,strongneg
thrilled,strongpos
,well,strongpos
&just,strongpos
primary,neutral
Primary,neutral
best,weakpos
pundits,weakpos
know,neutral
think,neutral
well,strongpos
right,weakpos
ideals,strongpos
realistic,weakpos
ideals,strongpos
stable,strongpos
proud,strongpos
fight,strongneg
thrilled,strongpos
erased,strongneg
stellar,weakpos
(tries,weakneg
reveals,neutral
just,strongpos
absentee,weakneg
Primary,neutral
wholeheartedly,strongpos
want,strongpos
However,neutral
looks,neutral
most,neutral
likely,neutral
top,weakpos
(though,neutral
too,strongneg
shabby,strongneg
want,strongpos
congratulate,strongpos
primary,neutral
better,strongpos
most,neutral
should,neutral
would,neutral
progressive,weakpos
argument,weakneg
moderate,weakpos
debacle,strongneg
just,strongpos
trying,weakneg
showing,neutral
preach,weakpos
frauds,strongneg
liars,strongneg
still,neutral
help,weakpos
complicated,weakneg
white,weakpos
