Word,Polarity
top,weakpos
top,weakpos
top,weakpos
love,strongpos
considering,neutral
even,weakpos
worse,strongneg
even,weakpos
faith,strongpos
pretty,weakpos
hoping,strongpos
best,weakpos
should,neutral
just,strongpos
like,strongpos
delusional,strongneg
think,neutral
point,neutral
lose,strongneg
Although,weakneg
support,strongpos
could,neutral
better,strongpos
nature,neutral
Funny,strongpos
freaking,strongneg
security,weakpos
forget,weakneg
help,weakpos
primary,neutral
VERY,neutral
still,neutral
really,neutral
hope,strongpos
well,strongpos
just,strongpos
show,neutral
much,neutral
better,strongpos
think,neutral
very,neutral
well,strongpos
think,neutral
should,neutral
specific,neutral
should,neutral
Just,strongpos
idea,neutral
problem,strongneg
could,neutral
critical,strongneg
support,strongpos
perfect,strongpos
primary,neutral
achieving,strongpos
accomplishing,strongpos
supporters,strongpos
knowledge,neutral
endorsing,strongpos
would,neutral
help,weakpos
else,neutral
primary,neutral
help,weakpos
fragmented,weakneg
better,strongpos
open,weakpos
else,neutral
recommend,weakpos
Just,strongpos
qualified,weakpos
Thank,strongpos
qualified,weakpos
qualify,weakpos
much,neutral
even,weakpos
enough,neutral
super,strongpos
primary,neutral
giant,neutral
progress,weakpos
knocking,strongneg
However,neutral
need,neutral
most,neutral
likely,neutral
sharp,weakneg
effective,strongpos
sensitive,weakpos
well,strongpos
So,neutral
great,weakpos
inspired,strongpos
else,neutral
ready,weakpos
LOOK,neutral
primary,neutral
basically,neutral
decided,neutral
happy,strongpos
basically,neutral
sorry,strongneg
pretty,weakpos
much,neutral
dead,strongneg
ruining,strongneg
needs,neutral
support,strongpos
would,neutral
Primary,neutral
obviously,weakneg
bias,weakneg
Qualifies,weakpos
good,strongpos
patriot,strongpos
endorsed,strongpos
endorsement,strongpos
look,neutral
nervously,strongneg
Finally,neutral
hope,strongpos
qualified,weakpos
Primary,neutral
qualifies,weakpos
qualified,weakpos
Democratic,weakpos
primary,neutral
missing,weakneg
qualify,weakpos
showdown,weakneg
Qualifies,weakpos
Qualifies,weakpos
Qualifies,weakpos
Looking,neutral
fascinating,strongpos
just,strongpos
losing,strongneg
big,neutral
endorsement,strongpos
please,strongpos
qualifies,weakpos
primary,neutral
Primary,neutral
regarding,neutral
pleased,strongpos
qualifies,weakpos
primary,neutral
Democratic,weakpos
clearly,weakpos
missed,weakneg
most,neutral
sure,weakpos
opponents,strongneg
still,neutral
However,neutral
hurt,strongneg
qualifies,weakpos
primary,neutral
doubt,strongneg
point,neutral
anyway,neutral
endorse,strongpos
endorses,strongpos
qualifies,weakpos
primary,neutral
qualifies,weakpos
primary,neutral
qualifies,weakpos
primary,neutral
debate,weakneg
qualifies,weakpos
shows,neutral
qualifies,weakpos
primary,neutral
qualifies,weakpos
primary,neutral
qualifying,weakpos
top,weakpos
Democratic,weakpos
qualified,weakpos
just,strongpos
Primary,neutral
stand,weakpos
idle,weakneg
best,weakpos
help,weakpos
well,strongpos
Oh,neutral
just,strongpos
fine,strongpos
support,strongpos
viable,strongpos
Maybe,neutral
support,strongpos
strong,weakpos
idea,neutral
lose,strongneg
opinion,neutral
too,strongneg
Help,weakpos
good,strongpos
luck,strongpos
look,neutral
winnable,weakpos
need,neutral
back,weakpos
need,neutral
so,neutral
super,strongpos
knows,neutral
Oh,neutral
definitely,weakpos
believe,neutral
primary,neutral
strong,weakpos
knock,strongneg
break,strongneg
so,neutral
bad,strongneg
impossible,strongneg
less,weakneg
terrible,strongneg
worse,strongneg
Very,neutral
glad,strongpos
loves,strongpos
hoping,strongpos
better,strongpos
Good,strongpos
luck,strongpos
big,neutral
needs,neutral
Finally,neutral
hell,strongneg
OH,neutral
much,neutral
want,strongpos
Look,neutral
like,strongpos
nice,weakpos
excuses,weakneg
like,strongpos
luck,strongpos
so,neutral
better,strongpos
debacle,strongneg
insisting,weakpos
just,strongpos
killed,strongneg
top,weakpos
wondering,strongpos
need,neutral
good,strongpos
viable,strongpos
appreciate,weakpos
interested,strongpos
would,neutral
recommend,weakpos
most,neutral
foul,strongneg
might,neutral
well,strongpos
know,neutral
actual,neutral
sure,weakpos
loses,strongneg
know,neutral
friends,strongpos
shock,weakneg
just,strongpos
showed,neutral
could,neutral
need,neutral
supporters,strongpos
so,neutral
fresh,strongpos
know,neutral
sad,strongneg
live,weakpos
important,weakpos
Independent,strongpos
good,strongpos
stolen,strongneg
big,neutral
Huge,neutral
primary,neutral
champion,strongpos
inspirational,strongpos
considerate,strongpos
truthful,strongpos
most,neutral
fear,strongneg
genuine,strongpos
clear,strongpos
passion,strongpos
think,neutral
should,neutral
top,weakpos
just,strongpos
Primary,neutral
primary,neutral
would,neutral
precise,weakpos
Would,neutral
move,neutral
Liked,strongpos
need,neutral
difference,neutral
Democratic,weakpos
Democratic,weakpos
cut,weakneg
best,weakpos
Please,strongpos
help,weakpos
secure,weakpos
please,strongpos
Help,weakpos
Support,strongpos
easy,strongpos
empowering,strongpos
encouraged,strongpos
please,strongpos
strong,weakpos
So,neutral
much,neutral
want,strongpos
need,neutral
primary,neutral
Support,strongpos
Democratic,weakpos
outsider,strongneg
strong,weakpos
primary,neutral
would,neutral
help,weakpos
supporters,strongpos
know,neutral
solid,weakpos
please,strongpos
force,strongneg
Glad,strongpos
know,neutral
according,weakpos
black,weakneg
Good,strongpos
luck,strongpos
so,neutral
depressing,strongneg
felt,neutral
really,neutral
good,strongpos
too,strongneg
though,neutral
criticism,strongneg
definitely,weakpos
think,neutral
great,weakpos
most,neutral
rough,weakneg
primary,neutral
need,neutral
strong,weakpos
ready,weakpos
support,strongpos
ready,weakpos
support,strongpos
appears,neutral
However,neutral
mistake,strongneg
kidding,weakpos
help,weakpos
debacle,strongneg
need,neutral
uplifting,strongpos
decide,neutral
support,strongpos
just,strongpos
need,neutral
kill,strongneg
know,neutral
look,neutral
boldly,weakpos
viable,strongpos
so,neutral
original,strongpos
poorly,strongneg
vanity,strongneg
hurts,strongneg
opportunities,strongpos
worries,strongneg
big,neutral
super,strongpos
obviously,weakneg
black,weakneg
crime,strongneg
look,neutral
better,strongpos
so,neutral
could,neutral
support,strongpos
Democratic,weakpos
outsider,strongneg
strong,weakpos
primary,neutral
would,neutral
help,weakpos
supporters,strongpos
strong,weakpos
primary,neutral
would,neutral
supporters,strongpos
remarks,neutral
truly,strongpos
embarrassing,strongneg
could,neutral
enough,neutral
comments,neutral
want,strongpos
help,weakpos
try,weakneg
helps,weakpos
easy,strongpos
love,strongpos
Live,weakpos
