date,bennet,biden,bloomberg,buttigieg,gabbard,klobuchar,patrick,sanders,steyer,warren,yang
2020-01-27,1,7.0,0.6666666666666666,9.0,1.1666666666666667,19,0,1.8823529411764706,0,1.625,1.5
2020-01-28,0,3.1666666666666665,3,1,5,4.0,0,2.0285714285714285,0,5.666666666666667,3.0
2020-01-29,3,2.0714285714285716,0,0,4.0,3,0,4.666666666666667,0,3,11.0
2020-01-30,0,7.666666666666667,0.0,0,11.0,5,0,4.5,0,2.4,7.0
2020-01-31,1,3.25,7,0,1.0,1.1,0,2.4,0,8.0,5.0
2020-02-01,0,1.6,5,0,0.5,2.0,0,2.75,0,8.0,1.0
2020-02-02,0,5.0,1,6,0,1,0,2,0,3.5,4.0
2020-02-03,0,3.2,5.0,0,1,2.5,0,4.714285714285714,0,1.8461538461538463,1.6666666666666667
2020-02-04,0,0.14893617021276595,1.0,1.4,0.0,0,0,3.3333333333333335,0,3.6,3.5
2020-02-05,3,0.46153846153846156,1.6,5.166666666666667,1.0,4.0,0,1.6571428571428573,0,2.0625,3.0
2020-02-06,0,0.7083333333333334,2.0,2.4615384615384617,0.5714285714285714,6.0,0,3.0,0,3.125,11.0
2020-02-07,0,0.47058823529411764,2,4.684210526315789,2.0,0.0,0.0,2.65,0,1.6363636363636365,2.6
2020-02-08,1.0,0.8571428571428571,4.0,0.7735849056603774,1,7.5,0,1.3076923076923077,0,2.0,21.0
2020-02-09,1.0,0.23056300268096513,1.0,3.25,0.14285714285714285,0.4,0,2.6666666666666665,0,1.3333333333333333,1.6
